hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\1c,develop,776446,1tako1,2023-11-26T09:30:19.000Z,432,,432,2,3,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\1c,develop,774420,biz-l,2023-11-16T13:54:17.000Z,6.5K,,6.5K,10,26,/ru/hubs/erp/
D:\untitled3\.\hubs\1c,develop,773784,IBS_habrablog,2023-11-14T08:32:51.000Z,1.9K,,1.9K,4,2,/ru/companies/ibs/articles/
D:\untitled3\.\hubs\1c,develop,773516,koloskovv,2023-11-13T09:55:56.000Z,4.3K,,4.3K,23,0,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\1c,develop,770936,E_BEREZIN,2023-11-13T08:35:01.000Z,1.7K,,1.7K,11,2,/ru/hubs/erp/
D:\untitled3\.\hubs\1c,develop,773132,ITBrus,2023-11-10T11:20:36.000Z,3.8K,,3.8K,9,5,/ru/hubs/1C/
D:\untitled3\.\hubs\1c,develop,772490,exwill,2023-11-08T13:40:08.000Z,4.1K,,4.1K,15,24,/ru/companies/otus/articles/
D:\untitled3\.\hubs\1c,develop,771564,ira-k,2023-11-03T07:05:02.000Z,10K,,10K,42,7,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\1c,develop,770098,vesaniv,2023-10-26T10:34:08.000Z,1.7K,,1.7K,4,7,/ru/hubs/pay_system/
D:\untitled3\.\hubs\1c,develop,766824,capitannemo,2023-10-12T06:48:48.000Z,1.9K,,1.9K,20,0,/ru/hubs/1C/
D:\untitled3\.\hubs\1c,develop,765774,koloskovv,2023-10-06T10:07:01.000Z,2.4K,,2.4K,12,0,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\1c,develop,765354,MazurenkoEvgeniy,2023-10-05T09:28:34.000Z,951,,951,3,7,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\1c,develop,764738,dd_kruglov,2023-10-02T07:01:00.000Z,5.5K,,5.5K,28,4,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\1c,develop,764286,SSul,2023-09-29T08:06:01.000Z,3K,,3K,7,4,/ru/companies/simbirsoft/articles/
D:\untitled3\.\hubs\1c,develop,754476,CrushBy,2023-09-27T09:18:03.000Z,21K,,21K,122,45,/ru/hubs/hi/
D:\untitled3\.\hubs\1c,develop,763574,EFSOL_OBLAKO,2023-09-26T12:22:19.000Z,8K,,8K,23,28,/ru/hubs/it_testing/
D:\untitled3\.\hubs\1c,develop,763494,prof-itgroup,2023-09-26T08:50:14.000Z,4K,,4K,9,5,/ru/hubs/erp/
D:\untitled3\.\hubs\1c,develop,762780,ITBrus,2023-09-22T10:00:46.000Z,9.1K,,9.1K,21,12,/ru/hubs/1C/
D:\untitled3\.\hubs\1c,develop,762574,1CUnlimited,2023-09-21T11:41:11.000Z,3K,,3K,13,5,/ru/hubs/programming/
D:\untitled3\.\hubs\1c,develop,762530,IBS_habrablog,2023-09-21T09:58:05.000Z,2.8K,,2.8K,16,2,/ru/companies/ibs/articles/
D:\untitled3\.\hubs\1c,develop,761708,Tavalik,2023-09-18T13:19:35.000Z,4.1K,,4.1K,25,6,/ru/hubs/it_testing/
D:\untitled3\.\hubs\1c,develop,761272,WhiteDachnik,2023-09-15T09:47:34.000Z,9.4K,,9.4K,22,36,/ru/companies/outlines_tech/articles/
D:\untitled3\.\hubs\1c,develop,759800,dimaoleynik1,2023-09-08T13:04:07.000Z,1.8K,,1.8K,12,2,/ru/companies/automacon/articles/
D:\untitled3\.\hubs\1c,develop,759286,koloskovv,2023-09-06T12:43:58.000Z,4.2K,,4.2K,33,0,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\1c,develop,759070,StasKozhevnikov,2023-09-05T13:40:47.000Z,7.2K,,7.2K,30,2,/ru/hubs/sql/
D:\untitled3\.\hubs\1c,develop,756368,ira-k,2023-08-28T07:00:01.000Z,17K,,17K,32,32,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\1c,develop,756172,E_BEREZIN,2023-08-24T11:40:34.000Z,1.3K,,1.3K,9,2,/ru/hubs/data_mining/
D:\untitled3\.\hubs\1c,develop,756214,ancorecords,2023-08-22T13:12:32.000Z,974,,974,10,2,/ru/companies/fix_price/articles/
D:\untitled3\.\hubs\1c,develop,753848,koloskovv,2023-08-10T15:04:42.000Z,3.3K,,3.3K,18,11,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\1c,develop,753242,PeterG,2023-08-09T07:39:25.000Z,12K,,12K,43,75,/ru/companies/1c/articles/
D:\untitled3\.\hubs\1c,develop,752144,SimbirSoftQA,2023-08-03T08:23:29.000Z,4.1K,,4.1K,17,0,/ru/companies/simbirsoft/articles/
D:\untitled3\.\hubs\1c,develop,752112,Konstmax13,2023-08-03T04:57:18.000Z,1.5K,,1.5K,6,0,/ru/hubs/1C/
D:\untitled3\.\hubs\1c,develop,751986,Konstmax13,2023-08-02T10:11:50.000Z,1.7K,,1.7K,8,0,/ru/hubs/1C/
D:\untitled3\.\hubs\1c,develop,750202,havtan,2023-07-27T10:51:34.000Z,4.1K,,4.1K,14,4,/ru/companies/petrovich-tech/articles/
D:\untitled3\.\hubs\1c,develop,750414,alicezavels,2023-07-26T08:34:16.000Z,9.3K,,9.3K,19,25,/ru/companies/automacon/articles/
D:\untitled3\.\hubs\1c,develop,748012,shakhman,2023-07-25T14:14:56.000Z,6.6K,,6.6K,15,22,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\1c,develop,749264,PeterG,2023-07-20T08:43:52.000Z,1.7K,,1.7K,5,2,/ru/companies/1c/articles/
D:\untitled3\.\hubs\1c,develop,748212,Paradox179,2023-07-15T08:03:25.000Z,4.4K,,4.4K,12,36,/ru/hubs/programming/
D:\untitled3\.\hubs\1c,develop,748070,Paradox179,2023-07-14T11:36:20.000Z,3.2K,,3.2K,17,10,/ru/hubs/programming/
D:\untitled3\.\hubs\1c,develop,747918,exwill,2023-07-14T09:14:22.000Z,2.1K,,2.1K,18,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\1c,develop,747322,koloskovv,2023-07-11T12:39:53.000Z,7.9K,,7.9K,62,14,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\1c,develop,746646,galats1983,2023-07-07T13:59:51.000Z,3.5K,,3.5K,24,0,/ru/companies/automacon/articles/
D:\untitled3\.\hubs\1c,develop,746398,Johnyart,2023-07-06T15:03:33.000Z,6.5K,,6.5K,38,8,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\1c,develop,745912,exwill,2023-07-05T12:50:02.000Z,5.5K,,5.5K,20,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\1c,develop,744644,exwill,2023-06-30T14:34:46.000Z,6.5K,,6.5K,18,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\1c,develop,743568,SIGMA_team,2023-06-26T06:30:01.000Z,5.1K,,5.1K,7,8,/ru/companies/sigma/articles/
D:\untitled3\.\hubs\1c,develop,742666,exwill,2023-06-20T08:14:17.000Z,5.1K,,5.1K,6,32,/ru/companies/otus/articles/
D:\untitled3\.\hubs\1c,develop,741984,exwill,2023-06-16T14:01:01.000Z,3.8K,,3.8K,15,12,/ru/companies/otus/articles/
D:\untitled3\.\hubs\1c,develop,741520,exwill,2023-06-14T05:58:42.000Z,7.2K,,7.2K,19,4,/ru/companies/otus/articles/
