hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\3d-printers,null,772080,CyberexTech,2023-11-12T08:01:01.000Z,19K,,19K,141,29,without_company
D:\untitled3\.\hubs\3d-printers,null,773182,divolko3,2023-11-10T14:32:46.000Z,6.4K,,6.4K,19,8,without_company
D:\untitled3\.\hubs\3d-printers,null,769814,Ergohaven,2023-10-25T09:33:54.000Z,9.4K,,9.4K,25,25,without_company
D:\untitled3\.\hubs\3d-printers,null,768612,Oksana_Nedvigina,2023-10-19T13:11:11.000Z,2.4K,,2.4K,24,1,without_company
D:\untitled3\.\hubs\3d-printers,null,767954,Dmytro_Kikot,2023-10-18T07:05:39.000Z,932,,932,15,0,without_company
D:\untitled3\.\hubs\3d-printers,null,764766,GavrisAS,2023-10-02T09:22:32.000Z,2.3K,,2.3K,13,1,without_company
D:\untitled3\.\hubs\3d-printers,null,759334,BiktorSergeev,2023-09-06T15:26:59.000Z,23K,,23K,67,15,without_company
D:\untitled3\.\hubs\3d-printers,null,753318,GKasatkin,2023-08-15T07:01:12.000Z,4.7K,,4.7K,60,7,without_company
D:\untitled3\.\hubs\3d-printers,null,752284,zeleniy_kaktus,2023-08-11T10:48:46.000Z,11K,,11K,32,46,without_company
D:\untitled3\.\hubs\3d-printers,null,753008,MechanikArtem,2023-08-11T07:53:37.000Z,5.2K,,5.2K,32,11,without_company
D:\untitled3\.\hubs\3d-printers,null,753894,guryanov,2023-08-11T05:00:01.000Z,3.9K,,3.9K,24,14,without_company
D:\untitled3\.\hubs\3d-printers,null,751896,Maslukhin,2023-08-02T05:51:09.000Z,3.8K,,3.8K,34,2,without_company
D:\untitled3\.\hubs\3d-printers,null,749040,Cloud4Y,2023-07-19T11:53:08.000Z,6.7K,,6.7K,42,22,without_company
D:\untitled3\.\hubs\3d-printers,null,748944,N-Cube,2023-07-19T07:11:30.000Z,7.1K,,7.1K,24,77,without_company
D:\untitled3\.\hubs\3d-printers,null,746866,Bredun,2023-07-11T15:38:40.000Z,2.7K,,2.7K,12,7,without_company
D:\untitled3\.\hubs\3d-printers,null,746994,annagracheva,2023-07-10T08:26:54.000Z,3.6K,,3.6K,23,11,without_company
D:\untitled3\.\hubs\3d-printers,null,744180,ManPavel,2023-06-27T09:52:05.000Z,1.9K,,1.9K,4,1,without_company
D:\untitled3\.\hubs\3d-printers,null,739032,sergeygals,2023-05-31T22:48:43.000Z,2.7K,,2.7K,9,2,without_company
D:\untitled3\.\hubs\3d-printers,null,738840,anastasiy_y,2023-05-31T09:54:39.000Z,2.1K,,2.1K,30,1,without_company
D:\untitled3\.\hubs\3d-printers,null,737420,ru_vds,2023-05-25T09:00:01.000Z,13K,,13K,97,127,without_company
D:\untitled3\.\hubs\3d-printers,null,734950,Lonsdaleite,2023-05-14T13:20:42.000Z,10K,,10K,28,21,without_company
D:\untitled3\.\hubs\3d-printers,null,732068,bagrusss,2023-05-02T14:38:29.000Z,23K,,23K,65,28,without_company
D:\untitled3\.\hubs\3d-printers,null,728956,OlegSivchenko,2023-04-13T14:16:49.000Z,5.2K,,5.2K,22,3,without_company
D:\untitled3\.\hubs\3d-printers,null,728660,Oksana_Nedvigina,2023-04-12T16:00:01.000Z,1.2K,,1.2K,14,0,without_company
D:\untitled3\.\hubs\3d-printers,null,720548,DAN_SEA,2023-03-10T13:00:02.000Z,7K,,7K,40,29,without_company
D:\untitled3\.\hubs\3d-printers,null,716398,DAN_SEA,2023-02-17T13:00:02.000Z,7.5K,,7.5K,41,11,without_company
D:\untitled3\.\hubs\3d-printers,null,717294,Dmytro_Kikot,2023-02-17T08:01:22.000Z,3.7K,,3.7K,20,5,without_company
D:\untitled3\.\hubs\3d-printers,null,716328,Dkstr,2023-02-11T16:54:44.000Z,36K,,36K,180,104,without_company
D:\untitled3\.\hubs\3d-printers,null,715538,N-Cube,2023-02-08T05:09:55.000Z,14K,,14K,39,18,without_company
D:\untitled3\.\hubs\3d-printers,null,714408,N-Cube,2023-02-03T04:40:07.000Z,6.3K,,6.3K,57,58,without_company
D:\untitled3\.\hubs\3d-printers,null,712906,N-Cube,2023-01-26T05:37:25.000Z,9.6K,,9.6K,43,95,without_company
D:\untitled3\.\hubs\3d-printers,null,711336,N-Cube,2023-01-18T08:41:05.000Z,9.5K,,9.5K,64,63,without_company
D:\untitled3\.\hubs\3d-printers,null,708898,AnnTa,2023-01-02T11:49:30.000Z,7.3K,,7.3K,39,11,without_company
D:\untitled3\.\hubs\3d-printers,null,708664,kulhaker478,2022-12-30T17:05:34.000Z,8.8K,,8.8K,51,2,without_company
D:\untitled3\.\hubs\3d-printers,null,707386,Aleksandr8,2022-12-23T13:59:44.000Z,5.3K,,5.3K,18,14,without_company
D:\untitled3\.\hubs\3d-printers,null,706752,MechanikArtem,2022-12-21T08:40:24.000Z,8.5K,,8.5K,13,11,without_company
D:\untitled3\.\hubs\3d-printers,null,704438,smart_alex,2022-12-12T08:01:07.000Z,11K,,11K,26,38,without_company
D:\untitled3\.\hubs\3d-printers,null,701282,sand77777,2022-11-24T08:48:43.000Z,4.8K,,4.8K,6,15,without_company
D:\untitled3\.\hubs\3d-printers,null,700308,kompas_3d,2022-11-19T08:11:02.000Z,6.5K,,6.5K,20,18,without_company
D:\untitled3\.\hubs\3d-printers,null,693942,kompas_3d,2022-10-20T08:11:01.000Z,15K,,15K,34,23,without_company
D:\untitled3\.\hubs\3d-printers,null,693278,Erwinmal,2022-10-15T10:00:02.000Z,12K,,12K,41,54,without_company
D:\untitled3\.\hubs\3d-printers,null,693000,Sergiv,2022-10-14T06:48:23.000Z,6.1K,,6.1K,18,25,without_company
D:\untitled3\.\hubs\3d-printers,null,689440,kompas_3d,2022-10-04T08:11:01.000Z,1.2K,,1.2K,5,0,without_company
D:\untitled3\.\hubs\3d-printers,null,686574,TilekSamiev,2022-09-07T05:14:16.000Z,7.4K,,7.4K,18,32,without_company
D:\untitled3\.\hubs\3d-printers,null,686032,belaya_raduga_BR,2022-09-06T07:00:56.000Z,12K,,12K,34,10,without_company
D:\untitled3\.\hubs\3d-printers,null,686074,vandiemen,2022-09-02T11:30:28.000Z,44K,,44K,112,33,without_company
D:\untitled3\.\hubs\3d-printers,null,684768,Bright_Translate,2022-08-28T10:00:01.000Z,12K,,12K,60,17,without_company
D:\untitled3\.\hubs\3d-printers,null,683504,Bright_Translate,2022-08-21T10:00:01.000Z,6.1K,,6.1K,40,12,without_company
D:\untitled3\.\hubs\3d-printers,null,682408,DAN_SEA,2022-08-17T09:00:01.000Z,10K,,10K,39,36,without_company
D:\untitled3\.\hubs\3d-printers,null,682786,additive_rocket_science,2022-08-16T09:01:02.000Z,6.7K,,6.7K,25,84,without_company
D:\untitled3\.\hubs\3d-printers,null,682648,5-55,2022-08-15T14:54:45.000Z,2.2K,,2.2K,26,12,without_company
D:\untitled3\.\hubs\3d-printers,null,681854,additive_rocket_science,2022-08-10T13:14:40.000Z,15K,,15K,44,169,without_company
D:\untitled3\.\hubs\3d-printers,null,680564,Bright_Translate,2022-08-07T10:00:02.000Z,8.6K,,8.6K,67,13,without_company
