hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\accessibility,design,775648,ProductivityInside,2023-11-22T11:18:03.000Z,3.2K,,3.2K,23,5,/ru/companies/productivity_inside/articles/
D:\untitled3\.\hubs\accessibility,design,771560,sedovamargarita,2023-11-10T07:29:32.000Z,1.3K,,1.3K,13,5,/ru/companies/skyeng/articles/
D:\untitled3\.\hubs\accessibility,design,771082,melnik909,2023-11-07T09:00:01.000Z,5.6K,,5.6K,46,28,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\accessibility,design,770272,Flamyatina,2023-10-27T10:32:21.000Z,921,,921,23,0,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\accessibility,design,766344,melnik909,2023-10-25T09:00:01.000Z,4.8K,,4.8K,62,10,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\accessibility,design,767456,KOKNIWEX,2023-10-14T10:01:36.000Z,1.8K,,1.8K,19,4,/ru/hubs/habr/
D:\untitled3\.\hubs\accessibility,design,766720,abalompe,2023-10-11T09:57:47.000Z,1.2K,,1.2K,2,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\accessibility,design,765764,maniyax,2023-10-06T11:07:52.000Z,1.7K,,1.7K,16,6,/ru/companies/vk/articles/
D:\untitled3\.\hubs\accessibility,design,762186,FenderIL,2023-09-20T07:00:53.000Z,1.4K,,1.4K,13,3,/ru/hubs/javascript/
D:\untitled3\.\hubs\accessibility,design,758006,melnik909,2023-09-19T09:00:02.000Z,4.6K,,4.6K,53,0,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\accessibility,design,761716,tatianna,2023-09-18T11:02:21.000Z,1.5K,,1.5K,16,0,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\accessibility,design,757490,melnik909,2023-09-05T09:00:01.000Z,6.5K,,6.5K,78,13,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\accessibility,design,757240,dimabelousov1,2023-08-27T21:12:11.000Z,1.6K,,1.6K,6,1,/ru/hubs/video/
D:\untitled3\.\hubs\accessibility,design,752664,ifap,2023-08-06T21:02:59.000Z,841,,841,4,0,/ru/hubs/accessibility/
D:\untitled3\.\hubs\accessibility,design,751546,Oksaa,2023-07-31T13:15:52.000Z,3.2K,,3.2K,23,0,/ru/hubs/usability/
D:\untitled3\.\hubs\accessibility,design,749030,Daryadesignux,2023-07-26T07:44:36.000Z,900,,900,18,0,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\accessibility,design,749794,qmzik,2023-07-23T11:46:16.000Z,2.4K,,2.4K,27,3,/ru/hubs/css/
D:\untitled3\.\hubs\accessibility,design,747828,Flamyatina,2023-07-13T12:34:47.000Z,1.1K,,1.1K,30,2,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\accessibility,design,746394,tatianna,2023-07-07T12:30:41.000Z,1.7K,,1.7K,21,2,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\accessibility,design,746602,cupraer,2023-07-07T11:41:26.000Z,34K,,34K,91,98,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\accessibility,design,741906,Flamyatina,2023-06-15T11:54:10.000Z,2.8K,,2.8K,26,1,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\accessibility,design,740946,Enabledesign,2023-06-09T11:45:46.000Z,2.1K,,2.1K,19,13,/ru/hubs/web_design/
D:\untitled3\.\hubs\accessibility,design,735890,KrisWis,2023-05-17T21:37:59.000Z,18K,,18K,61,19,/ru/hubs/css/
D:\untitled3\.\hubs\accessibility,design,733608,yulia-dolgun,2023-05-11T09:04:16.000Z,3.1K,,3.1K,40,3,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\accessibility,design,733856,alfablend,2023-05-07T19:51:08.000Z,38K,,38K,31,314,/ru/hubs/accessibility/
D:\untitled3\.\hubs\accessibility,design,730190,yooteam,2023-04-19T16:14:15.000Z,609,,609,4,5,/ru/companies/yoomoney/articles/
D:\untitled3\.\hubs\accessibility,design,729208,gerasimov_gk,2023-04-14T14:11:38.000Z,5.7K,,5.7K,86,1,/ru/hubs/web_design/
D:\untitled3\.\hubs\accessibility,design,723930,Liteiniy,2023-03-21T21:52:54.000Z,3.3K,,3.3K,9,0,/ru/hubs/accessibility/
D:\untitled3\.\hubs\accessibility,design,723444,ifap,2023-03-20T07:51:03.000Z,3.1K,,3.1K,11,4,/ru/hubs/webdev/
D:\untitled3\.\hubs\accessibility,design,722674,savoptik,2023-03-15T20:25:16.000Z,5.7K,,5.7K,16,5,/ru/hubs/java/
D:\untitled3\.\hubs\accessibility,design,721182,sametea,2023-03-08T22:27:42.000Z,2.4K,,2.4K,33,4,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\accessibility,design,717476,qmzik,2023-02-16T17:05:34.000Z,2.8K,,2.8K,13,0,/ru/hubs/firefox/
D:\untitled3\.\hubs\accessibility,design,708118,Russian_rehab_industry,2022-12-28T06:05:42.000Z,717,,717,5,0,/ru/hubs/accessibility/
D:\untitled3\.\hubs\accessibility,design,706674,Ekseft,2022-12-20T14:46:44.000Z,3.1K,,3.1K,15,3,/ru/hubs/html5/
D:\untitled3\.\hubs\accessibility,design,700596,ADPopko,2022-12-07T10:01:12.000Z,6.7K,,6.7K,35,13,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\accessibility,design,698226,phillennium,2022-11-09T08:39:28.000Z,41K,,41K,104,487,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\accessibility,design,694622,Surf_Studio,2022-10-21T06:20:30.000Z,1.6K,,1.6K,16,0,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\accessibility,design,660691,glebmachine,2022-10-07T08:03:40.000Z,12K,,12K,51,17,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\accessibility,design,688902,and_kuznetsov,2022-09-19T08:45:11.000Z,1.8K,,1.8K,20,1,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\accessibility,design,686876,vesyolkinaolga,2022-09-07T08:50:33.000Z,1.9K,,1.9K,14,10,/ru/hubs/accessibility/
D:\untitled3\.\hubs\accessibility,design,683240,wayvy,2022-08-18T08:39:21.000Z,6.2K,,6.2K,84,0,/ru/companies/kts/articles/
D:\untitled3\.\hubs\accessibility,design,676536,Dmitry_Velichko,2022-07-12T13:09:48.000Z,3.4K,,3.4K,28,4,/ru/companies/gnivc/articles/
D:\untitled3\.\hubs\accessibility,design,670860,danis_gaiazov,2022-07-06T07:59:28.000Z,7.7K,,7.7K,25,20,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\accessibility,design,675032,nikolayshabalin,2022-07-06T05:39:14.000Z,5.6K,,5.6K,16,6,/ru/companies/htmlacademy/articles/
D:\untitled3\.\hubs\accessibility,design,673394,nikolayshabalin,2022-06-27T09:44:23.000Z,16K,,16K,39,3,/ru/companies/htmlacademy/articles/
D:\untitled3\.\hubs\accessibility,design,672440,nikolayshabalin,2022-06-20T14:09:47.000Z,6.9K,,6.9K,26,12,/ru/companies/htmlacademy/articles/
D:\untitled3\.\hubs\accessibility,design,671994,Russian_rehab_industry,2022-06-17T12:18:10.000Z,5.4K,,5.4K,20,16,/ru/hubs/accessibility/
D:\untitled3\.\hubs\accessibility,design,670412,Russian_rehab_industry,2022-06-08T15:14:47.000Z,1.1K,,1.1K,10,6,/ru/hubs/accessibility/
D:\untitled3\.\hubs\accessibility,design,669738,nikolayshabalin,2022-06-06T07:43:44.000Z,4.7K,,4.7K,13,0,/ru/companies/htmlacademy/articles/
D:\untitled3\.\hubs\accessibility,design,667540,nikolayshabalin,2022-06-02T07:16:45.000Z,11K,,11K,37,14,/ru/companies/htmlacademy/articles/
D:\untitled3\.\hubs\accessibility,design,668786,iovodov,2022-05-31T10:34:21.000Z,12K,,12K,66,26,/ru/companies/ods/articles/
D:\untitled3\.\hubs\accessibility,design,668268,AlexChudd,2022-05-30T10:28:01.000Z,2.3K,,2.3K,10,2,/ru/companies/wrike/articles/
D:\untitled3\.\hubs\accessibility,design,667254,nsbarsukov,2022-05-23T10:57:10.000Z,6.1K,,6.1K,41,10,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\accessibility,design,666842,Russian_rehab_industry,2022-05-20T10:25:19.000Z,2.7K,,2.7K,15,0,/ru/hubs/accessibility/
D:\untitled3\.\hubs\accessibility,design,666730,Foxvic,2022-05-19T17:02:35.000Z,20K,,20K,32,47,/ru/hubs/it_testing/
D:\untitled3\.\hubs\accessibility,design,664274,Tzimie,2022-05-04T13:41:16.000Z,43K,,43K,56,247,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\accessibility,design,660663,k011a,2022-04-14T07:58:13.000Z,9.8K,,9.8K,29,17,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\accessibility,design,654021,Matushevich,2022-03-02T04:17:52.000Z,5.7K,,5.7K,27,27,/ru/companies/itsoft/articles/
D:\untitled3\.\hubs\accessibility,design,653903,Russian_rehab_industry,2022-03-01T08:14:30.000Z,2.9K,,2.9K,17,7,/ru/hubs/accessibility/
D:\untitled3\.\hubs\accessibility,design,652797,Russian_rehab_industry,2022-02-21T15:37:30.000Z,18K,,18K,28,5,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\accessibility,design,651773,phillennium,2022-02-16T14:38:24.000Z,4K,,4K,23,1,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\accessibility,design,592061,hisbvdis,2021-12-01T12:43:31.000Z,13K,,13K,115,3,/ru/hubs/webdev/
D:\untitled3\.\hubs\accessibility,design,589735,nsbarsukov,2021-11-17T11:12:56.000Z,8.4K,,8.4K,41,0,/ru/companies/tinkoff/articles/
