hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\algorithms,develop,775868,Bright_Translate,2023-11-26T10:00:02.000Z,2.3K,,2.3K,30,4,without_company
D:\untitled3\.\hubs\algorithms,develop,776270,dacsson,2023-11-24T17:00:13.000Z,2.6K,,2.6K,17,28,without_company
D:\untitled3\.\hubs\algorithms,develop,775570,Bright_Translate,2023-11-24T13:00:01.000Z,55K,,55K,256,137,without_company
D:\untitled3\.\hubs\algorithms,develop,776076,dbalabolin,2023-11-24T08:30:12.000Z,621,,621,3,13,without_company
D:\untitled3\.\hubs\algorithms,develop,775910,askorn99,2023-11-23T11:12:17.000Z,8.4K,,8.4K,20,12,without_company
D:\untitled3\.\hubs\algorithms,develop,775888,MaxRokatansky,2023-11-23T10:05:32.000Z,7.6K,,7.6K,60,10,without_company
D:\untitled3\.\hubs\algorithms,develop,775736,DrArgentum,2023-11-22T16:11:45.000Z,5K,,5K,33,18,without_company
D:\untitled3\.\hubs\algorithms,develop,775108,Razant,2023-11-22T11:30:02.000Z,2.1K,,2.1K,30,5,without_company
D:\untitled3\.\hubs\algorithms,develop,774932,badcasedaily1,2023-11-20T11:46:02.000Z,6.9K,,6.9K,60,3,without_company
D:\untitled3\.\hubs\algorithms,develop,774934,Razant,2023-11-20T07:16:20.000Z,8.1K,,8.1K,39,12,without_company
D:\untitled3\.\hubs\algorithms,develop,774754,rebuilder,2023-11-19T13:17:35.000Z,3.4K,,3.4K,34,38,without_company
D:\untitled3\.\hubs\algorithms,develop,774862,wataru,2023-11-19T13:02:42.000Z,13K,,13K,78,140,without_company
D:\untitled3\.\hubs\algorithms,develop,774682,despair,2023-11-17T13:20:49.000Z,40K,,40K,129,360,without_company
D:\untitled3\.\hubs\algorithms,develop,772534,Ilya12c,2023-11-16T10:04:02.000Z,2.4K,,2.4K,40,0,without_company
D:\untitled3\.\hubs\algorithms,develop,774026,yurabeznos,2023-11-15T08:22:33.000Z,27K,,27K,57,165,without_company
D:\untitled3\.\hubs\algorithms,develop,774004,quantum-alex,2023-11-15T07:32:05.000Z,4.7K,,4.7K,25,1,without_company
D:\untitled3\.\hubs\algorithms,develop,771818,MarkWatney,2023-11-14T09:00:02.000Z,1.8K,,1.8K,27,8,without_company
D:\untitled3\.\hubs\algorithms,develop,773636,Foxion,2023-11-13T14:08:41.000Z,12K,,12K,144,7,without_company
D:\untitled3\.\hubs\algorithms,develop,773578,semihal,2023-11-13T13:09:40.000Z,2K,,2K,34,0,without_company
D:\untitled3\.\hubs\algorithms,develop,773566,ru_vds,2023-11-13T13:00:02.000Z,14K,,14K,87,19,without_company
D:\untitled3\.\hubs\algorithms,develop,773288,Timofey_Gladkiy,2023-11-11T12:31:12.000Z,9K,,9K,93,13,without_company
D:\untitled3\.\hubs\algorithms,develop,773034,PicoPicoRobotWoman,2023-11-10T08:30:17.000Z,24K,,24K,82,27,without_company
D:\untitled3\.\hubs\algorithms,develop,773074,dprotopopov,2023-11-10T08:16:53.000Z,1K,,1K,12,24,without_company
D:\untitled3\.\hubs\algorithms,develop,772758,AndanteMQ,2023-11-09T09:02:44.000Z,3.1K,,3.1K,24,1,without_company
D:\untitled3\.\hubs\algorithms,develop,772748,AndanteMQ,2023-11-09T06:58:46.000Z,4.4K,,4.4K,19,16,without_company
D:\untitled3\.\hubs\algorithms,develop,772722,dprotopopov,2023-11-08T23:21:20.000Z,1.4K,,1.4K,13,1,without_company
D:\untitled3\.\hubs\algorithms,develop,772462,ASGAlex,2023-11-08T12:17:12.000Z,3.4K,,3.4K,24,10,without_company
D:\untitled3\.\hubs\algorithms,develop,772012,Lozkins,2023-11-06T08:50:02.000Z,988,,988,16,7,without_company
D:\untitled3\.\hubs\algorithms,develop,771666,Bright_Translate,2023-11-05T10:00:01.000Z,38K,,38K,87,39,without_company
D:\untitled3\.\hubs\algorithms,develop,771760,Sber,2023-11-03T11:56:41.000Z,3.1K,,3.1K,48,3,without_company
D:\untitled3\.\hubs\algorithms,develop,769954,java_prog,2023-11-03T08:57:06.000Z,8.8K,,8.8K,52,8,without_company
D:\untitled3\.\hubs\algorithms,develop,771572,AlexAproner,2023-11-02T14:47:27.000Z,11K,,11K,156,13,without_company
D:\untitled3\.\hubs\algorithms,develop,770930,Ilya12c,2023-11-02T09:22:02.000Z,4.4K,,4.4K,59,6,without_company
D:\untitled3\.\hubs\algorithms,develop,771214,Latyshenko,2023-11-01T08:05:34.000Z,4.1K,,4.1K,20,0,without_company
D:\untitled3\.\hubs\algorithms,develop,770914,NewTechAudit,2023-11-01T06:18:16.000Z,8K,,8K,41,2,without_company
D:\untitled3\.\hubs\algorithms,develop,771010,AndreyDmitriev,2023-10-31T15:39:09.000Z,4.9K,,4.9K,43,18,without_company
D:\untitled3\.\hubs\algorithms,develop,771016,MaxRokatansky,2023-10-31T11:28:56.000Z,3.7K,,3.7K,47,0,without_company
D:\untitled3\.\hubs\algorithms,develop,770610,AndrewTheMaster,2023-10-29T18:21:50.000Z,3.6K,,3.6K,24,14,without_company
D:\untitled3\.\hubs\algorithms,develop,770328,dentsuRU,2023-10-27T12:47:08.000Z,4.2K,,4.2K,43,7,without_company
D:\untitled3\.\hubs\algorithms,develop,770248,badcasedaily1,2023-10-27T10:34:34.000Z,3.2K,,3.2K,49,3,without_company
D:\untitled3\.\hubs\algorithms,develop,769642,StepKsu,2023-10-27T07:30:01.000Z,8.3K,,8.3K,58,5,without_company
D:\untitled3\.\hubs\algorithms,develop,770014,AshBlade,2023-10-26T06:30:41.000Z,5.1K,,5.1K,55,8,without_company
D:\untitled3\.\hubs\algorithms,develop,769786,badcasedaily1,2023-10-25T13:12:33.000Z,2.1K,,2.1K,35,1,without_company
D:\untitled3\.\hubs\algorithms,develop,769812,UmarNur,2023-10-25T09:31:44.000Z,10K,,10K,98,7,without_company
D:\untitled3\.\hubs\algorithms,develop,769696,dalerank,2023-10-24T19:00:20.000Z,6.7K,,6.7K,55,0,without_company
D:\untitled3\.\hubs\algorithms,develop,769312,SimbirSoft_frontend,2023-10-24T08:23:09.000Z,23K,,23K,166,19,without_company
D:\untitled3\.\hubs\algorithms,develop,769274,badcasedaily1,2023-10-23T15:46:15.000Z,4.6K,,4.6K,68,16,without_company
D:\untitled3\.\hubs\algorithms,develop,768618,BekhanCode,2023-10-19T13:36:19.000Z,1.6K,,1.6K,20,1,without_company
D:\untitled3\.\hubs\algorithms,develop,767892,dalerank,2023-10-17T22:33:34.000Z,12K,,12K,86,56,without_company
D:\untitled3\.\hubs\algorithms,develop,760962,java_prog,2023-10-17T08:39:06.000Z,8.3K,,8.3K,35,5,without_company
D:\untitled3\.\hubs\algorithms,develop,767940,PPR,2023-10-17T07:47:11.000Z,2.3K,,2.3K,42,0,without_company
D:\untitled3\.\hubs\algorithms,develop,766510,PatientZero,2023-10-16T06:52:11.000Z,1.8K,,1.8K,29,1,without_company
D:\untitled3\.\hubs\algorithms,develop,765170,Makeman,2023-10-14T04:00:01.000Z,9.5K,,9.5K,88,64,without_company
D:\untitled3\.\hubs\algorithms,develop,767390,TranE91,2023-10-13T17:50:14.000Z,1.5K,,1.5K,19,3,without_company
D:\untitled3\.\hubs\algorithms,develop,767252,ufarobot,2023-10-13T10:45:00.000Z,8.2K,,8.2K,64,14,without_company
D:\untitled3\.\hubs\algorithms,develop,767036,Sivchenko_translate,2023-10-12T11:53:53.000Z,7K,,7K,24,52,without_company
D:\untitled3\.\hubs\algorithms,develop,766882,quasilyte,2023-10-11T22:12:17.000Z,7K,,7K,70,33,without_company
D:\untitled3\.\hubs\algorithms,develop,764210,ph_piter,2023-10-10T12:04:44.000Z,19K,,19K,86,13,without_company
D:\untitled3\.\hubs\algorithms,develop,765116,Lozkins,2023-10-09T08:51:22.000Z,1.8K,,1.8K,41,0,without_company
D:\untitled3\.\hubs\algorithms,develop,765760,x6x4,2023-10-06T09:30:42.000Z,5.9K,,5.9K,34,15,without_company
D:\untitled3\.\hubs\algorithms,develop,765628,faruk_yussuf,2023-10-06T08:58:29.000Z,4K,,4K,40,23,without_company
D:\untitled3\.\hubs\algorithms,develop,763348,simflin,2023-10-05T07:00:29.000Z,10K,,10K,73,10,without_company
D:\untitled3\.\hubs\algorithms,develop,765392,AndreyKotlov,2023-10-04T18:03:15.000Z,1.6K,,1.6K,29,0,without_company
D:\untitled3\.\hubs\algorithms,develop,765246,ru_vds,2023-10-04T13:00:01.000Z,14K,,14K,160,10,without_company
D:\untitled3\.\hubs\algorithms,develop,765040,zzzneg,2023-10-04T09:00:18.000Z,2.2K,,2.2K,32,9,without_company
D:\untitled3\.\hubs\algorithms,develop,765230,heinrich_wirth,2023-10-04T08:51:09.000Z,2.5K,,2.5K,30,3,without_company
D:\untitled3\.\hubs\algorithms,develop,765196,IvanNoskov,2023-10-04T06:05:45.000Z,1.4K,,1.4K,25,2,without_company
D:\untitled3\.\hubs\algorithms,develop,764370,konstantin-s-yakovlev,2023-10-02T14:04:04.000Z,6.2K,,6.2K,72,35,without_company
