hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\analysis_design,null,776446,1tako1,2023-11-26T09:30:19.000Z,424,,424,2,3,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\analysis_design,null,776444,robertd,2023-11-26T09:03:23.000Z,3.3K,,3.3K,28,23,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\analysis_design,null,776428,AlexeyPerestoronin,2023-11-26T07:55:10.000Z,678,,678,12,0,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\analysis_design,null,776326,dzot_dev,2023-11-25T07:00:21.000Z,8.8K,,8.8K,92,1,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\analysis_design,null,776264,Georgiy_Ubilava,2023-11-24T16:09:58.000Z,2.1K,,2.1K,23,1,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\analysis_design,null,776248,Alek_Che,2023-11-24T15:31:50.000Z,946,,946,9,0,/ru/companies/modusbi/articles/
D:\untitled3\.\hubs\analysis_design,null,776148,usov-o-i,2023-11-24T09:43:42.000Z,780,,780,6,0,/ru/companies/fix_price/articles/
D:\untitled3\.\hubs\analysis_design,null,775314,olgamazur,2023-11-24T07:00:01.000Z,4.5K,,4.5K,63,3,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\analysis_design,null,776012,Ni_Bar,2023-11-23T15:02:48.000Z,2.4K,,2.4K,12,8,/ru/companies/rosatom/articles/
D:\untitled3\.\hubs\analysis_design,null,776004,Ontonet,2023-11-23T15:00:30.000Z,702,,702,10,1,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\analysis_design,null,775824,Katrin_O,2023-11-23T07:10:17.000Z,480,,480,1,1,/ru/companies/vsk_insurance/articles/
D:\untitled3\.\hubs\analysis_design,null,775424,Aqice,2023-11-21T13:11:41.000Z,1.2K,,1.2K,22,0,/ru/companies/X5Tech/articles/
D:\untitled3\.\hubs\analysis_design,null,774970,badcasedaily1,2023-11-21T13:10:24.000Z,3.1K,,3.1K,53,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\analysis_design,null,775404,yooteam,2023-11-21T12:17:10.000Z,506,,506,4,2,/ru/companies/yoomoney/articles/
D:\untitled3\.\hubs\analysis_design,null,775170,Dan_Melnikov,2023-11-20T14:13:26.000Z,1.7K,,1.7K,4,1,/ru/companies/domrf/articles/
D:\untitled3\.\hubs\analysis_design,null,774932,badcasedaily1,2023-11-20T11:46:02.000Z,6.9K,,6.9K,60,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\analysis_design,null,774712,napit_ok,2023-11-20T10:41:49.000Z,18K,,18K,175,16,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\analysis_design,null,774414,EVRAZ,2023-11-20T08:27:03.000Z,2K,,2K,9,5,/ru/companies/evraz/articles/
