hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\api,develop,775978,SuperLeha,2023-11-24T15:12:31.000Z,422,,422,7,1,/ru/companies/newtel/articles/
D:\untitled3\.\hubs\api,develop,776022,nikitych1,2023-11-24T10:55:43.000Z,1K,,1K,6,5,/ru/companies/sbermarket/articles/
D:\untitled3\.\hubs\api,develop,775180,Ab0cha,2023-11-23T07:01:02.000Z,3.4K,,3.4K,29,10,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\api,develop,774596,ph_piter,2023-11-21T13:15:02.000Z,22K,,22K,103,90,/ru/companies/piter/articles/
D:\untitled3\.\hubs\api,develop,775316,craxti,2023-11-21T09:01:19.000Z,3.3K,,3.3K,46,5,/ru/hubs/python/
D:\untitled3\.\hubs\api,develop,775056,vodevel,2023-11-20T09:12:22.000Z,6K,,6K,30,9,/ru/hubs/php/
D:\untitled3\.\hubs\api,develop,774944,evia,2023-11-19T16:12:48.000Z,1.6K,,1.6K,19,7,/ru/hubs/api/
D:\untitled3\.\hubs\api,develop,774874,thousandsofraccoons,2023-11-18T22:15:32.000Z,3K,,3K,9,11,/ru/hubs/javascript/
D:\untitled3\.\hubs\api,develop,774818,willdiealone,2023-11-18T11:48:54.000Z,11K,,11K,72,25,/ru/hubs/instant_messaging/
D:\untitled3\.\hubs\api,develop,772856,redmadrobot,2023-11-09T10:36:25.000Z,3K,,3K,34,0,/ru/companies/redmadrobot/articles/
D:\untitled3\.\hubs\api,develop,772628,willdiealone,2023-11-08T12:46:20.000Z,2.9K,,2.9K,45,27,/ru/hubs/instant_messaging/
D:\untitled3\.\hubs\api,develop,772088,SSP_blog,2023-11-07T06:03:01.000Z,15K,,15K,134,11,/ru/companies/ssp-soft/articles/
D:\untitled3\.\hubs\api,develop,771178,useapi,2023-11-01T05:25:36.000Z,1.2K,,1.2K,17,2,/ru/hubs/javascript/
D:\untitled3\.\hubs\api,develop,771156,ShadowGreg,2023-10-31T20:43:06.000Z,3.1K,,3.1K,24,16,/ru/hubs/net/
D:\untitled3\.\hubs\api,develop,765600,pomazkovjs,2023-10-30T13:59:59.000Z,6.1K,,6.1K,76,3,/ru/companies/selectel/articles/
