hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\arduino,null,772186,smart_alex,2023-11-26T08:01:01.000Z,1.8K,,1.8K,14,12,without_company
D:\untitled3\.\hubs\arduino,null,776348,al072072,2023-11-25T10:00:45.000Z,3.7K,,3.7K,28,22,without_company
D:\untitled3\.\hubs\arduino,null,771870,smart_alex,2023-11-16T08:01:01.000Z,3.7K,,3.7K,15,0,without_company
D:\untitled3\.\hubs\arduino,null,771516,smart_alex,2023-11-05T08:01:06.000Z,4.6K,,4.6K,48,19,without_company
D:\untitled3\.\hubs\arduino,null,766418,smart_alex,2023-10-30T08:01:02.000Z,4.3K,,4.3K,32,9,without_company
D:\untitled3\.\hubs\arduino,null,769142,CyberexTech,2023-10-23T14:01:01.000Z,21K,,21K,118,86,without_company
D:\untitled3\.\hubs\arduino,null,769108,MikeKozlovAVR,2023-10-22T12:31:09.000Z,17K,,17K,67,45,without_company
D:\untitled3\.\hubs\arduino,null,764646,smart_alex,2023-10-19T08:01:03.000Z,8.2K,,8.2K,40,21,without_company
D:\untitled3\.\hubs\arduino,null,767996,CyberB,2023-10-17T09:37:13.000Z,4K,,4K,34,6,without_company
D:\untitled3\.\hubs\arduino,null,766914,smart_alex,2023-10-15T08:01:01.000Z,3.4K,,3.4K,33,22,without_company
D:\untitled3\.\hubs\arduino,null,762822,EfimkinDM,2023-10-09T06:00:01.000Z,1.2K,,1.2K,7,3,without_company
D:\untitled3\.\hubs\arduino,null,765198,smart_alex,2023-10-08T08:01:01.000Z,4.1K,,4.1K,61,2,without_company
D:\untitled3\.\hubs\arduino,null,765306,CyberexTech,2023-10-05T08:01:01.000Z,7K,,7K,71,23,without_company
D:\untitled3\.\hubs\arduino,null,760396,smart_alex,2023-10-04T08:01:04.000Z,3K,,3K,20,17,without_company
D:\untitled3\.\hubs\arduino,null,764634,YRevich,2023-10-02T08:28:55.000Z,3.4K,,3.4K,39,35,without_company
D:\untitled3\.\hubs\arduino,null,763138,shiru8bit,2023-09-28T09:00:01.000Z,15K,,15K,84,6,without_company
D:\untitled3\.\hubs\arduino,null,760512,smart_alex,2023-09-27T08:01:11.000Z,1.4K,,1.4K,28,0,without_company
D:\untitled3\.\hubs\arduino,null,761588,DAN_SEA,2023-09-21T09:00:01.000Z,5.2K,,5.2K,71,3,without_company
D:\untitled3\.\hubs\arduino,null,761692,DigitalTatarstan,2023-09-18T09:12:39.000Z,6.4K,,6.4K,25,32,without_company
D:\untitled3\.\hubs\arduino,null,758614,DAN_SEA,2023-09-07T13:00:01.000Z,5.7K,,5.7K,27,26,without_company
D:\untitled3\.\hubs\arduino,null,757096,Duke_nukeum,2023-08-28T04:00:02.000Z,10K,,10K,28,19,without_company
D:\untitled3\.\hubs\arduino,null,755700,DAN_SEA,2023-08-24T09:00:04.000Z,12K,,12K,79,60,without_company
D:\untitled3\.\hubs\arduino,null,756512,DonEgen,2023-08-23T14:45:13.000Z,2.2K,,2.2K,23,6,without_company
D:\untitled3\.\hubs\arduino,null,756096,dr_bob_davidov,2023-08-22T08:33:37.000Z,1.1K,,1.1K,7,3,without_company
D:\untitled3\.\hubs\arduino,null,755292,DonEgen,2023-08-17T14:18:42.000Z,8.4K,,8.4K,53,13,without_company
D:\untitled3\.\hubs\arduino,null,753948,smart_alex,2023-08-17T08:01:01.000Z,2.1K,,2.1K,12,8,without_company
D:\untitled3\.\hubs\arduino,null,754234,m0rg0t,2023-08-12T16:12:10.000Z,4K,,4K,13,16,without_company
D:\untitled3\.\hubs\arduino,null,753008,MechanikArtem,2023-08-11T07:53:37.000Z,5.2K,,5.2K,32,11,without_company
D:\untitled3\.\hubs\arduino,null,753894,guryanov,2023-08-11T05:00:01.000Z,3.9K,,3.9K,24,14,without_company
D:\untitled3\.\hubs\arduino,null,753508,RivayMark,2023-08-09T10:31:17.000Z,1.9K,,1.9K,21,16,without_company
D:\untitled3\.\hubs\arduino,null,753464,Winnie_The_Pooh,2023-08-09T09:19:16.000Z,4.4K,,4.4K,22,63,without_company
D:\untitled3\.\hubs\arduino,null,752870,MaFrance351,2023-08-09T08:01:01.000Z,6K,,6K,28,26,without_company
D:\untitled3\.\hubs\arduino,null,751180,smart_alex,2023-08-01T08:01:01.000Z,1.7K,,1.7K,14,4,without_company
