hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\artificial_intelligence,null,776412,Seleditor,2023-11-26T01:22:54.000Z,9.9K,,9.9K,13,15,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,776308,SLY_G,2023-11-25T08:11:31.000Z,5.1K,,5.1K,6,16,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,776312,kalupin,2023-11-25T00:17:47.000Z,1.9K,,1.9K,8,2,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,776160,FlexiTech,2023-11-24T10:29:02.000Z,457,,457,19,2,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,776130,Lithium_vn,2023-11-24T08:48:48.000Z,2.2K,,2.2K,19,2,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,776076,dbalabolin,2023-11-24T08:30:12.000Z,621,,621,3,13,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775870,slivka_83,2023-11-24T06:00:58.000Z,2.8K,,2.8K,37,16,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775946,EKorjikov,2023-11-23T12:25:19.000Z,9.7K,,9.7K,20,29,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775688,maximazzik,2023-11-23T12:00:02.000Z,2K,,2K,34,7,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775912,tunder_tunder,2023-11-23T11:23:15.000Z,2.2K,,2.2K,10,4,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775842,JulliaShulga,2023-11-23T10:11:45.000Z,2.8K,,2.8K,50,0,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775162,techTalesmith,2023-11-23T09:50:01.000Z,4.9K,,4.9K,28,12,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774806,CyberexTech,2023-11-23T08:01:01.000Z,4.3K,,4.3K,64,20,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775112,RastyStaff,2023-11-23T08:00:02.000Z,2.8K,,2.8K,23,2,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775788,AlekseiPodkletnov,2023-11-23T05:44:21.000Z,30K,,30K,84,199,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775780,ananiev_design,2023-11-22T19:50:46.000Z,1K,,1K,1,1,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775692,andreev_dew,2023-11-22T13:54:34.000Z,4.1K,,4.1K,7,6,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775690,redmadrobot,2023-11-22T13:32:26.000Z,478,,478,5,0,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775418,s_valuev,2023-11-22T13:08:55.000Z,2.5K,,2.5K,10,0,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775668,ru_vds,2023-11-22T13:00:01.000Z,16K,,16K,62,202,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775108,Razant,2023-11-22T11:30:02.000Z,2.1K,,2.1K,30,5,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,763270,na_hab,2023-11-22T07:01:02.000Z,1.8K,,1.8K,19,7,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775502,Syurmakov,2023-11-21T17:41:32.000Z,2.5K,,2.5K,15,5,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775466,ananiev_design,2023-11-21T15:32:44.000Z,2.8K,,2.8K,15,4,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775450,Sber,2023-11-21T14:52:30.000Z,3.1K,,3.1K,14,8,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775424,Aqice,2023-11-21T13:11:41.000Z,1.2K,,1.2K,22,0,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775320,divolko3,2023-11-21T09:11:02.000Z,2.8K,,2.8K,17,4,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775274,AirLight,2023-11-21T07:42:50.000Z,2.3K,,2.3K,2,4,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775264,Evgeniya_Ershova,2023-11-21T07:16:35.000Z,595,,595,10,1,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775232,divolko3,2023-11-20T21:52:11.000Z,1.9K,,1.9K,11,3,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775222,cosmic_sofi,2023-11-20T20:27:57.000Z,4.3K,,4.3K,18,1,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775150,MarketAnalyst,2023-11-20T13:10:34.000Z,1.8K,,1.8K,10,10,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775104,ru_vds,2023-11-20T13:00:01.000Z,17K,,17K,60,7,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775082,ragequit,2023-11-20T10:27:40.000Z,42K,,42K,61,278,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775070,DKST,2023-11-20T09:59:02.000Z,9.8K,,9.8K,62,3,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774200,antipov_dmitry,2023-11-20T08:40:06.000Z,1.6K,,1.6K,21,0,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774414,EVRAZ,2023-11-20T08:27:03.000Z,2K,,2K,9,5,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,775032,DavidKharazian,2023-11-20T08:05:22.000Z,2.7K,,2.7K,39,4,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774934,Razant,2023-11-20T07:16:20.000Z,8.1K,,8.1K,39,12,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774992,pamparumba,2023-11-20T05:52:32.000Z,6.1K,,6.1K,31,18,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774958,AlexChroot,2023-11-19T18:22:52.000Z,5K,,5K,7,8,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774944,evia,2023-11-19T16:12:48.000Z,1.6K,,1.6K,19,7,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774844,tech_priestess,2023-11-18T15:06:47.000Z,80K,,80K,990,39,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774688,digitalsibur,2023-11-17T13:26:36.000Z,1.9K,,1.9K,7,0,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774506,dalerank,2023-11-17T00:45:35.000Z,5.7K,,5.7K,32,9,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,773722,DariaSatco,2023-11-16T10:45:06.000Z,1.1K,,1.1K,12,6,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774212,BarakAdama,2023-11-16T09:00:03.000Z,17K,,17K,42,70,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774146,Wladradchenko,2023-11-15T15:27:24.000Z,3.1K,,3.1K,59,10,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774116,Doctor_IT,2023-11-15T14:09:26.000Z,3.4K,,3.4K,36,8,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774106,divolko3,2023-11-15T12:52:18.000Z,2.7K,,2.7K,39,1,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,774050,crazyfrogspb1,2023-11-15T09:06:30.000Z,1.3K,,1.3K,9,0,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,773744,NewTechAudit,2023-11-15T06:39:43.000Z,1.9K,,1.9K,35,2,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,773954,StillWork,2023-11-15T06:10:02.000Z,6K,,6K,34,2,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,773804,akimovpro,2023-11-14T09:07:19.000Z,2.4K,,2.4K,12,0,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,773734,DenisBerezutskiy,2023-11-14T00:37:37.000Z,1.3K,,1.3K,25,10,without_company
D:\untitled3\.\hubs\artificial_intelligence,null,773578,semihal,2023-11-13T13:09:40.000Z,2K,,2K,34,0,without_company
