hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\asp,develop,774056,MaxRokatansky,2023-11-15T09:49:01.000Z,3.5K,,3.5K,30,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,773444,Sivchenko_translate,2023-11-12T22:30:46.000Z,8.5K,,8.5K,40,5,/ru/hubs/programming/
D:\untitled3\.\hubs\asp,develop,764690,1kvin,2023-10-14T02:15:01.000Z,1.5K,,1.5K,11,2,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,758670,1kvin,2023-09-09T02:11:01.000Z,5.1K,,5.1K,78,7,/ru/hubs/programming/
D:\untitled3\.\hubs\asp,develop,754120,MaxRokatansky,2023-08-11T15:59:25.000Z,2.3K,,2.3K,27,4,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,753016,IvanKucherov,2023-08-07T10:48:06.000Z,2.7K,,2.7K,25,10,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,739114,SautinMax,2023-06-06T09:42:35.000Z,7.4K,,7.4K,20,85,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,736294,MaxRokatansky,2023-05-19T11:04:51.000Z,1.9K,,1.9K,10,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,734520,ValeriyPus,2023-05-11T14:18:56.000Z,2.7K,,2.7K,12,47,/ru/hubs/webdev/
D:\untitled3\.\hubs\asp,develop,732860,MaxRokatansky,2023-05-02T13:32:45.000Z,5.8K,,5.8K,34,9,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,723152,Andrey_Biryukov,2023-03-17T16:30:23.000Z,5.3K,,5.3K,37,7,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,714600,MaxRokatansky,2023-02-03T08:43:33.000Z,4.6K,,4.6K,26,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,712222,MaxRokatansky,2023-01-23T10:39:18.000Z,2.5K,,2.5K,21,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,708774,SuccubusHunter,2022-12-31T11:38:37.000Z,13K,,13K,57,9,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,708336,MichaelSkirda,2022-12-28T20:26:41.000Z,13K,,13K,37,15,/ru/hubs/linux/
D:\untitled3\.\hubs\asp,develop,707108,SSul,2022-12-23T06:39:30.000Z,13K,,13K,68,8,/ru/companies/simbirsoft/articles/
D:\untitled3\.\hubs\asp,develop,703536,spacedmi,2022-12-05T10:10:08.000Z,3.5K,,3.5K,30,13,/ru/hubs/programming/
D:\untitled3\.\hubs\asp,develop,701352,Whishare,2022-11-24T12:25:37.000Z,24K,,24K,63,31,/ru/hubs/programming/
D:\untitled3\.\hubs\asp,develop,699448,rikki_tikki,2022-11-15T09:56:46.000Z,2.6K,,2.6K,26,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,696164,MaxRokatansky,2022-10-28T16:02:21.000Z,1.8K,,1.8K,17,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,681662,MaxRokatansky,2022-08-09T13:16:36.000Z,3.5K,,3.5K,31,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,675310,MrPomidor,2022-07-06T04:25:33.000Z,19K,,19K,95,16,/ru/hubs/hi/
D:\untitled3\.\hubs\asp,develop,673224,MrPomidor,2022-06-24T09:16:39.000Z,4.7K,,4.7K,36,0,/ru/hubs/hi/
D:\untitled3\.\hubs\asp,develop,672382,NewTechAudit,2022-06-20T10:59:25.000Z,5K,,5K,30,2,/ru/hubs/programming/
D:\untitled3\.\hubs\asp,develop,669176,MrPomidor,2022-06-01T22:37:01.000Z,12K,,12K,80,5,/ru/hubs/hi/
D:\untitled3\.\hubs\asp,develop,666924,leksiq,2022-05-31T08:10:38.000Z,4K,,4K,32,27,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\asp,develop,666676,rikki_tikki,2022-05-19T13:25:58.000Z,21K,,21K,53,12,/ru/companies/otus/articles/
D:\untitled3\.\hubs\asp,develop,665482,Prorom-exe,2022-05-12T21:36:07.000Z,3.7K,,3.7K,13,1,/ru/hubs/webdev/
D:\untitled3\.\hubs\asp,develop,664712,leksiq,2022-05-06T15:00:52.000Z,3.9K,,3.9K,19,13,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,658847,Vadimyan,2022-04-03T15:50:17.000Z,33K,,33K,114,10,/ru/hubs/programming/
D:\untitled3\.\hubs\asp,develop,656723,leksiq,2022-03-22T06:19:25.000Z,15K,,15K,21,0,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,656441,leksiq,2022-03-18T19:02:46.000Z,6.5K,,6.5K,24,4,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,655909,AntonAntonov88,2022-03-16T07:42:15.000Z,6.8K,,6.8K,41,12,/ru/hubs/programming/
D:\untitled3\.\hubs\asp,develop,654123,leksiq,2022-03-02T15:36:46.000Z,3.4K,,3.4K,17,5,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,653395,leksiq,2022-02-25T04:55:36.000Z,4.8K,,4.8K,38,14,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,649915,dkshibekov,2022-02-05T21:32:36.000Z,42K,,42K,84,22,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,649827,dkshibekov,2022-02-04T20:19:35.000Z,14K,,14K,66,13,/ru/hubs/net/
D:\untitled3\.\hubs\asp,develop,649645,dkshibekov,2022-02-03T21:02:55.000Z,37K,,37K,47,38,/ru/hubs/net/
