hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\assembler,develop,773780,mark_ablov,2023-11-14T08:28:42.000Z,41K,,41K,136,41,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,771952,osieman,2023-11-04T21:34:05.000Z,8.5K,,8.5K,40,17,/ru/hubs/cpp/
D:\untitled3\.\hubs\assembler,develop,766044,Number571,2023-10-31T16:25:57.000Z,13K,,13K,90,5,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,768868,Zara6502,2023-10-31T06:31:53.000Z,1.7K,,1.7K,17,23,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,769050,Offensive,2023-10-21T20:01:43.000Z,12K,,12K,69,48,/ru/hubs/cpp/
D:\untitled3\.\hubs\assembler,develop,721420,RigelGL,2023-10-19T09:02:55.000Z,8.2K,,8.2K,47,24,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,767144,Swamp_Dok,2023-10-13T17:34:50.000Z,9.9K,,9.9K,53,22,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,766760,Yashechka,2023-10-11T12:12:35.000Z,3.7K,,3.7K,31,6,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\assembler,develop,765074,alizar,2023-10-09T09:00:01.000Z,9.2K,,9.2K,57,8,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\assembler,develop,765420,Sivchenko_translate,2023-10-04T21:49:54.000Z,6.7K,,6.7K,71,2,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,763636,piton_nsk,2023-09-26T19:20:03.000Z,17K,,17K,124,86,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,760200,jin_x,2023-09-12T08:22:45.000Z,2.7K,,2.7K,32,13,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,759914,jin_x,2023-09-09T18:24:27.000Z,10K,,10K,64,35,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,757392,VasiliiKirienko,2023-08-28T12:31:28.000Z,20K,,20K,15,86,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,757140,ElonReeve,2023-08-27T06:24:23.000Z,11K,,11K,11,46,/ru/hubs/open_source/
D:\untitled3\.\hubs\assembler,develop,756314,frog,2023-08-26T17:42:29.000Z,17K,,17K,90,10,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,746658,pvvv,2023-08-16T10:56:14.000Z,2.6K,,2.6K,25,6,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,754610,himysay,2023-08-15T05:28:50.000Z,803,,803,9,0,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,753794,himysay,2023-08-10T11:27:28.000Z,1.3K,,1.3K,13,7,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,752974,lehiss,2023-08-07T09:11:03.000Z,25K,,25K,84,12,/ru/companies/stc_spb/articles/
D:\untitled3\.\hubs\assembler,develop,752692,Blaukovitch,2023-08-05T15:31:16.000Z,33K,,33K,75,122,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,752178,Bizonozubr,2023-08-04T06:07:35.000Z,5.3K,,5.3K,41,16,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\assembler,develop,752366,Dmitri_L,2023-08-03T16:45:54.000Z,1.4K,,1.4K,15,10,/ru/hubs/sw/
D:\untitled3\.\hubs\assembler,develop,750554,Dovgaluk,2023-08-03T05:07:01.000Z,5.8K,,5.8K,41,35,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,750734,Cloud4Y,2023-07-27T07:37:25.000Z,6.4K,,6.4K,67,7,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\assembler,develop,749480,ProgMiner,2023-07-21T00:23:00.000Z,2.8K,,2.8K,31,4,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,748262,Dukarav,2023-07-16T04:05:01.000Z,5K,,5K,34,8,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,747826,Bright_Translate,2023-07-14T13:00:01.000Z,37K,,37K,161,304,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\assembler,develop,746148,Andrey_Biryukov,2023-07-06T07:49:52.000Z,3K,,3K,33,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\assembler,develop,745442,Albert_Wesker,2023-07-03T08:01:01.000Z,11K,,11K,55,30,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\assembler,develop,741840,Bright_Translate,2023-06-18T10:00:02.000Z,7.6K,,7.6K,42,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\assembler,develop,741192,himysay,2023-06-11T22:19:32.000Z,3.1K,,3.1K,13,11,/ru/hubs/php/
D:\untitled3\.\hubs\assembler,develop,739608,shiru8bit,2023-06-09T09:00:01.000Z,3.2K,,3.2K,20,38,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,739620,forthuse,2023-06-03T12:02:38.000Z,17K,,17K,76,21,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,738978,shiru8bit,2023-06-02T09:00:06.000Z,1.6K,,1.6K,13,5,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,739040,forthuse,2023-06-02T04:03:55.000Z,648,,648,10,0,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,739038,forthuse,2023-06-02T03:58:24.000Z,809,,809,11,1,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,739034,forthuse,2023-06-02T03:53:30.000Z,672,,672,6,3,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,739012,forthuse,2023-05-31T19:50:51.000Z,2.8K,,2.8K,23,5,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,735794,CuriousGeorgiy,2023-05-31T07:57:33.000Z,1.9K,,1.9K,14,11,/ru/companies/vk/articles/
D:\untitled3\.\hubs\assembler,develop,738272,gir004,2023-05-29T11:02:05.000Z,3.2K,,3.2K,32,11,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,737078,shiru8bit,2023-05-26T12:40:01.000Z,2.8K,,2.8K,14,4,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,733948,vda19999,2023-05-08T17:54:29.000Z,12K,,12K,69,16,/ru/hubs/cpp/
D:\untitled3\.\hubs\assembler,develop,732542,TNVC,2023-04-30T15:34:34.000Z,3.5K,,3.5K,17,7,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,732434,vda19999,2023-04-29T13:52:16.000Z,20K,,20K,92,41,/ru/hubs/python/
D:\untitled3\.\hubs\assembler,develop,730552,Dukarav,2023-04-21T05:21:01.000Z,5.6K,,5.6K,21,4,/ru/hubs/complete_code/
D:\untitled3\.\hubs\assembler,develop,728430,Dukarav,2023-04-12T05:10:02.000Z,1.8K,,1.8K,11,25,/ru/hubs/complete_code/
D:\untitled3\.\hubs\assembler,develop,727918,dlinyj,2023-04-11T08:05:11.000Z,20K,,20K,197,57,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\assembler,develop,726276,aleaksah,2023-04-01T04:17:01.000Z,4.5K,,4.5K,19,44,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,720886,Dovgaluk,2023-04-01T03:27:04.000Z,4.8K,,4.8K,29,6,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,724808,DevFM,2023-03-26T10:58:01.000Z,26K,,26K,213,19,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,724332,PatientZero,2023-03-24T07:34:57.000Z,4.5K,,4.5K,43,3,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,724096,Alikberov,2023-03-22T14:00:11.000Z,2.6K,,2.6K,25,19,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,723400,TalismanChet,2023-03-19T13:54:06.000Z,7.4K,,7.4K,36,57,/ru/hubs/python/
D:\untitled3\.\hubs\assembler,develop,722532,VitGo,2023-03-15T10:12:58.000Z,13K,,13K,61,97,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,721482,litwr2,2023-03-11T07:46:48.000Z,5.6K,,5.6K,31,10,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,721654,himysay,2023-03-10T21:35:04.000Z,2.3K,,2.3K,18,4,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,721168,himysay,2023-03-08T19:06:29.000Z,2.2K,,2.2K,22,3,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,720582,svistunov,2023-03-06T07:56:10.000Z,5K,,5K,52,1,/ru/hubs/hi/
D:\untitled3\.\hubs\assembler,develop,720436,Rouse,2023-03-04T16:57:03.000Z,8.4K,,8.4K,96,24,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\assembler,develop,719636,himysay,2023-02-28T21:05:43.000Z,1.3K,,1.3K,12,0,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,716254,himysay,2023-02-10T22:04:44.000Z,3.7K,,3.7K,20,17,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,715994,himysay,2023-02-09T20:05:01.000Z,2.4K,,2.4K,9,2,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,713550,AtariSMN82,2023-01-30T22:24:53.000Z,11K,,11K,94,54,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,713446,sa2304,2023-01-28T19:18:12.000Z,5K,,5K,38,5,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\assembler,develop,712848,Dukarav,2023-01-26T02:40:02.000Z,2.2K,,2.2K,20,12,/ru/hubs/complete_code/
D:\untitled3\.\hubs\assembler,develop,709008,ru_vds,2023-01-04T13:00:02.000Z,11K,,11K,57,13,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\assembler,develop,707862,dcc0,2022-12-27T06:59:13.000Z,3.1K,,3.1K,22,0,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,706484,YuriPanchul,2022-12-20T08:49:14.000Z,119K,,119K,174,222,/ru/hubs/assembler/
D:\untitled3\.\hubs\assembler,develop,703036,Number571,2022-12-02T06:13:46.000Z,5.4K,,5.4K,13,9,/ru/hubs/programming/
D:\untitled3\.\hubs\assembler,develop,702814,vda19999,2022-12-01T09:35:46.000Z,5.9K,,5.9K,26,4,/ru/hubs/crazydev/
D:\untitled3\.\hubs\assembler,develop,702308,mmezentsev,2022-11-30T05:22:45.000Z,26K,,26K,125,161,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\assembler,develop,700722,dlinyj,2022-11-24T08:01:02.000Z,23K,,23K,153,70,/ru/companies/timeweb/articles/
