hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\astronomy,popsci,776060,SLY_G,2023-11-24T07:35:08.000Z,3.9K,,3.9K,6,0,without_company
D:\untitled3\.\hubs\astronomy,popsci,771938,lawrence_flaming,2023-11-24T06:00:01.000Z,2.1K,,2.1K,20,7,without_company
D:\untitled3\.\hubs\astronomy,popsci,776030,SLY_G,2023-11-23T17:33:33.000Z,2.8K,,2.8K,13,2,without_company
D:\untitled3\.\hubs\astronomy,popsci,775458,AstroTubo,2023-11-21T15:08:53.000Z,940,,940,3,10,without_company
D:\untitled3\.\hubs\astronomy,popsci,775436,SLY_G,2023-11-21T14:03:07.000Z,3.2K,,3.2K,9,9,without_company
D:\untitled3\.\hubs\astronomy,popsci,774948,OlegSivchenko,2023-11-19T17:05:04.000Z,6.8K,,6.8K,19,60,without_company
D:\untitled3\.\hubs\astronomy,popsci,774946,arheo_pterix,2023-11-19T16:58:08.000Z,3.7K,,3.7K,14,21,without_company
D:\untitled3\.\hubs\astronomy,popsci,774750,Petr0v1,2023-11-19T09:00:01.000Z,4.7K,,4.7K,5,0,without_company
D:\untitled3\.\hubs\astronomy,popsci,774886,ArduinoMiniProjects,2023-11-19T07:14:52.000Z,2.1K,,2.1K,15,1,without_company
D:\untitled3\.\hubs\astronomy,popsci,774612,Petr0v1,2023-11-17T10:12:34.000Z,2.9K,,2.9K,8,0,without_company
D:\untitled3\.\hubs\astronomy,popsci,773964,valisak,2023-11-16T13:00:01.000Z,6.7K,,6.7K,21,12,without_company
D:\untitled3\.\hubs\astronomy,popsci,773732,SLY_G,2023-11-14T08:11:02.000Z,1.8K,,1.8K,8,2,without_company
D:\untitled3\.\hubs\astronomy,popsci,773678,SLY_G,2023-11-13T16:44:52.000Z,2.8K,,2.8K,8,1,without_company
D:\untitled3\.\hubs\astronomy,popsci,772976,klimkovsky,2023-11-09T17:27:15.000Z,4.5K,,4.5K,3,0,without_company
D:\untitled3\.\hubs\astronomy,popsci,772910,Shkaff,2023-11-09T13:03:04.000Z,12K,,12K,49,84,without_company
D:\untitled3\.\hubs\astronomy,popsci,772902,SLY_G,2023-11-09T12:39:29.000Z,8K,,8K,19,4,without_company
D:\untitled3\.\hubs\astronomy,popsci,772562,realuniverse,2023-11-08T09:38:02.000Z,3.1K,,3.1K,36,34,without_company
D:\untitled3\.\hubs\astronomy,popsci,772460,SLY_G,2023-11-08T08:31:01.000Z,2.7K,,2.7K,7,2,without_company
D:\untitled3\.\hubs\astronomy,popsci,772294,Petr0v1,2023-11-07T13:30:02.000Z,1.6K,,1.6K,8,1,without_company
D:\untitled3\.\hubs\astronomy,popsci,772148,OlegSivchenko,2023-11-06T18:36:09.000Z,6K,,6K,32,10,without_company
D:\untitled3\.\hubs\astronomy,popsci,771856,SLY_G,2023-11-05T08:36:01.000Z,2.7K,,2.7K,9,1,without_company
D:\untitled3\.\hubs\astronomy,popsci,771520,Cloud4Y,2023-11-02T12:42:37.000Z,2.7K,,2.7K,9,15,without_company
D:\untitled3\.\hubs\astronomy,popsci,771032,valisak,2023-11-02T09:00:02.000Z,19K,,19K,52,44,without_company
D:\untitled3\.\hubs\astronomy,popsci,771384,SLY_G,2023-11-02T08:01:04.000Z,1.5K,,1.5K,4,5,without_company
D:\untitled3\.\hubs\astronomy,popsci,771368,SLY_G,2023-11-01T16:51:01.000Z,1.9K,,1.9K,7,13,without_company
D:\untitled3\.\hubs\astronomy,popsci,771364,SLY_G,2023-11-01T15:36:59.000Z,2.1K,,2.1K,6,0,without_company
D:\untitled3\.\hubs\astronomy,popsci,771264,klimkovsky,2023-11-01T10:00:47.000Z,5K,,5K,9,9,without_company
D:\untitled3\.\hubs\astronomy,popsci,771130,tarlakovsky,2023-10-31T21:01:02.000Z,1.7K,,1.7K,6,4,without_company
D:\untitled3\.\hubs\astronomy,popsci,771140,SLY_G,2023-10-31T19:55:45.000Z,1.7K,,1.7K,6,1,without_company
D:\untitled3\.\hubs\astronomy,popsci,770832,AstroTubo,2023-10-30T15:58:56.000Z,2K,,2K,3,0,without_company
D:\untitled3\.\hubs\astronomy,popsci,770752,klimensky,2023-10-30T11:31:40.000Z,2.1K,,2.1K,10,3,without_company
D:\untitled3\.\hubs\astronomy,popsci,770468,Petr0v1,2023-10-29T08:30:01.000Z,15K,,15K,16,21,without_company
D:\untitled3\.\hubs\astronomy,popsci,769962,valisak,2023-10-28T13:00:01.000Z,17K,,17K,44,51,without_company
D:\untitled3\.\hubs\astronomy,popsci,770242,SLY_G,2023-10-27T10:37:02.000Z,5.6K,,5.6K,21,52,without_company
D:\untitled3\.\hubs\astronomy,popsci,770330,Petr0v1,2023-10-27T10:18:46.000Z,2.7K,,2.7K,12,40,without_company
D:\untitled3\.\hubs\astronomy,popsci,770286,AstroTubo,2023-10-27T07:55:34.000Z,1.2K,,1.2K,6,2,without_company
D:\untitled3\.\hubs\astronomy,popsci,769558,Petr0v1,2023-10-24T11:01:52.000Z,2.1K,,2.1K,9,1,without_company
D:\untitled3\.\hubs\astronomy,popsci,769404,SLY_G,2023-10-23T17:55:04.000Z,4.5K,,4.5K,14,7,without_company
D:\untitled3\.\hubs\astronomy,popsci,769086,tarlakovsky,2023-10-22T09:16:56.000Z,1.9K,,1.9K,6,0,without_company
D:\untitled3\.\hubs\astronomy,popsci,769036,ElonReeveMusk,2023-10-21T17:55:37.000Z,6.6K,,6.6K,4,17,without_company
D:\untitled3\.\hubs\astronomy,popsci,768934,SLY_G,2023-10-20T19:20:56.000Z,3.5K,,3.5K,8,2,without_company
D:\untitled3\.\hubs\astronomy,popsci,768744,Petr0v1,2023-10-20T08:18:01.000Z,2.1K,,2.1K,4,9,without_company
D:\untitled3\.\hubs\astronomy,popsci,768180,valisak,2023-10-19T13:00:02.000Z,9K,,9K,39,21,without_company
D:\untitled3\.\hubs\astronomy,popsci,768420,SLY_G,2023-10-19T08:15:01.000Z,304K,,304K,19,169,without_company
D:\untitled3\.\hubs\astronomy,popsci,768364,Petr0v1,2023-10-18T15:36:52.000Z,4.9K,,4.9K,10,7,without_company
D:\untitled3\.\hubs\astronomy,popsci,767880,SLY_G,2023-10-16T21:17:32.000Z,2.8K,,2.8K,8,3,without_company
D:\untitled3\.\hubs\astronomy,popsci,767726,Petr0v1,2023-10-16T10:19:45.000Z,2.3K,,2.3K,17,5,without_company
D:\untitled3\.\hubs\astronomy,popsci,767594,OlegSivchenko,2023-10-15T20:00:49.000Z,5.6K,,5.6K,21,39,without_company
D:\untitled3\.\hubs\astronomy,popsci,767556,SLY_G,2023-10-15T14:35:01.000Z,6.8K,,6.8K,16,8,without_company
D:\untitled3\.\hubs\astronomy,popsci,767472,SLY_G,2023-10-15T09:08:02.000Z,6.4K,,6.4K,27,62,without_company
