hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\autogadgets,null,773652,Vik_E,2023-11-13T15:10:46.000Z,1.9K,,1.9K,10,2,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\autogadgets,null,771894,sfsdart,2023-11-09T14:19:52.000Z,8.3K,,8.3K,43,31,/ru/companies/3rdman/articles/
D:\untitled3\.\hubs\autogadgets,null,772028,TinyElectronicFriends,2023-11-09T13:00:01.000Z,4.7K,,4.7K,18,6,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\autogadgets,null,769028,lomovtsevdn,2023-10-21T16:18:43.000Z,7.6K,,7.6K,19,31,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\autogadgets,null,767584,webzuweb,2023-10-15T18:49:57.000Z,21K,,21K,89,75,/ru/hubs/android_dev/
D:\untitled3\.\hubs\autogadgets,null,766120,TinyElectronicFriends,2023-10-12T09:00:01.000Z,4.9K,,4.9K,34,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\autogadgets,null,765950,AZazeJIb,2023-10-07T11:40:25.000Z,1.7K,,1.7K,25,13,/ru/hubs/robo_dev/
D:\untitled3\.\hubs\autogadgets,null,764206,TinyElectronicFriends,2023-10-04T09:00:01.000Z,8.1K,,8.1K,52,38,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\autogadgets,null,762360,mvideo,2023-09-20T14:53:02.000Z,5.1K,,5.1K,16,14,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\autogadgets,null,748104,Dani17,2023-07-14T12:54:51.000Z,6.1K,,6.1K,14,30,/ru/hubs/autogadgets/
D:\untitled3\.\hubs\autogadgets,null,747598,Zel,2023-07-12T15:14:08.000Z,3.1K,,3.1K,11,30,/ru/hubs/energy/
D:\untitled3\.\hubs\autogadgets,null,745552,the_bat,2023-07-03T11:40:36.000Z,10K,,10K,11,32,/ru/hubs/prototyping/
D:\untitled3\.\hubs\autogadgets,null,741990,Cloud4Y,2023-06-16T07:52:39.000Z,12K,,12K,43,16,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\autogadgets,null,739922,mvideo,2023-06-05T12:59:33.000Z,14K,,14K,23,94,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\autogadgets,null,738642,MDXE1337,2023-05-30T14:00:16.000Z,4.7K,,4.7K,11,8,/ru/companies/itglobalcom/articles/
D:\untitled3\.\hubs\autogadgets,null,729280,TinyElectronicFriends,2023-04-27T17:00:01.000Z,4.2K,,4.2K,19,10,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\autogadgets,null,729862,innokenty_vyz,2023-04-18T15:00:01.000Z,5.6K,,5.6K,20,125,/ru/companies/3rdman/articles/
D:\untitled3\.\hubs\autogadgets,null,727740,WitFed,2023-04-07T21:42:29.000Z,5.3K,,5.3K,17,17,/ru/hubs/hi/
D:\untitled3\.\hubs\autogadgets,null,726716,DRoman0v,2023-04-03T22:59:54.000Z,3.9K,,3.9K,4,9,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\autogadgets,null,718530,slavanikolsky,2023-03-18T14:01:01.000Z,10K,,10K,17,69,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\autogadgets,null,722178,TinyElectronicFriends,2023-03-16T13:00:02.000Z,3.1K,,3.1K,24,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\autogadgets,null,720854,aabzel,2023-03-12T16:32:04.000Z,7.6K,,7.6K,37,58,/ru/hubs/controllers/
D:\untitled3\.\hubs\autogadgets,null,720482,aabzel,2023-03-05T18:40:58.000Z,3.2K,,3.2K,25,12,/ru/hubs/controllers/
D:\untitled3\.\hubs\autogadgets,null,715686,TinyElectronicFriends,2023-02-10T09:00:01.000Z,4.6K,,4.6K,20,7,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\autogadgets,null,714880,mikeveng73,2023-02-04T20:32:40.000Z,8.5K,,8.5K,14,52,/ru/hubs/zadachki/
D:\untitled3\.\hubs\autogadgets,null,714296,AKTIAS_tech,2023-02-01T17:58:16.000Z,5.6K,,5.6K,23,157,/ru/hubs/artificial_intelligence/
D:\untitled3\.\hubs\autogadgets,null,713312,Cloud4Y,2023-01-30T10:34:54.000Z,13K,,13K,35,2,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\autogadgets,null,711380,Greiv656,2023-01-30T02:04:54.000Z,20K,,20K,50,32,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\autogadgets,null,712168,innokenty_vyz,2023-01-24T14:00:02.000Z,5K,,5K,16,92,/ru/companies/3rdman/articles/
D:\untitled3\.\hubs\autogadgets,null,712264,Cloud4Y,2023-01-23T13:11:28.000Z,16K,,16K,48,11,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\autogadgets,null,712054,AKTIAS_tech,2023-01-23T06:27:30.000Z,1.2K,,1.2K,4,12,/ru/hubs/db_admins/
D:\untitled3\.\hubs\autogadgets,null,711506,TinyElectronicFriends,2023-01-20T09:00:02.000Z,5.3K,,5.3K,27,3,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\autogadgets,null,710438,Zel,2023-01-17T18:42:22.000Z,4.9K,,4.9K,10,2,/ru/hubs/gadgets/
D:\untitled3\.\hubs\autogadgets,null,710906,Cloud4Y,2023-01-16T12:42:12.000Z,5K,,5K,22,16,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\autogadgets,null,709734,TinyElectronicFriends,2023-01-13T09:00:03.000Z,10K,,10K,30,25,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\autogadgets,null,709392,Dron_Gus,2023-01-07T14:20:43.000Z,71K,,71K,120,216,/ru/hubs/reverse-engineering/
D:\untitled3\.\hubs\autogadgets,null,708864,Irina_klein,2023-01-02T09:38:02.000Z,3.2K,,3.2K,1,2,/ru/companies/ua-hosting/articles/
