hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\backup,admin,775582,Igles,2023-11-22T07:50:01.000Z,623,,623,7,0,without_company
D:\untitled3\.\hubs\backup,admin,773994,Zextras,2023-11-15T10:30:02.000Z,315,,315,1,2,without_company
D:\untitled3\.\hubs\backup,admin,773200,Cyberprotect,2023-11-10T15:08:00.000Z,1.2K,,1.2K,2,4,without_company
D:\untitled3\.\hubs\backup,admin,769622,kvaps,2023-10-24T13:20:19.000Z,2.6K,,2.6K,37,3,without_company
D:\untitled3\.\hubs\backup,admin,768260,Igles,2023-10-18T10:01:53.000Z,2K,,2K,3,11,without_company
D:\untitled3\.\hubs\backup,admin,768014,Doctor_IT,2023-10-17T12:17:53.000Z,2.5K,,2.5K,21,1,without_company
D:\untitled3\.\hubs\backup,admin,766170,CyberAGF,2023-10-13T09:43:09.000Z,1.5K,,1.5K,8,0,without_company
D:\untitled3\.\hubs\backup,admin,765454,CyberAGF,2023-10-05T10:07:27.000Z,1.7K,,1.7K,11,4,without_company
D:\untitled3\.\hubs\backup,admin,761182,litweg,2023-09-15T05:00:02.000Z,2.8K,,2.8K,12,7,without_company
D:\untitled3\.\hubs\backup,admin,755920,MechNIX,2023-09-06T08:01:02.000Z,11K,,11K,22,26,without_company
D:\untitled3\.\hubs\backup,admin,759164,revoitic,2023-09-06T07:25:59.000Z,10K,,10K,85,25,without_company
D:\untitled3\.\hubs\backup,admin,758270,ru_vds,2023-09-02T10:00:01.000Z,19K,,19K,84,61,without_company
D:\untitled3\.\hubs\backup,admin,754960,dataline,2023-08-17T05:16:54.000Z,2.9K,,2.9K,18,5,without_company
D:\untitled3\.\hubs\backup,admin,754628,fromfedorov,2023-08-15T06:30:48.000Z,2K,,2K,15,6,without_company
D:\untitled3\.\hubs\backup,admin,751720,randall,2023-08-01T13:20:20.000Z,5.4K,,5.4K,28,5,without_company
D:\untitled3\.\hubs\backup,admin,751770,CyberAGF,2023-08-01T12:41:25.000Z,4.4K,,4.4K,18,22,without_company
D:\untitled3\.\hubs\backup,admin,750830,CyberAGF,2023-07-27T12:33:07.000Z,5.5K,,5.5K,14,14,without_company
D:\untitled3\.\hubs\backup,admin,749552,olezza,2023-07-21T12:14:45.000Z,2K,,2K,7,4,without_company
D:\untitled3\.\hubs\backup,admin,747698,Cyberprotect,2023-07-14T12:26:03.000Z,6.2K,,6.2K,16,17,without_company
D:\untitled3\.\hubs\backup,admin,745990,atomlib,2023-07-05T08:36:31.000Z,23K,,23K,19,71,without_company
D:\untitled3\.\hubs\backup,admin,745792,pvlchv,2023-07-04T09:32:39.000Z,4.4K,,4.4K,32,3,without_company
D:\untitled3\.\hubs\backup,admin,744948,kmolochkov,2023-06-30T05:16:54.000Z,6.5K,,6.5K,43,11,without_company
D:\untitled3\.\hubs\backup,admin,744032,Asidorenko,2023-06-27T16:43:35.000Z,3.5K,,3.5K,12,13,without_company
D:\untitled3\.\hubs\backup,admin,743046,Doctor_IT,2023-06-21T10:36:58.000Z,8.2K,,8.2K,20,14,without_company
D:\untitled3\.\hubs\backup,admin,739076,pochenix,2023-06-06T07:01:03.000Z,2.3K,,2.3K,23,2,without_company
D:\untitled3\.\hubs\backup,admin,736676,i_korobov,2023-05-22T10:46:09.000Z,1.4K,,1.4K,2,0,without_company
D:\untitled3\.\hubs\backup,admin,734434,Cyber_Chi1i,2023-05-11T12:15:02.000Z,3.3K,,3.3K,4,5,without_company
D:\untitled3\.\hubs\backup,admin,734070,ru_vds,2023-05-10T09:00:01.000Z,20K,,20K,96,27,without_company
D:\untitled3\.\hubs\backup,admin,729636,vStack,2023-04-17T17:09:07.000Z,2.5K,,2.5K,15,6,without_company
D:\untitled3\.\hubs\backup,admin,728324,Doctor_IT,2023-04-11T12:28:04.000Z,4.4K,,4.4K,23,3,without_company
D:\untitled3\.\hubs\backup,admin,726102,ru_vds,2023-03-31T13:00:01.000Z,2.8K,,2.8K,30,22,without_company
D:\untitled3\.\hubs\backup,admin,725288,ErmolaevD,2023-03-28T09:56:42.000Z,4.1K,,4.1K,8,5,without_company
D:\untitled3\.\hubs\backup,admin,724900,EKorotkikh,2023-03-27T06:30:05.000Z,1.9K,,1.9K,9,2,without_company
D:\untitled3\.\hubs\backup,admin,719132,r_andreev,2023-03-24T09:50:51.000Z,3.7K,,3.7K,19,4,without_company
D:\untitled3\.\hubs\backup,admin,715104,alizar,2023-02-13T09:00:01.000Z,11K,,11K,49,99,without_company
D:\untitled3\.\hubs\backup,admin,715808,Andrey_Biryukov,2023-02-09T15:26:26.000Z,10K,,10K,66,3,without_company
D:\untitled3\.\hubs\backup,admin,714618,FirstJohn,2023-02-06T08:00:01.000Z,9.4K,,9.4K,60,15,without_company
D:\untitled3\.\hubs\backup,admin,714944,GlobalSign_admin,2023-02-05T13:44:20.000Z,7.6K,,7.6K,49,9,without_company
D:\untitled3\.\hubs\backup,admin,714144,Mikhail_nmv,2023-02-01T09:49:47.000Z,1.1K,,1.1K,5,1,without_company
D:\untitled3\.\hubs\backup,admin,712898,PaulSarafanov,2023-01-26T03:46:18.000Z,10K,,10K,65,18,without_company
D:\untitled3\.\hubs\backup,admin,711938,smirnov_dm,2023-01-21T08:00:02.000Z,3.2K,,3.2K,21,5,without_company
D:\untitled3\.\hubs\backup,admin,711048,Cyber_Chi1i,2023-01-17T08:06:57.000Z,3.2K,,3.2K,7,4,without_company
D:\untitled3\.\hubs\backup,admin,710114,Mikhail_nmv,2023-01-12T08:46:01.000Z,844,,844,2,0,without_company
D:\untitled3\.\hubs\backup,admin,706820,alzotov,2023-01-10T08:24:51.000Z,4.3K,,4.3K,12,16,without_company
D:\untitled3\.\hubs\backup,admin,705586,randall,2022-12-27T13:45:49.000Z,8.6K,,8.6K,30,19,without_company
D:\untitled3\.\hubs\backup,admin,706382,randall,2022-12-19T15:28:08.000Z,4.1K,,4.1K,28,9,without_company
D:\untitled3\.\hubs\backup,admin,705294,a_savitskiy,2022-12-14T11:36:36.000Z,2.1K,,2.1K,14,1,without_company
D:\untitled3\.\hubs\backup,admin,705048,menshakovvv,2022-12-13T06:28:14.000Z,2.5K,,2.5K,15,2,without_company
D:\untitled3\.\hubs\backup,admin,703712,shasoftX,2022-12-09T03:08:52.000Z,3.1K,,3.1K,12,14,without_company
D:\untitled3\.\hubs\backup,admin,703540,Cloud4Y,2022-12-07T07:56:02.000Z,42K,,42K,201,156,without_company
D:\untitled3\.\hubs\backup,admin,701960,ruvds,2022-12-05T09:00:02.000Z,21K,,21K,85,92,without_company
D:\untitled3\.\hubs\backup,admin,699420,CNS-it,2022-11-15T07:59:05.000Z,5.7K,,5.7K,24,3,without_company
D:\untitled3\.\hubs\backup,admin,696768,CyberZakhar,2022-11-01T10:40:45.000Z,2.8K,,2.8K,9,2,without_company
D:\untitled3\.\hubs\backup,admin,694486,alizar,2022-10-26T09:00:02.000Z,10K,,10K,74,19,without_company
D:\untitled3\.\hubs\backup,admin,693056,pr0l,2022-10-13T10:07:59.000Z,6.9K,,6.9K,62,1,without_company
D:\untitled3\.\hubs\backup,admin,692338,AndreyMitrofanov,2022-10-10T09:04:16.000Z,41K,,41K,56,172,without_company
D:\untitled3\.\hubs\backup,admin,686892,idegree,2022-10-06T13:48:58.000Z,7.2K,,7.2K,39,22,without_company
D:\untitled3\.\hubs\backup,admin,690618,CyberZakhar,2022-09-28T12:56:58.000Z,2.8K,,2.8K,9,1,without_company
D:\untitled3\.\hubs\backup,admin,690566,oldadmin,2022-09-28T09:00:02.000Z,8.2K,,8.2K,30,7,without_company
