hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\biology,popsci,776274,Sci-Cortex,2023-11-24T18:39:44.000Z,4.3K,,4.3K,14,14,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,775564,VAE,2023-11-24T09:24:09.000Z,1.1K,,1.1K,20,0,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,776096,BiktorSergeev,2023-11-24T06:48:02.000Z,3.9K,,3.9K,12,7,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\biology,popsci,776030,SLY_G,2023-11-23T17:33:33.000Z,2.8K,,2.8K,13,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,775410,InBioReactor,2023-11-21T12:29:32.000Z,5.8K,,5.8K,45,29,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,775122,InBioReactor,2023-11-20T11:49:44.000Z,5.6K,,5.6K,30,28,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,773684,CatScience,2023-11-15T12:15:02.000Z,20K,,20K,40,52,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,773764,Dmytro_Kikot,2023-11-15T08:00:04.000Z,532,,532,13,1,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\biology,popsci,772244,VAE,2023-11-14T13:13:21.000Z,8.5K,,8.5K,60,35,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,773678,SLY_G,2023-11-13T16:44:52.000Z,2.8K,,2.8K,8,1,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,773346,imhotep1985,2023-11-12T05:38:47.000Z,7K,,7K,30,49,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,772902,SLY_G,2023-11-09T12:39:29.000Z,8K,,8K,19,4,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,772148,OlegSivchenko,2023-11-06T18:36:09.000Z,6K,,6K,32,10,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,771392,SLY_G,2023-11-02T10:14:01.000Z,8.4K,,8.4K,13,16,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,771144,SLY_G,2023-10-31T20:59:01.000Z,34K,,34K,29,44,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biology,popsci,770518,robesper,2023-10-28T20:01:41.000Z,14K,,14K,84,23,/ru/hubs/brain/
D:\untitled3\.\hubs\biology,popsci,770046,Dmytro_Kikot,2023-10-27T07:00:04.000Z,904,,904,11,6,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\biology,popsci,768922,Sixshaman,2023-10-20T17:17:41.000Z,6K,,6K,34,66,/ru/hubs/biotech/
D:\untitled3\.\hubs\biology,popsci,768542,divolko3,2023-10-19T10:00:12.000Z,8.3K,,8.3K,25,15,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\biology,popsci,768482,ITMan82,2023-10-19T08:12:56.000Z,17K,,17K,50,28,/ru/companies/itglobalcom/articles/
