hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\biotech,null,775410,InBioReactor,2023-11-21T12:29:32.000Z,5.8K,,5.8K,45,29,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,772244,VAE,2023-11-14T13:13:21.000Z,8.5K,,8.5K,60,35,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,770238,SLY_G,2023-10-27T09:06:01.000Z,12K,,12K,16,75,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,768974,divolko3,2023-10-22T10:00:04.000Z,5.2K,,5.2K,15,11,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\biotech,null,768922,Sixshaman,2023-10-20T17:17:41.000Z,6K,,6K,34,66,/ru/hubs/biotech/
D:\untitled3\.\hubs\biotech,null,768612,Oksana_Nedvigina,2023-10-19T13:11:11.000Z,2.4K,,2.4K,24,1,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\biotech,null,768542,divolko3,2023-10-19T10:00:12.000Z,8.3K,,8.3K,25,15,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\biotech,null,766884,SLY_G,2023-10-12T08:55:01.000Z,1.5K,,1.5K,18,0,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,763628,InBioReactor,2023-10-04T08:01:02.000Z,2.1K,,2.1K,19,1,/ru/companies/first/articles/
D:\untitled3\.\hubs\biotech,null,763814,ajava2,2023-09-27T10:06:07.000Z,2.4K,,2.4K,13,14,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,763472,fedorborovitsky,2023-09-26T07:59:44.000Z,3.3K,,3.3K,12,22,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\biotech,null,762604,SLY_G,2023-09-21T13:11:35.000Z,12K,,12K,41,47,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,762418,shurik2533,2023-09-20T21:21:28.000Z,23K,,23K,169,59,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,761406,SLY_G,2023-09-15T19:25:45.000Z,33K,,33K,87,95,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,758122,OlegSivchenko,2023-08-31T09:50:48.000Z,4.8K,,4.8K,49,15,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,757824,Hanamime,2023-08-30T09:10:06.000Z,1.7K,,1.7K,15,1,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\biotech,null,755366,SLY_G,2023-08-18T09:12:02.000Z,2.1K,,2.1K,13,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,755070,maksstr,2023-08-16T16:05:43.000Z,1.7K,,1.7K,11,20,/ru/hubs/biotech/
D:\untitled3\.\hubs\biotech,null,753632,lennikov,2023-08-09T16:35:27.000Z,4.6K,,4.6K,16,43,/ru/hubs/cyberpunk/
D:\untitled3\.\hubs\biotech,null,752404,XNadoricheva,2023-08-04T08:08:24.000Z,2.4K,,2.4K,38,18,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\biotech,null,749758,OlegSivchenko,2023-07-23T04:30:47.000Z,3.3K,,3.3K,29,2,/ru/hubs/startuprise/
D:\untitled3\.\hubs\biotech,null,748154,lawrence_flaming,2023-07-21T08:02:02.000Z,6.1K,,6.1K,35,1,/ru/companies/first/articles/
D:\untitled3\.\hubs\biotech,null,746032,AleksandrTallinn,2023-07-05T10:00:25.000Z,15K,,15K,50,175,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,744350,InBioReactor,2023-06-28T08:02:01.000Z,5.4K,,5.4K,25,16,/ru/companies/first/articles/
D:\untitled3\.\hubs\biotech,null,742068,Blastim,2023-06-15T17:50:39.000Z,1.9K,,1.9K,10,0,/ru/hubs/biotech/
D:\untitled3\.\hubs\biotech,null,738374,ushim,2023-05-29T15:00:28.000Z,16K,,16K,38,174,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,737788,fkolpakov,2023-05-26T09:22:19.000Z,7K,,7K,37,12,/ru/companies/siriusuniversity/articles/
D:\untitled3\.\hubs\biotech,null,735118,InBioReactor,2023-05-25T08:32:01.000Z,1.9K,,1.9K,20,5,/ru/companies/first/articles/
D:\untitled3\.\hubs\biotech,null,735900,Blastim,2023-05-17T22:37:05.000Z,1.5K,,1.5K,8,0,/ru/hubs/biotech/
D:\untitled3\.\hubs\biotech,null,734722,Blastim,2023-05-12T12:14:27.000Z,2.6K,,2.6K,15,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,732330,vamedvedev,2023-04-28T15:51:47.000Z,5.2K,,5.2K,11,18,/ru/hubs/read/
D:\untitled3\.\hubs\biotech,null,730604,Blastim,2023-04-20T23:09:45.000Z,1.1K,,1.1K,13,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,729680,InBioReactor,2023-04-18T08:00:01.000Z,2.4K,,2.4K,14,0,/ru/companies/first/articles/
D:\untitled3\.\hubs\biotech,null,726472,InBioReactor,2023-04-07T08:01:01.000Z,2.9K,,2.9K,18,12,/ru/companies/first/articles/
D:\untitled3\.\hubs\biotech,null,727442,Blastim,2023-04-06T21:33:25.000Z,4.9K,,4.9K,26,5,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,725958,Blastim,2023-03-31T00:40:42.000Z,3.6K,,3.6K,26,4,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,725468,vconst,2023-03-28T21:56:39.000Z,44K,,44K,74,966,/ru/hubs/biotech/
D:\untitled3\.\hubs\biotech,null,724626,ElenaBolbot,2023-03-28T07:01:12.000Z,9.2K,,9.2K,43,16,/ru/companies/belayaraduga/articles/
D:\untitled3\.\hubs\biotech,null,724672,arielf,2023-03-24T19:55:20.000Z,2.3K,,2.3K,10,25,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,723448,InBioReactor,2023-03-24T08:08:01.000Z,4K,,4K,23,4,/ru/companies/first/articles/
D:\untitled3\.\hubs\biotech,null,723250,Erwinmal,2023-03-18T10:00:02.000Z,5.7K,,5.7K,34,5,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\biotech,null,719056,TilekSamiev,2023-03-09T08:01:19.000Z,5K,,5K,30,25,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\biotech,null,720590,arielf,2023-03-05T20:55:19.000Z,3.7K,,3.7K,27,38,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,720100,Evgeny_E,2023-03-02T17:17:25.000Z,20K,,20K,105,38,/ru/hubs/controllers/
D:\untitled3\.\hubs\biotech,null,716336,Parondzhanov,2023-02-18T17:20:19.000Z,7.4K,,7.4K,34,42,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,716344,InBioReactor,2023-02-17T08:00:01.000Z,2.4K,,2.4K,17,7,/ru/companies/first/articles/
D:\untitled3\.\hubs\biotech,null,716736,SLY_G,2023-02-15T12:11:02.000Z,4.1K,,4.1K,28,52,/ru/hubs/popular_science/
D:\untitled3\.\hubs\biotech,null,713344,Blastim,2023-02-08T14:11:01.000Z,2.2K,,2.2K,11,0,/ru/hubs/programming/
D:\untitled3\.\hubs\biotech,null,715400,SellerDen,2023-02-07T11:19:09.000Z,4.9K,,4.9K,9,28,/ru/hubs/startuprise/
