hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\bitrix,null,775398,isa3v,2023-11-21T12:11:05.000Z,1.6K,,1.6K,6,9,/ru/hubs/cms/
D:\untitled3\.\hubs\bitrix,null,775064,MaxRokatansky,2023-11-20T09:42:10.000Z,661,,661,6,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\bitrix,null,771438,bquadro,2023-11-16T06:41:32.000Z,2.6K,,2.6K,17,30,/ru/hubs/webdev/
D:\untitled3\.\hubs\bitrix,null,765660,cyber_ok,2023-10-06T08:00:02.000Z,2.8K,,2.8K,5,0,/ru/companies/cyberok/articles/
D:\untitled3\.\hubs\bitrix,null,762534,artwistru,2023-10-05T07:00:01.000Z,1.5K,,1.5K,14,2,/ru/companies/yandex_cloud_and_infra/articles/
D:\untitled3\.\hubs\bitrix,null,757426,Kotelnikovekb,2023-08-28T14:11:14.000Z,1.1K,,1.1K,7,0,/ru/hubs/api/
D:\untitled3\.\hubs\bitrix,null,753730,IBS_habrablog,2023-08-10T08:06:42.000Z,1K,,1K,4,0,/ru/companies/ibs/articles/
D:\untitled3\.\hubs\bitrix,null,753460,Reaspekt,2023-08-09T08:09:07.000Z,1.3K,,1.3K,5,5,/ru/hubs/php/
D:\untitled3\.\hubs\bitrix,null,741144,osp2003,2023-06-11T13:04:31.000Z,1.5K,,1.5K,7,5,/ru/hubs/bitrix/
D:\untitled3\.\hubs\bitrix,null,740900,IBS_habrablog,2023-06-09T09:44:43.000Z,1.8K,,1.8K,13,2,/ru/companies/ibs/articles/
D:\untitled3\.\hubs\bitrix,null,740784,MatasDragonV,2023-06-09T05:25:48.000Z,2.1K,,2.1K,4,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\bitrix,null,740556,MatasDragonV,2023-06-08T05:14:53.000Z,2.5K,,2.5K,6,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\bitrix,null,739898,programmerguru,2023-06-05T13:00:01.000Z,62K,,62K,80,102,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\bitrix,null,738090,MatasDragonV,2023-05-30T11:06:29.000Z,3.4K,,3.4K,7,7,/ru/companies/otus/articles/
D:\untitled3\.\hubs\bitrix,null,736738,IvanShishkin1C,2023-05-22T11:49:05.000Z,27K,,27K,35,82,/ru/hubs/bitrix/
D:\untitled3\.\hubs\bitrix,null,735438,sakarpov,2023-05-16T12:15:31.000Z,2.3K,,2.3K,13,3,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\bitrix,null,727858,pkramin,2023-04-09T09:29:11.000Z,958,,958,6,5,/ru/hubs/bitrix/
D:\untitled3\.\hubs\bitrix,null,726806,ICLECTIT,2023-04-04T09:06:31.000Z,1.9K,,1.9K,9,0,/ru/hubs/bitrix/
D:\untitled3\.\hubs\bitrix,null,723082,Donedjes,2023-03-17T12:24:44.000Z,16K,,16K,26,22,/ru/companies/nixys/articles/
D:\untitled3\.\hubs\bitrix,null,721890,systembiz,2023-03-12T21:30:40.000Z,3.8K,,3.8K,15,4,/ru/hubs/bitrix/
D:\untitled3\.\hubs\bitrix,null,711676,thisprogame,2023-03-01T11:24:45.000Z,2.7K,,2.7K,17,10,/ru/companies/nixys/articles/
D:\untitled3\.\hubs\bitrix,null,717396,ICLECTIT,2023-02-16T12:08:58.000Z,2K,,2K,0,2,/ru/hubs/bitrix/
D:\untitled3\.\hubs\bitrix,null,713030,Dan_Melnikov,2023-01-26T12:32:51.000Z,2.2K,,2.2K,5,0,/ru/companies/domrf/articles/
