hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\brain,popsci,776312,kalupin,2023-11-25T00:17:47.000Z,1.9K,,1.9K,9,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\brain,popsci,775794,SLY_G,2023-11-22T22:13:13.000Z,5.5K,,5.5K,28,37,/ru/hubs/popular_science/
D:\untitled3\.\hubs\brain,popsci,774976,MisterClever,2023-11-19T21:10:28.000Z,4K,,4K,19,6,/ru/hubs/brain/
D:\untitled3\.\hubs\brain,popsci,774810,555www555,2023-11-18T10:09:15.000Z,4.8K,,4.8K,9,30,/ru/hubs/netdev/
D:\untitled3\.\hubs\brain,popsci,774780,oleg_rico,2023-11-18T02:02:47.000Z,9.6K,,9.6K,40,148,/ru/hubs/read/
D:\untitled3\.\hubs\brain,popsci,773846,sacredtree,2023-11-15T09:53:01.000Z,2.8K,,2.8K,23,6,/ru/companies/gazprombank/articles/
D:\untitled3\.\hubs\brain,popsci,774064,dionisdimetor,2023-11-15T09:45:29.000Z,3.3K,,3.3K,21,23,/ru/hubs/popular_science/
D:\untitled3\.\hubs\brain,popsci,771920,ArturMkrtychan,2023-11-04T14:29:22.000Z,3.1K,,3.1K,25,2,/ru/hubs/study/
D:\untitled3\.\hubs\brain,popsci,771852,SLY_G,2023-11-04T10:14:01.000Z,2.2K,,2.2K,7,6,/ru/hubs/popular_science/
D:\untitled3\.\hubs\brain,popsci,771140,SLY_G,2023-10-31T19:55:45.000Z,1.7K,,1.7K,6,1,/ru/hubs/popular_science/
D:\untitled3\.\hubs\brain,popsci,770518,robesper,2023-10-28T20:01:41.000Z,14K,,14K,84,23,/ru/hubs/brain/
D:\untitled3\.\hubs\brain,popsci,770476,AlexSmithPsy,2023-10-28T10:48:49.000Z,3.8K,,3.8K,34,9,/ru/hubs/funcprog/
D:\untitled3\.\hubs\brain,popsci,769032,AlexSmithPsy,2023-10-21T17:30:51.000Z,3.5K,,3.5K,50,9,/ru/hubs/netdev/
D:\untitled3\.\hubs\brain,popsci,768922,Sixshaman,2023-10-20T17:17:41.000Z,6K,,6K,34,66,/ru/hubs/biotech/
D:\untitled3\.\hubs\brain,popsci,768808,marimero,2023-10-20T11:20:40.000Z,1.7K,,1.7K,12,15,/ru/hubs/brain/
D:\untitled3\.\hubs\brain,popsci,768554,virtual_explorer,2023-10-19T10:45:34.000Z,20K,,20K,53,35,/ru/companies/first/articles/
D:\untitled3\.\hubs\brain,popsci,767954,Dmytro_Kikot,2023-10-18T07:05:39.000Z,932,,932,15,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\brain,popsci,767338,diaplus,2023-10-13T13:31:14.000Z,5.6K,,5.6K,67,11,/ru/hubs/read/
D:\untitled3\.\hubs\brain,popsci,767294,orfus,2023-10-13T12:36:10.000Z,59K,,59K,239,153,/ru/hubs/sound/
D:\untitled3\.\hubs\brain,popsci,767252,ufarobot,2023-10-13T10:45:00.000Z,8.2K,,8.2K,64,14,/ru/hubs/algorithms/
D:\untitled3\.\hubs\brain,popsci,765940,nihole,2023-10-12T22:16:56.000Z,2.6K,,2.6K,25,6,/ru/hubs/read/
D:\untitled3\.\hubs\brain,popsci,766158,maxa707,2023-10-09T07:52:52.000Z,3.3K,,3.3K,34,4,/ru/hubs/gtd/
