hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\browsers,develop,776300,GragertVD,2023-11-24T21:50:59.000Z,7.5K,,7.5K,28,19,without_company
D:\untitled3\.\hubs\browsers,develop,771388,alizar,2023-11-20T09:00:01.000Z,13K,,13K,109,5,without_company
D:\untitled3\.\hubs\browsers,develop,772440,ereinion,2023-11-14T08:01:02.000Z,4.2K,,4.2K,14,8,without_company
D:\untitled3\.\hubs\browsers,develop,773260,senaev,2023-11-11T07:48:50.000Z,5.4K,,5.4K,32,16,without_company
D:\untitled3\.\hubs\browsers,develop,771446,Shpankov,2023-11-02T08:05:53.000Z,1.3K,,1.3K,2,11,without_company
D:\untitled3\.\hubs\browsers,develop,769902,alizar,2023-10-30T09:00:01.000Z,45K,,45K,142,104,without_company
D:\untitled3\.\hubs\browsers,develop,770022,Shpankov,2023-10-26T06:41:53.000Z,3.4K,,3.4K,3,64,without_company
D:\untitled3\.\hubs\browsers,develop,768304,a-v-gor,2023-10-18T12:26:00.000Z,4.8K,,4.8K,40,7,without_company
D:\untitled3\.\hubs\browsers,develop,765082,vyachesand,2023-10-16T07:00:48.000Z,2.3K,,2.3K,12,5,without_company
D:\untitled3\.\hubs\browsers,develop,765178,BraveSoftware,2023-10-06T11:43:26.000Z,841,,841,6,1,without_company
D:\untitled3\.\hubs\browsers,develop,765214,GlobalSign_admin,2023-10-06T07:16:44.000Z,1.8K,,1.8K,13,4,without_company
D:\untitled3\.\hubs\browsers,develop,764062,Shpankov,2023-09-28T08:10:43.000Z,1.9K,,1.9K,2,26,without_company
D:\untitled3\.\hubs\browsers,develop,763586,ru_vds,2023-09-27T09:00:01.000Z,7.1K,,7.1K,66,15,without_company
D:\untitled3\.\hubs\browsers,develop,763634,suprunchuk,2023-09-26T19:08:59.000Z,8.1K,,8.1K,16,22,without_company
D:\untitled3\.\hubs\browsers,develop,762526,krenkus,2023-09-21T10:37:12.000Z,9.1K,,9.1K,39,36,without_company
D:\untitled3\.\hubs\browsers,develop,761586,i360u,2023-09-19T11:42:48.000Z,10K,,10K,69,47,without_company
