hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\build_automation,null,773236,DmitryKazakov8,2023-11-11T13:40:53.000Z,8K,,8K,64,26,/ru/hubs/webdev/
D:\untitled3\.\hubs\build_automation,null,772884,hkm2,2023-11-10T07:03:54.000Z,1.2K,,1.2K,13,0,/ru/companies/magnit/articles/
D:\untitled3\.\hubs\build_automation,null,772090,aionin,2023-11-06T10:44:29.000Z,3.5K,,3.5K,6,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,768688,ser-mk,2023-10-25T08:08:25.000Z,2.5K,,2.5K,58,0,/ru/hubs/system_programming/
D:\untitled3\.\hubs\build_automation,null,769046,AzamatKomaev,2023-10-22T04:35:02.000Z,9.2K,,9.2K,108,8,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\build_automation,null,768150,aionin,2023-10-17T19:30:44.000Z,4.7K,,4.7K,19,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,765424,aabzel,2023-10-14T22:41:20.000Z,2.9K,,2.9K,30,46,/ru/hubs/c/
D:\untitled3\.\hubs\build_automation,null,765734,Troonsply,2023-10-06T07:57:35.000Z,8.3K,,8.3K,38,13,/ru/hubs/webdev/
D:\untitled3\.\hubs\build_automation,null,752014,JediPhilosopher,2023-09-14T09:03:38.000Z,12K,,12K,123,17,/ru/hubs/java/
D:\untitled3\.\hubs\build_automation,null,759962,rastop123,2023-09-09T15:46:32.000Z,4.3K,,4.3K,32,3,/ru/hubs/webdev/
D:\untitled3\.\hubs\build_automation,null,754922,K_Leshik,2023-09-05T11:05:32.000Z,2.1K,,2.1K,28,4,/ru/companies/yadro/articles/
D:\untitled3\.\hubs\build_automation,null,753306,AnimeSlave,2023-08-25T16:02:22.000Z,3.5K,,3.5K,25,29,/ru/hubs/programming/
D:\untitled3\.\hubs\build_automation,null,756054,aionin,2023-08-22T06:53:13.000Z,1.9K,,1.9K,14,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,755332,AlekseiOrekhov,2023-08-21T11:46:16.000Z,1.9K,,1.9K,39,2,/ru/hubs/java/
D:\untitled3\.\hubs\build_automation,null,754560,Cere8ellum,2023-08-14T17:16:14.000Z,6.5K,,6.5K,48,11,/ru/hubs/css/
D:\untitled3\.\hubs\build_automation,null,753984,vip777swag,2023-08-14T05:45:01.000Z,2.4K,,2.4K,24,1,/ru/companies/gazprommedia/articles/
D:\untitled3\.\hubs\build_automation,null,753788,gmtd,2023-08-10T12:14:58.000Z,2.9K,,2.9K,30,5,/ru/hubs/webdev/
D:\untitled3\.\hubs\build_automation,null,751500,aionin,2023-07-31T11:58:44.000Z,4.5K,,4.5K,9,4,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,747704,SovaSova15,2023-07-13T05:46:57.000Z,1.5K,,1.5K,14,0,/ru/companies/slurm/articles/
D:\untitled3\.\hubs\build_automation,null,747384,GonnaMakeItBrah,2023-07-11T20:45:31.000Z,3.1K,,3.1K,30,1,/ru/hubs/webdev/
D:\untitled3\.\hubs\build_automation,null,741868,DungeonLords,2023-06-15T08:50:34.000Z,3.8K,,3.8K,25,1,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\build_automation,null,722256,semenov921,2023-06-08T08:10:02.000Z,5.2K,,5.2K,53,5,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\build_automation,null,735104,fbilichenko,2023-05-15T13:00:42.000Z,5.7K,,5.7K,42,2,/ru/companies/kts/articles/
D:\untitled3\.\hubs\build_automation,null,733850,Artem-Martiyanov,2023-05-07T17:38:21.000Z,5.6K,,5.6K,34,15,/ru/hubs/css/
D:\untitled3\.\hubs\build_automation,null,731484,aabzel,2023-04-25T13:32:14.000Z,1.9K,,1.9K,17,9,/ru/hubs/python/
D:\untitled3\.\hubs\build_automation,null,731478,Albert_Wesker,2023-04-25T13:02:19.000Z,3.6K,,3.6K,17,1,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\build_automation,null,726352,aabzel,2023-04-11T21:56:45.000Z,2.6K,,2.6K,32,18,/ru/hubs/c/
D:\untitled3\.\hubs\build_automation,null,727418,Bozaro,2023-04-06T13:14:45.000Z,1.9K,,1.9K,12,0,/ru/companies/joom/articles/
D:\untitled3\.\hubs\build_automation,null,660697,glebmachine,2023-03-28T09:01:37.000Z,7.5K,,7.5K,50,8,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\build_automation,null,723054,aabzel,2023-03-17T22:39:11.000Z,7.9K,,7.9K,37,68,/ru/hubs/c/
D:\untitled3\.\hubs\build_automation,null,720792,Bozaro,2023-03-09T09:17:20.000Z,1.2K,,1.2K,8,0,/ru/companies/joom/articles/
D:\untitled3\.\hubs\build_automation,null,718360,Bozaro,2023-02-27T16:35:17.000Z,2.1K,,2.1K,8,14,/ru/companies/joom/articles/
D:\untitled3\.\hubs\build_automation,null,718340,Bozaro,2023-02-22T09:26:05.000Z,3.8K,,3.8K,24,6,/ru/companies/joom/articles/
D:\untitled3\.\hubs\build_automation,null,715028,SSul,2023-02-06T06:40:58.000Z,5K,,5K,27,0,/ru/companies/simbirsoft/articles/
D:\untitled3\.\hubs\build_automation,null,709916,marchenko-ulya26,2023-01-12T11:26:06.000Z,1.9K,,1.9K,11,1,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\build_automation,null,706222,vip777swag,2022-12-19T05:48:02.000Z,6.9K,,6.9K,42,9,/ru/companies/gazprommedia/articles/
D:\untitled3\.\hubs\build_automation,null,704436,Dimalovanyy,2022-12-09T04:58:35.000Z,3.2K,,3.2K,14,37,/ru/hubs/cpp/
D:\untitled3\.\hubs\build_automation,null,699582,jquery_dlya_slabih,2022-11-21T08:00:05.000Z,6K,,6K,12,6,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\build_automation,null,695604,Vovanikys,2022-11-02T12:00:02.000Z,6.8K,,6.8K,64,3,/ru/companies/leroy_merlin/articles/
D:\untitled3\.\hubs\build_automation,null,691660,primechord,2022-10-10T07:30:06.000Z,4.4K,,4.4K,20,0,/ru/companies/deliveryclub/articles/
D:\untitled3\.\hubs\build_automation,null,689330,Coder69,2022-09-21T06:00:01.000Z,11K,,11K,29,4,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\build_automation,null,688598,Ldeniskin,2022-09-16T14:00:03.000Z,2.9K,,2.9K,30,0,/ru/companies/sbermarket/articles/
D:\untitled3\.\hubs\build_automation,null,688558,ronrz,2022-09-16T06:24:56.000Z,17K,,17K,118,15,/ru/hubs/build_automation/
D:\untitled3\.\hubs\build_automation,null,688540,akniyetc,2022-09-15T20:33:23.000Z,4.9K,,4.9K,29,12,/ru/hubs/git/
D:\untitled3\.\hubs\build_automation,null,687992,samizdam,2022-09-13T10:41:45.000Z,4.2K,,4.2K,22,6,/ru/hubs/php/
D:\untitled3\.\hubs\build_automation,null,682804,Zhbert,2022-09-02T06:16:01.000Z,4.5K,,4.5K,31,4,/ru/companies/flant/articles/
D:\untitled3\.\hubs\build_automation,null,685912,NikitaPanevin,2022-09-01T13:22:49.000Z,2K,,2K,7,0,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\build_automation,null,683204,pananton,2022-08-17T17:41:06.000Z,61K,,61K,328,46,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,682208,artazar,2022-08-15T07:23:31.000Z,2.9K,,2.9K,20,5,/ru/hubs/github/
D:\untitled3\.\hubs\build_automation,null,681680,alisichkin,2022-08-11T12:20:02.000Z,7.5K,,7.5K,39,8,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\build_automation,null,677534,mvs,2022-07-22T09:56:19.000Z,2.7K,,2.7K,25,2,/ru/hubs/javascript/
D:\untitled3\.\hubs\build_automation,null,676412,WoozyMasta,2022-07-12T03:39:50.000Z,6.2K,,6.2K,53,6,/ru/hubs/python/
D:\untitled3\.\hubs\build_automation,null,673522,aabzel,2022-06-26T21:21:19.000Z,14K,,14K,55,47,/ru/hubs/eclipse/
D:\untitled3\.\hubs\build_automation,null,673014,onegreyonewhite,2022-06-23T06:19:00.000Z,5.2K,,5.2K,21,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,666058,unix_junkie,2022-05-17T00:08:44.000Z,4.4K,,4.4K,23,0,/ru/hubs/programming/
D:\untitled3\.\hubs\build_automation,null,665884,Avdushin,2022-05-16T09:28:17.000Z,17K,,17K,24,12,/ru/hubs/linux/
D:\untitled3\.\hubs\build_automation,null,662680,PavelZubkov,2022-04-24T18:34:15.000Z,7.4K,,7.4K,28,20,/ru/hubs/webdev/
D:\untitled3\.\hubs\build_automation,null,657881,paulstrong,2022-03-29T08:35:18.000Z,11K,,11K,58,11,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\build_automation,null,655213,aionin,2022-03-11T13:52:01.000Z,4.5K,,4.5K,16,6,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,651247,NikolayPyanikov,2022-02-15T09:21:35.000Z,4.8K,,4.8K,21,0,/ru/companies/JetBrains/articles/
D:\untitled3\.\hubs\build_automation,null,651455,aionin,2022-02-14T13:10:02.000Z,2.1K,,2.1K,10,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,650575,geniyoctober,2022-02-09T11:26:50.000Z,6.9K,,6.9K,58,1,/ru/companies/slurm/articles/
D:\untitled3\.\hubs\build_automation,null,649551,Zhbert,2022-02-07T07:15:04.000Z,6K,,6K,42,7,/ru/companies/flant/articles/
D:\untitled3\.\hubs\build_automation,null,646065,aionin,2022-01-17T15:04:05.000Z,2.6K,,2.6K,5,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,599125,Xadok,2022-01-06T12:00:01.000Z,17K,,17K,68,19,/ru/hubs/programming/
D:\untitled3\.\hubs\build_automation,null,599137,xonix,2022-01-02T19:21:04.000Z,6.3K,,6.3K,35,50,/ru/hubs/programming/
D:\untitled3\.\hubs\build_automation,null,597765,d7d1cd,2021-12-30T12:16:20.000Z,1.7K,,1.7K,7,8,/ru/hubs/programming/
D:\untitled3\.\hubs\build_automation,null,597001,Zhbert,2021-12-24T06:35:02.000Z,10K,,10K,64,11,/ru/companies/flant/articles/
D:\untitled3\.\hubs\build_automation,null,590933,pauljamm,2021-12-20T08:33:41.000Z,3.3K,,3.3K,12,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\build_automation,null,594673,aionin,2021-12-10T09:01:57.000Z,3.5K,,3.5K,9,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,594219,ZhilyaevDmitriy,2021-12-09T14:11:26.000Z,2.9K,,2.9K,15,0,/ru/companies/cloud_ru/articles/
D:\untitled3\.\hubs\build_automation,null,592715,aigrychev,2021-12-01T08:11:57.000Z,5.2K,,5.2K,29,7,/ru/companies/flant/articles/
D:\untitled3\.\hubs\build_automation,null,591897,vsk_marlin,2021-11-29T08:00:04.000Z,7K,,7K,8,0,/ru/companies/vsk_insurance/articles/
D:\untitled3\.\hubs\build_automation,null,591979,klirichek,2021-11-27T10:27:03.000Z,17K,,17K,79,8,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,587870,aionin,2021-11-08T13:34:47.000Z,2.2K,,2.2K,6,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,586906,NikolayPyanikov,2021-11-02T11:53:23.000Z,4.1K,,4.1K,15,4,/ru/companies/JetBrains/articles/
D:\untitled3\.\hubs\build_automation,null,586046,Itelma,2021-10-28T10:19:43.000Z,8.7K,,8.7K,31,12,/ru/companies/itelma/articles/
D:\untitled3\.\hubs\build_automation,null,585422,alexandrtumaykin,2021-10-27T16:22:48.000Z,5.4K,,5.4K,33,18,/ru/hubs/cvs/
D:\untitled3\.\hubs\build_automation,null,585702,Rengabim,2021-10-27T08:16:01.000Z,5.6K,,5.6K,27,9,/ru/companies/ascon/articles/
D:\untitled3\.\hubs\build_automation,null,584112,aionin,2021-10-18T12:43:16.000Z,2.3K,,2.3K,6,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,582174,ris58h,2021-10-07T11:43:46.000Z,2K,,2K,11,11,/ru/hubs/java/
D:\untitled3\.\hubs\build_automation,null,581228,Reformat,2021-10-03T10:33:54.000Z,27K,,27K,97,34,/ru/hubs/programming/
D:\untitled3\.\hubs\build_automation,null,577686,kuzulis,2021-09-13T14:46:32.000Z,3.9K,,3.9K,11,3,/ru/hubs/it_testing/
D:\untitled3\.\hubs\build_automation,null,577202,YuriyBakutin,2021-09-10T11:36:05.000Z,6.3K,,6.3K,33,11,/ru/hubs/iconoskaz/
D:\untitled3\.\hubs\build_automation,null,576976,aionin,2021-09-08T18:19:42.000Z,2.7K,,2.7K,6,4,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,576684,DassaultSystemes,2021-09-08T08:35:42.000Z,6.9K,,6.9K,11,6,/ru/companies/ds/articles/
D:\untitled3\.\hubs\build_automation,null,573686,PetrRnd,2021-08-19T15:45:01.000Z,8K,,8K,44,11,/ru/companies/lightmap/articles/
D:\untitled3\.\hubs\build_automation,null,572220,aionin,2021-08-10T15:32:48.000Z,4K,,4K,18,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,570540,DassaultSystemes,2021-08-05T08:05:29.000Z,8.2K,,8.2K,11,2,/ru/companies/ds/articles/
D:\untitled3\.\hubs\build_automation,null,570444,Pixonic,2021-07-30T09:01:17.000Z,4.9K,,4.9K,47,6,/ru/companies/pixonic/articles/
D:\untitled3\.\hubs\build_automation,null,540728,cdump,2021-07-25T12:01:02.000Z,6.7K,,6.7K,21,7,/ru/companies/ntechlab/articles/
D:\untitled3\.\hubs\build_automation,null,569410,vgaidadei,2021-07-24T16:01:56.000Z,22K,,22K,40,422,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\build_automation,null,568846,aionin,2021-07-21T08:56:06.000Z,8.6K,,8.6K,29,5,/ru/hubs/open_source/
D:\untitled3\.\hubs\build_automation,null,566886,RaccoonSecurity,2021-07-14T07:00:01.000Z,3.3K,,3.3K,21,2,/ru/companies/ntc-vulkan/articles/
D:\untitled3\.\hubs\build_automation,null,565568,kardamanov,2021-07-10T08:28:02.000Z,3K,,3K,14,4,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\build_automation,null,565598,aigrychev,2021-07-02T08:53:19.000Z,12K,,12K,87,19,/ru/companies/flant/articles/
D:\untitled3\.\hubs\build_automation,null,560228,osmanov,2021-06-21T10:00:02.000Z,4.3K,,4.3K,14,3,/ru/companies/badoo/articles/
D:\untitled3\.\hubs\build_automation,null,561644,Ordos,2021-06-09T12:33:00.000Z,12K,,12K,80,8,/ru/hubs/github/
D:\untitled3\.\hubs\build_automation,null,561736,aionin,2021-06-08T14:11:55.000Z,2.3K,,2.3K,9,0,/ru/hubs/open_source/
