hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\business-laws,null,775734,dmitrykabanov,2023-11-26T13:37:53.000Z,1K,,1K,11,4,without_company
D:\untitled3\.\hubs\business-laws,null,776066,xeovo,2023-11-24T09:36:09.000Z,86K,,86K,72,257,without_company
D:\untitled3\.\hubs\business-laws,null,776068,it_union,2023-11-24T06:01:59.000Z,8.8K,,8.8K,17,33,without_company
D:\untitled3\.\hubs\business-laws,null,775752,IgnatChuker,2023-11-22T17:40:31.000Z,6.3K,,6.3K,19,67,without_company
D:\untitled3\.\hubs\business-laws,null,775462,Startup_visa_Spain,2023-11-21T15:17:58.000Z,2.9K,,2.9K,21,5,without_company
D:\untitled3\.\hubs\business-laws,null,774380,Abejorro,2023-11-16T12:56:57.000Z,5K,,5K,22,18,without_company
D:\untitled3\.\hubs\business-laws,null,774086,IgnatChuker,2023-11-15T11:36:11.000Z,2.6K,,2.6K,13,5,without_company
D:\untitled3\.\hubs\business-laws,null,772926,Boomburum,2023-11-13T13:45:39.000Z,21K,,21K,38,87,without_company
D:\untitled3\.\hubs\business-laws,null,773122,virtual_explorer,2023-11-10T10:34:57.000Z,7.3K,,7.3K,29,32,without_company
D:\untitled3\.\hubs\business-laws,null,772236,novikovalegal,2023-11-07T12:14:04.000Z,7.8K,,7.8K,47,53,without_company
D:\untitled3\.\hubs\business-laws,null,771780,StasyTomas,2023-11-03T12:48:20.000Z,4.9K,,4.9K,18,126,without_company
D:\untitled3\.\hubs\business-laws,null,771434,ko_ya,2023-11-02T07:39:27.000Z,11K,,11K,27,14,without_company
D:\untitled3\.\hubs\business-laws,null,770704,dhppc,2023-10-30T09:57:24.000Z,1.8K,,1.8K,4,6,without_company
D:\untitled3\.\hubs\business-laws,null,770386,Sivchenko_translate,2023-10-27T13:40:31.000Z,10K,,10K,57,9,without_company
D:\untitled3\.\hubs\business-laws,null,769998,Seleditor,2023-10-26T00:14:30.000Z,7.7K,,7.7K,14,31,without_company
D:\untitled3\.\hubs\business-laws,null,769652,xeovo,2023-10-25T16:00:37.000Z,13K,,13K,81,24,without_company
D:\untitled3\.\hubs\business-laws,null,769130,GlobalSign_admin,2023-10-22T15:41:12.000Z,8.5K,,8.5K,27,62,without_company
D:\untitled3\.\hubs\business-laws,null,768990,VASExperts,2023-10-21T14:16:36.000Z,1.9K,,1.9K,8,4,without_company
D:\untitled3\.\hubs\business-laws,null,768732,freehabr,2023-10-20T07:38:15.000Z,2.1K,,2.1K,4,25,without_company
D:\untitled3\.\hubs\business-laws,null,767788,ContentAI_Team,2023-10-18T11:22:23.000Z,1.8K,,1.8K,25,0,without_company
D:\untitled3\.\hubs\business-laws,null,767280,SolaireOfAstora,2023-10-13T11:56:39.000Z,32K,,32K,40,135,without_company
D:\untitled3\.\hubs\business-laws,null,766960,PatientZero,2023-10-12T09:02:28.000Z,27K,,27K,33,63,without_company
D:\untitled3\.\hubs\business-laws,null,764532,StepUp1,2023-09-30T07:00:45.000Z,5.9K,,5.9K,8,50,without_company
D:\untitled3\.\hubs\business-laws,null,764310,dhppc,2023-09-29T06:58:16.000Z,5.1K,,5.1K,7,18,without_company
D:\untitled3\.\hubs\business-laws,null,764292,it_union,2023-09-29T06:00:04.000Z,16K,,16K,15,194,without_company
D:\untitled3\.\hubs\business-laws,null,763836,YBCase,2023-09-27T11:38:29.000Z,1.8K,,1.8K,14,3,without_company
D:\untitled3\.\hubs\business-laws,null,763794,cyber_estet,2023-09-27T09:32:55.000Z,2.3K,,2.3K,11,4,without_company
