hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\business_models,null,776430,Maks_Poklonskiy,2023-11-26T07:55:52.000Z,192,,192,3,0,/ru/hubs/pm/
D:\untitled3\.\hubs\business_models,null,776120,Maks_Poklonskiy,2023-11-24T08:22:46.000Z,456,,456,5,0,/ru/hubs/pm/
D:\untitled3\.\hubs\business_models,null,775822,Maks_Poklonskiy,2023-11-23T06:30:46.000Z,1K,,1K,4,0,/ru/hubs/pm/
D:\untitled3\.\hubs\business_models,null,775482,Anna_sila,2023-11-21T16:53:09.000Z,85K,,85K,155,77,/ru/hubs/internetmarketing/
D:\untitled3\.\hubs\business_models,null,775412,Alliesverse,2023-11-21T15:30:02.000Z,2.5K,,2.5K,10,3,/ru/companies/av/articles/
D:\untitled3\.\hubs\business_models,null,772512,its_capitan,2023-11-21T11:48:31.000Z,2.7K,,2.7K,5,1,/ru/hubs/startuprise/
D:\untitled3\.\hubs\business_models,null,775252,tw0face,2023-11-21T06:17:41.000Z,1.1K,,1.1K,17,8,/ru/hubs/venturecap/
D:\untitled3\.\hubs\business_models,null,775150,MarketAnalyst,2023-11-20T13:10:34.000Z,1.8K,,1.8K,10,10,/ru/hubs/research/
D:\untitled3\.\hubs\business_models,null,775082,ragequit,2023-11-20T10:27:40.000Z,42K,,42K,61,278,/ru/companies/itsumma/articles/
D:\untitled3\.\hubs\business_models,null,775070,DKST,2023-11-20T09:59:02.000Z,9.8K,,9.8K,62,3,/ru/hubs/machine_learning/
D:\untitled3\.\hubs\business_models,null,774218,tw0face,2023-11-16T10:06:13.000Z,455,,455,7,1,/ru/hubs/venturecap/
D:\untitled3\.\hubs\business_models,null,774092,virtual_explorer,2023-11-15T11:44:58.000Z,2.6K,,2.6K,25,1,/ru/companies/first/articles/
D:\untitled3\.\hubs\business_models,null,773414,fedorborovitsky,2023-11-12T16:50:43.000Z,3.4K,,3.4K,8,40,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\business_models,null,773392,vvvphoenix,2023-11-12T13:29:23.000Z,8.8K,,8.8K,28,38,/ru/companies/neimark/articles/
D:\untitled3\.\hubs\business_models,null,772768,rumin_v_rabote,2023-11-09T07:51:10.000Z,19K,,19K,33,63,/ru/hubs/startuprise/
D:\untitled3\.\hubs\business_models,null,772694,grokru,2023-11-08T16:10:26.000Z,7.9K,,7.9K,37,11,/ru/hubs/web_design/
D:\untitled3\.\hubs\business_models,null,772496,its_capitan,2023-11-08T13:26:14.000Z,9.1K,,9.1K,26,39,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\business_models,null,772218,Deian-Edigarov,2023-11-07T12:21:02.000Z,1.3K,,1.3K,11,17,/ru/hubs/venturecap/
D:\untitled3\.\hubs\business_models,null,771810,Margaret-Writter,2023-11-03T15:03:13.000Z,2K,,2K,6,11,/ru/hubs/career/
D:\untitled3\.\hubs\business_models,null,771746,rumin_v_rabote,2023-11-03T10:58:31.000Z,2.2K,,2.2K,9,2,/ru/hubs/startuprise/
D:\untitled3\.\hubs\business_models,null,771740,Denis_Chernobaev,2023-11-03T10:26:35.000Z,2.3K,,2.3K,9,16,/ru/hubs/venturecap/
D:\untitled3\.\hubs\business_models,null,771196,its_capitan,2023-11-01T09:28:46.000Z,17K,,17K,70,55,/ru/hubs/webdev/
D:\untitled3\.\hubs\business_models,null,771204,rumin_v_rabote,2023-11-01T07:15:26.000Z,9K,,9K,22,19,/ru/hubs/pm/
D:\untitled3\.\hubs\business_models,null,771074,YBCase,2023-10-31T14:29:41.000Z,948,,948,5,3,/ru/companies/ybcase/articles/
D:\untitled3\.\hubs\business_models,null,770650,YBCase,2023-10-30T04:48:09.000Z,617,,617,5,0,/ru/companies/ybcase/articles/
D:\untitled3\.\hubs\business_models,null,769438,tw0face,2023-10-24T04:41:38.000Z,1.9K,,1.9K,20,5,/ru/hubs/venturecap/
D:\untitled3\.\hubs\business_models,null,769420,EasyFirm,2023-10-23T19:06:54.000Z,8.8K,,8.8K,61,47,/ru/hubs/startuprise/
D:\untitled3\.\hubs\business_models,null,768888,AlexMih,2023-10-20T14:26:46.000Z,5.7K,,5.7K,25,51,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\business_models,null,767836,VasilyevaOlga,2023-10-16T16:15:42.000Z,1.6K,,1.6K,27,16,/ru/hubs/erp/
D:\untitled3\.\hubs\business_models,null,767634,tw0face,2023-10-16T06:20:33.000Z,840,,840,5,2,/ru/hubs/venturecap/
D:\untitled3\.\hubs\business_models,null,766966,evgvolnov,2023-10-13T10:47:20.000Z,2.1K,,2.1K,9,0,/ru/hubs/venturecap/
D:\untitled3\.\hubs\business_models,null,766834,Deian-Edigarov,2023-10-11T16:26:58.000Z,14K,,14K,44,40,/ru/hubs/startuprise/
D:\untitled3\.\hubs\business_models,null,766450,tw0face,2023-10-10T08:58:50.000Z,2.1K,,2.1K,8,2,/ru/hubs/saas/
D:\untitled3\.\hubs\business_models,null,766178,badcasedaily1,2023-10-09T17:15:31.000Z,1.4K,,1.4K,24,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\business_models,null,766218,hse_spb,2023-10-09T10:13:20.000Z,1.4K,,1.4K,10,3,/ru/companies/hsespb/articles/
D:\untitled3\.\hubs\business_models,null,766062,LyuMih,2023-10-08T12:57:45.000Z,825,,825,7,1,/ru/hubs/nosql/
