hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\canvas,develop,762132,Green21,2023-10-12T10:46:03.000Z,5.8K,,5.8K,50,14,without_company
D:\untitled3\.\hubs\canvas,develop,740658,samanwirst,2023-06-08T09:57:44.000Z,3.6K,,3.6K,16,4,without_company
D:\untitled3\.\hubs\canvas,develop,734110,skifford,2023-05-10T08:04:27.000Z,1.9K,,1.9K,17,1,without_company
D:\untitled3\.\hubs\canvas,develop,732844,Sergey123Ovechkin,2023-05-02T13:02:54.000Z,1.7K,,1.7K,16,0,without_company
D:\untitled3\.\hubs\canvas,develop,712808,eyudinkov,2023-01-25T14:21:02.000Z,6.2K,,6.2K,28,4,without_company
D:\untitled3\.\hubs\canvas,develop,707518,ushliypakostnik,2022-12-25T00:13:14.000Z,4.8K,,4.8K,31,1,without_company
D:\untitled3\.\hubs\canvas,develop,701778,jackycoins,2022-11-26T13:32:48.000Z,7.9K,,7.9K,57,16,without_company
D:\untitled3\.\hubs\canvas,develop,691136,Kempston,2022-10-02T20:25:54.000Z,36K,,36K,48,59,without_company
D:\untitled3\.\hubs\canvas,develop,687330,vlad1953,2022-09-09T08:37:35.000Z,3.2K,,3.2K,29,0,without_company
D:\untitled3\.\hubs\canvas,develop,678068,arkhwise,2022-08-02T08:11:18.000Z,3.2K,,3.2K,25,1,without_company
D:\untitled3\.\hubs\canvas,develop,679146,DoctorGester,2022-08-01T10:00:02.000Z,23K,,23K,93,26,without_company
D:\untitled3\.\hubs\canvas,develop,677308,Kempston,2022-07-16T16:18:21.000Z,9.6K,,9.6K,50,35,without_company
D:\untitled3\.\hubs\canvas,develop,595433,xcont,2022-05-27T22:42:44.000Z,6.7K,,6.7K,54,15,without_company
D:\untitled3\.\hubs\canvas,develop,657627,business-incubat0r,2022-03-27T07:44:19.000Z,4.5K,,4.5K,16,4,without_company
D:\untitled3\.\hubs\canvas,develop,655961,antipinIvan,2022-03-16T12:50:11.000Z,14K,,14K,133,14,without_company
D:\untitled3\.\hubs\canvas,develop,650175,eyudinkov,2022-02-07T13:41:14.000Z,9.6K,,9.6K,63,0,without_company
D:\untitled3\.\hubs\canvas,develop,648881,resintegra,2022-01-31T15:32:59.000Z,1.8K,,1.8K,7,0,without_company
D:\untitled3\.\hubs\canvas,develop,648619,resintegra,2022-01-30T17:08:37.000Z,2.1K,,2.1K,13,5,without_company
D:\untitled3\.\hubs\canvas,develop,647411,resintegra,2022-01-24T09:51:11.000Z,2.3K,,2.3K,18,0,without_company
D:\untitled3\.\hubs\canvas,develop,647021,epodivilov,2022-01-21T11:37:08.000Z,9.3K,,9.3K,42,16,without_company
D:\untitled3\.\hubs\canvas,develop,592659,Enfriz,2021-12-01T07:30:01.000Z,20K,,20K,150,33,without_company
D:\untitled3\.\hubs\canvas,develop,582728,honyaki,2021-10-12T12:45:02.000Z,10K,,10K,56,4,without_company
D:\untitled3\.\hubs\canvas,develop,581034,jamak,2021-10-01T07:30:02.000Z,6.2K,,6.2K,41,3,without_company
D:\untitled3\.\hubs\canvas,develop,574248,yantishko,2021-08-23T14:07:01.000Z,4.9K,,4.9K,36,19,without_company
D:\untitled3\.\hubs\canvas,develop,569058,vgaidadei,2021-07-22T09:39:01.000Z,8K,,8K,44,2,without_company
D:\untitled3\.\hubs\canvas,develop,560736,ru_vds,2021-06-07T17:12:02.000Z,24K,,24K,78,102,without_company
D:\untitled3\.\hubs\canvas,develop,556018,egaxegax,2021-05-05T18:21:53.000Z,10K,,10K,19,14,without_company
D:\untitled3\.\hubs\canvas,develop,555228,mauphes,2021-05-04T08:17:46.000Z,3K,,3K,24,0,without_company
D:\untitled3\.\hubs\canvas,develop,551872,kylikovskix,2021-04-16T20:36:26.000Z,33K,,33K,74,42,without_company
D:\untitled3\.\hubs\canvas,develop,542698,technokratiya,2021-02-16T13:24:41.000Z,19K,,19K,91,11,without_company
D:\untitled3\.\hubs\canvas,develop,541522,virus-net-ru,2021-02-09T09:26:53.000Z,7.8K,,7.8K,18,2,without_company
D:\untitled3\.\hubs\canvas,develop,537760,IDriuk,2021-01-22T11:06:35.000Z,2.5K,,2.5K,17,0,without_company
D:\untitled3\.\hubs\canvas,develop,535046,notyourhero,2020-12-25T14:24:26.000Z,22K,,22K,120,30,without_company
D:\untitled3\.\hubs\canvas,develop,530560,ivan_denisov,2020-11-30T09:51:30.000Z,2.1K,,2.1K,18,27,without_company
D:\untitled3\.\hubs\canvas,develop,530334,yevgen12,2020-11-28T02:03:58.000Z,3.9K,,3.9K,28,3,without_company
D:\untitled3\.\hubs\canvas,develop,524802,degenerative_art,2020-10-28T10:56:34.000Z,2K,,2K,14,0,without_company
D:\untitled3\.\hubs\canvas,develop,509770,vlad1953,2020-07-06T09:35:55.000Z,5.1K,,5.1K,18,5,without_company
D:\untitled3\.\hubs\canvas,develop,507394,SimbirSoft_frontend,2020-06-26T04:14:14.000Z,5.3K,,5.3K,30,4,without_company
D:\untitled3\.\hubs\canvas,develop,506606,EpicLegend_gg,2020-06-14T09:40:20.000Z,18K,,18K,33,0,without_company
D:\untitled3\.\hubs\canvas,develop,496960,ru_vds,2020-04-14T09:30:01.000Z,5K,,5K,34,0,without_company
D:\untitled3\.\hubs\canvas,develop,495686,Kempston,2020-04-04T14:02:27.000Z,2.5K,,2.5K,16,2,without_company
D:\untitled3\.\hubs\canvas,develop,489602,Amedomary,2020-02-25T04:29:39.000Z,3.1K,,3.1K,28,6,without_company
D:\untitled3\.\hubs\canvas,develop,485698,lipton_ice_tea,2020-01-30T13:16:04.000Z,9.8K,,9.8K,50,1,without_company
D:\untitled3\.\hubs\canvas,develop,476292,ru_vds,2019-11-19T09:30:02.000Z,29K,,29K,124,11,without_company
