hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\chemistry,popsci,776262,DrArgentum,2023-11-24T16:04:48.000Z,4.3K,,4.3K,22,8,without_company
D:\untitled3\.\hubs\chemistry,popsci,775564,VAE,2023-11-24T09:24:09.000Z,1.1K,,1.1K,20,0,without_company
D:\untitled3\.\hubs\chemistry,popsci,774904,DAN_SEA,2023-11-24T09:00:01.000Z,3.4K,,3.4K,21,41,without_company
D:\untitled3\.\hubs\chemistry,popsci,775974,sokolovps,2023-11-23T13:47:09.000Z,5.5K,,5.5K,28,6,without_company
D:\untitled3\.\hubs\chemistry,popsci,775682,gregyku,2023-11-22T13:12:11.000Z,1.6K,,1.6K,16,6,without_company
D:\untitled3\.\hubs\chemistry,popsci,775144,gregyku,2023-11-20T12:59:38.000Z,7.3K,,7.3K,28,18,without_company
D:\untitled3\.\hubs\chemistry,popsci,774918,DrArgentum,2023-11-19T11:05:38.000Z,9.6K,,9.6K,43,16,without_company
D:\untitled3\.\hubs\chemistry,popsci,773306,DAN_SEA,2023-11-16T09:00:02.000Z,6K,,6K,41,10,without_company
D:\untitled3\.\hubs\chemistry,popsci,772774,Dmytro_Kikot,2023-11-10T08:00:05.000Z,2.4K,,2.4K,26,9,without_company
D:\untitled3\.\hubs\chemistry,popsci,772638,gregyku,2023-11-08T13:13:40.000Z,2K,,2K,19,0,without_company
D:\untitled3\.\hubs\chemistry,popsci,772220,Dmytro_Kikot,2023-11-08T08:05:02.000Z,1.7K,,1.7K,15,0,without_company
D:\untitled3\.\hubs\chemistry,popsci,772102,gregyku,2023-11-06T11:31:28.000Z,6.1K,,6.1K,38,3,without_company
D:\untitled3\.\hubs\chemistry,popsci,771460,Dmytro_Kikot,2023-11-03T08:00:09.000Z,2.1K,,2.1K,16,0,without_company
D:\untitled3\.\hubs\chemistry,popsci,771212,divolko3,2023-11-01T08:03:41.000Z,2.8K,,2.8K,8,2,without_company
D:\untitled3\.\hubs\chemistry,popsci,771198,Lorik22,2023-11-01T06:47:48.000Z,695,,695,6,2,without_company
D:\untitled3\.\hubs\chemistry,popsci,771170,GidraVydra,2023-11-01T02:29:18.000Z,4.8K,,4.8K,31,31,without_company
D:\untitled3\.\hubs\chemistry,popsci,770578,mvideo,2023-10-31T08:28:59.000Z,2.3K,,2.3K,20,1,without_company
D:\untitled3\.\hubs\chemistry,popsci,770812,gregyku,2023-10-30T14:45:20.000Z,3.4K,,3.4K,8,7,without_company
D:\untitled3\.\hubs\chemistry,popsci,770476,AlexSmithPsy,2023-10-28T10:48:49.000Z,3.8K,,3.8K,34,9,without_company
D:\untitled3\.\hubs\chemistry,popsci,770046,Dmytro_Kikot,2023-10-27T07:00:04.000Z,904,,904,11,6,without_company
D:\untitled3\.\hubs\chemistry,popsci,769496,uzikoff,2023-10-24T08:24:27.000Z,1.5K,,1.5K,14,9,without_company
D:\untitled3\.\hubs\chemistry,popsci,767498,denis_afanasyev,2023-10-19T14:25:01.000Z,9.4K,,9.4K,76,13,without_company
D:\untitled3\.\hubs\chemistry,popsci,768482,ITMan82,2023-10-19T08:12:56.000Z,17K,,17K,50,28,without_company
D:\untitled3\.\hubs\chemistry,popsci,766732,Cloud4Y,2023-10-11T11:49:04.000Z,41K,,41K,217,72,without_company
D:\untitled3\.\hubs\chemistry,popsci,766648,GidraVydra,2023-10-11T06:21:14.000Z,8.9K,,8.9K,44,53,without_company
D:\untitled3\.\hubs\chemistry,popsci,765992,MatasovAV,2023-10-07T20:19:57.000Z,9.7K,,9.7K,56,28,without_company
D:\untitled3\.\hubs\chemistry,popsci,765496,Dmytro_Kikot,2023-10-06T07:00:09.000Z,4.2K,,4.2K,14,5,without_company
D:\untitled3\.\hubs\chemistry,popsci,764644,DAN_SEA,2023-10-05T09:00:01.000Z,6.1K,,6.1K,43,42,without_company
D:\untitled3\.\hubs\chemistry,popsci,765000,Dmytro_Kikot,2023-10-04T07:00:34.000Z,2.4K,,2.4K,5,1,without_company
D:\untitled3\.\hubs\chemistry,popsci,763132,OlegSivchenko,2023-09-24T22:15:15.000Z,5.4K,,5.4K,18,34,without_company
D:\untitled3\.\hubs\chemistry,popsci,761900,Dmytro_Kikot,2023-09-20T07:00:20.000Z,1.4K,,1.4K,18,8,without_company
D:\untitled3\.\hubs\chemistry,popsci,760096,DAN_SEA,2023-09-15T09:00:02.000Z,7.5K,,7.5K,47,8,without_company
D:\untitled3\.\hubs\chemistry,popsci,759792,Oksana_Nedvigina,2023-09-08T12:46:30.000Z,1.4K,,1.4K,16,1,without_company
D:\untitled3\.\hubs\chemistry,popsci,759408,Dmytro_Kikot,2023-09-08T07:00:30.000Z,2.3K,,2.3K,18,5,without_company
D:\untitled3\.\hubs\chemistry,popsci,758952,Dmytro_Kikot,2023-09-06T07:00:14.000Z,2.5K,,2.5K,15,0,without_company
D:\untitled3\.\hubs\chemistry,popsci,757910,VAE,2023-09-01T10:17:42.000Z,1.8K,,1.8K,23,5,without_company
D:\untitled3\.\hubs\chemistry,popsci,758206,ITMan82,2023-08-31T13:41:33.000Z,48K,,48K,66,31,without_company
D:\untitled3\.\hubs\chemistry,popsci,757972,ko_ya,2023-08-30T16:00:01.000Z,8.9K,,8.9K,33,30,without_company
D:\untitled3\.\hubs\chemistry,popsci,757404,VAE,2023-08-30T11:01:40.000Z,6K,,6K,37,5,without_company
D:\untitled3\.\hubs\chemistry,popsci,757560,Dmytro_Kikot,2023-08-30T07:00:25.000Z,7.9K,,7.9K,24,195,without_company
