hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\circuit-design,null,774500,Lunathecat,2023-11-25T14:00:01.000Z,28K,,28K,72,14,without_company
D:\untitled3\.\hubs\circuit-design,null,772932,MaFrance351,2023-11-22T08:01:02.000Z,4.6K,,4.6K,22,20,without_company
D:\untitled3\.\hubs\circuit-design,null,771652,dmitriyrudnev,2023-11-21T09:00:02.000Z,4.3K,,4.3K,31,8,without_company
D:\untitled3\.\hubs\circuit-design,null,774652,RF_Pavel,2023-11-17T11:57:52.000Z,6.4K,,6.4K,34,18,without_company
D:\untitled3\.\hubs\circuit-design,null,769872,dmitriyrudnev,2023-11-14T09:00:04.000Z,6.9K,,6.9K,51,22,without_company
D:\untitled3\.\hubs\circuit-design,null,773432,dltex,2023-11-12T19:43:17.000Z,4.9K,,4.9K,27,52,without_company
D:\untitled3\.\hubs\circuit-design,null,771296,Lunathecat,2023-11-10T09:00:02.000Z,10K,,10K,49,18,without_company
D:\untitled3\.\hubs\circuit-design,null,772876,megalloid,2023-11-10T08:01:02.000Z,4.1K,,4.1K,51,9,without_company
D:\untitled3\.\hubs\circuit-design,null,772832,ArtoymPavlovich,2023-11-09T09:48:44.000Z,2.5K,,2.5K,16,9,without_company
D:\untitled3\.\hubs\circuit-design,null,767534,MaFrance351,2023-11-07T08:01:01.000Z,8.7K,,8.7K,53,55,without_company
D:\untitled3\.\hubs\circuit-design,null,772016,Ringenium,2023-11-05T12:00:10.000Z,12K,,12K,54,28,without_company
D:\untitled3\.\hubs\circuit-design,null,770572,Sukhachev_KIR,2023-10-29T13:25:37.000Z,7.7K,,7.7K,45,23,without_company
D:\untitled3\.\hubs\circuit-design,null,770454,stiger19,2023-10-28T07:10:29.000Z,12K,,12K,97,11,without_company
D:\untitled3\.\hubs\circuit-design,null,768912,MaFrance351,2023-10-27T08:01:02.000Z,12K,,12K,26,78,without_company
D:\untitled3\.\hubs\circuit-design,null,769986,Sukhachev_KIR,2023-10-25T21:04:07.000Z,3K,,3K,25,18,without_company
D:\untitled3\.\hubs\circuit-design,null,769004,Indemsys,2023-10-23T10:15:36.000Z,2.1K,,2.1K,16,2,without_company
D:\untitled3\.\hubs\circuit-design,null,768082,Indemsys,2023-10-18T06:44:52.000Z,8.2K,,8.2K,77,23,without_company
D:\untitled3\.\hubs\circuit-design,null,766002,iloveradio,2023-10-17T09:17:01.000Z,8K,,8K,60,13,without_company
D:\untitled3\.\hubs\circuit-design,null,766452,Kopcheniy,2023-10-13T08:01:02.000Z,4.8K,,4.8K,23,20,without_company
D:\untitled3\.\hubs\circuit-design,null,766766,RV3EFE,2023-10-12T06:43:18.000Z,3.9K,,3.9K,8,12,without_company
D:\untitled3\.\hubs\circuit-design,null,766468,a-re-ja,2023-10-10T09:44:53.000Z,11K,,11K,127,10,without_company
D:\untitled3\.\hubs\circuit-design,null,765990,MaFrance351,2023-10-10T08:01:01.000Z,16K,,16K,46,96,without_company
D:\untitled3\.\hubs\circuit-design,null,765950,AZazeJIb,2023-10-07T11:40:25.000Z,1.7K,,1.7K,25,13,without_company
