hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\cisconetworks,null,774720,Pas,2023-11-17T14:59:27.000Z,9.2K,,9.2K,50,16,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\cisconetworks,null,761848,braonle,2023-11-14T09:54:17.000Z,3K,,3K,18,1,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,760086,braonle,2023-10-02T10:11:02.000Z,811,,811,5,2,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,756342,virusaga,2023-08-28T08:05:05.000Z,3.2K,,3.2K,18,0,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\cisconetworks,null,743366,susuoltcev,2023-06-22T13:44:56.000Z,31K,,31K,53,57,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,738068,sl1,2023-05-28T08:52:56.000Z,8.2K,,8.2K,16,2,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\cisconetworks,null,712012,braonle,2023-03-21T11:39:01.000Z,720,,720,0,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,712014,braonle,2023-03-07T11:09:02.000Z,757,,757,1,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,710696,braonle,2023-02-21T11:11:02.000Z,920,,920,4,1,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,716972,Santchous,2023-02-15T14:21:07.000Z,1.6K,,1.6K,7,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\cisconetworks,null,710630,braonle,2023-01-24T11:45:02.000Z,993,,993,4,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,700384,braonle,2022-12-23T14:10:02.000Z,2.5K,,2.5K,19,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,700380,braonle,2022-11-22T13:00:02.000Z,3.5K,,3.5K,25,2,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,696024,AndreyTarasov,2022-10-28T10:14:22.000Z,36K,,36K,62,98,/ru/companies/croc/articles/
D:\untitled3\.\hubs\cisconetworks,null,694712,braonle,2022-10-21T12:00:02.000Z,5.4K,,5.4K,29,1,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,692958,braonle,2022-10-17T12:00:02.000Z,1.5K,,1.5K,11,2,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,692968,braonle,2022-10-14T12:00:02.000Z,1.6K,,1.6K,14,4,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,692942,braonle,2022-10-13T12:00:02.000Z,1.7K,,1.7K,18,2,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,692230,braonle,2022-10-10T11:36:33.000Z,1.1K,,1.1K,9,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,691144,viktort_t,2022-10-02T21:40:08.000Z,6.7K,,6.7K,23,1,/ru/hubs/linux/
D:\untitled3\.\hubs\cisconetworks,null,685072,in9uz,2022-08-28T13:53:42.000Z,10K,,10K,32,14,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\cisconetworks,null,678586,Vasiliy_A,2022-07-23T21:10:48.000Z,6.6K,,6.6K,26,11,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,676942,in9uz,2022-07-14T09:39:01.000Z,22K,,22K,77,10,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\cisconetworks,null,675510,in9uz,2022-07-06T17:36:02.000Z,6.6K,,6.6K,24,4,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\cisconetworks,null,675362,neeagleism,2022-07-06T09:19:39.000Z,2.7K,,2.7K,5,0,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\cisconetworks,null,673814,virusaga,2022-06-28T12:40:36.000Z,2.3K,,2.3K,5,2,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\cisconetworks,null,671288,braonle,2022-06-15T12:00:02.000Z,3.3K,,3.3K,18,3,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,652135,s_dubinin,2022-04-17T17:13:13.000Z,6.4K,,6.4K,13,8,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,659359,Vigogne,2022-04-06T09:10:06.000Z,5.1K,,5.1K,12,5,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,658683,braonle,2022-04-01T14:42:07.000Z,5.8K,,5.8K,25,5,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,654987,dmitry-net,2022-03-10T11:01:50.000Z,30K,,30K,71,10,/ru/companies/rosbank/articles/
D:\untitled3\.\hubs\cisconetworks,null,599211,braonle,2022-02-15T11:30:02.000Z,3.1K,,3.1K,15,1,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,649723,Furriest,2022-02-07T07:05:02.000Z,5.7K,,5.7K,14,10,/ru/companies/step_logic/articles/
D:\untitled3\.\hubs\cisconetworks,null,647961,ASigachev,2022-01-26T14:52:03.000Z,15K,,15K,23,10,/ru/companies/croc/articles/
D:\untitled3\.\hubs\cisconetworks,null,599203,braonle,2022-01-04T13:00:03.000Z,3.1K,,3.1K,23,2,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,594957,al-vis,2021-12-11T22:15:50.000Z,13K,,13K,40,10,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,589127,ChingizKhalafov,2021-11-15T06:29:08.000Z,7.9K,,7.9K,19,14,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,587336,woo_hung,2021-11-04T09:20:43.000Z,68K,,68K,166,34,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,585724,braonle,2021-10-27T12:00:01.000Z,2.4K,,2.4K,4,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,585822,virusaga,2021-10-27T10:12:48.000Z,20K,,20K,29,2,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,583172,Retributi0n,2021-10-13T07:45:24.000Z,155K,,155K,219,43,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,580106,gwathedhel,2021-09-27T06:43:08.000Z,17K,,17K,44,12,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,576338,braonle,2021-09-10T13:00:02.000Z,3.7K,,3.7K,17,2,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,573616,braonle,2021-08-27T13:00:01.000Z,5.8K,,5.8K,20,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,574162,Santchous,2021-08-24T13:55:30.000Z,6.2K,,6.2K,38,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\cisconetworks,null,570710,Vladimir_Kuiantsev,2021-08-01T08:39:52.000Z,2.2K,,2.2K,13,2,/ru/hubs/php/
D:\untitled3\.\hubs\cisconetworks,null,566992,Fzakharov,2021-07-09T20:29:42.000Z,20K,,20K,46,8,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,566622,MaxRokatansky,2021-07-07T17:12:35.000Z,14K,,14K,25,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\cisconetworks,null,565312,ankln,2021-06-29T14:29:50.000Z,12K,,12K,29,2,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,559706,saniapa,2021-05-27T18:55:54.000Z,5.6K,,5.6K,13,9,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,559404,saniapa,2021-05-26T12:27:21.000Z,7.4K,,7.4K,16,4,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,556216,braonle,2021-05-14T15:00:02.000Z,4.7K,,4.7K,16,2,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,554172,ilmarinnen,2021-04-25T07:01:01.000Z,14K,,14K,56,4,/ru/companies/macloud/articles/
D:\untitled3\.\hubs\cisconetworks,null,553156,braonle,2021-04-23T15:00:02.000Z,4.1K,,4.1K,16,3,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,552596,OLLY_IT,2021-04-15T13:13:59.000Z,12K,,12K,21,6,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\cisconetworks,null,552306,MFCKR,2021-04-14T07:01:39.000Z,15K,,15K,47,45,/ru/companies/croc/articles/
D:\untitled3\.\hubs\cisconetworks,null,551854,Santchous,2021-04-12T10:30:42.000Z,7.2K,,7.2K,42,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\cisconetworks,null,547006,braonle,2021-03-26T09:00:01.000Z,2.1K,,2.1K,4,0,/ru/hubs/cisconetworks/
D:\untitled3\.\hubs\cisconetworks,null,546814,endlessnights,2021-03-13T08:30:45.000Z,6.9K,,6.9K,53,11,/ru/hubs/cisconetworks/
