hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\client_side_optimization,null,775192,badcasedaily1,2023-11-22T12:13:21.000Z,3.3K,,3.3K,35,11,without_company
D:\untitled3\.\hubs\client_side_optimization,null,772252,Saitcraft77,2023-11-07T09:23:50.000Z,1.5K,,1.5K,4,2,without_company
D:\untitled3\.\hubs\client_side_optimization,null,769792,Testograf,2023-10-25T09:44:45.000Z,976,,976,9,5,without_company
D:\untitled3\.\hubs\client_side_optimization,null,769170,Dragonek,2023-10-23T08:11:22.000Z,3.1K,,3.1K,58,2,without_company
D:\untitled3\.\hubs\client_side_optimization,null,767494,Dragonek,2023-10-15T08:11:20.000Z,6.3K,,6.3K,104,6,without_company
D:\untitled3\.\hubs\client_side_optimization,null,765532,Saitcraft77,2023-10-05T10:09:44.000Z,793,,793,2,2,without_company
D:\untitled3\.\hubs\client_side_optimization,null,764648,Testograf,2023-10-01T09:30:26.000Z,1.5K,,1.5K,19,0,without_company
D:\untitled3\.\hubs\client_side_optimization,null,763870,Sitting,2023-09-27T12:57:39.000Z,2.2K,,2.2K,11,3,without_company
D:\untitled3\.\hubs\client_side_optimization,null,761882,dev_family,2023-09-19T06:41:23.000Z,841,,841,12,5,without_company
D:\untitled3\.\hubs\client_side_optimization,null,760620,FlexiTech,2023-09-13T07:20:01.000Z,1.6K,,1.6K,85,4,without_company
D:\untitled3\.\hubs\client_side_optimization,null,759150,idmx,2023-09-06T06:29:08.000Z,8.8K,,8.8K,58,14,without_company
D:\untitled3\.\hubs\client_side_optimization,null,759084,alenafomina0204,2023-09-05T15:10:16.000Z,1.1K,,1.1K,14,0,without_company
D:\untitled3\.\hubs\client_side_optimization,null,754082,mvideo,2023-08-11T13:33:13.000Z,4.7K,,4.7K,13,5,without_company
D:\untitled3\.\hubs\client_side_optimization,null,753236,24601,2023-08-08T09:20:28.000Z,1.5K,,1.5K,18,5,without_company
D:\untitled3\.\hubs\client_side_optimization,null,749794,qmzik,2023-07-23T11:46:16.000Z,2.4K,,2.4K,27,3,without_company
D:\untitled3\.\hubs\client_side_optimization,null,748272,sadiolem,2023-07-15T20:38:52.000Z,4.9K,,4.9K,61,6,without_company
D:\untitled3\.\hubs\client_side_optimization,null,747612,PatientZero,2023-07-13T07:59:42.000Z,2.1K,,2.1K,11,3,without_company
D:\untitled3\.\hubs\client_side_optimization,null,746740,sadiolem,2023-07-08T08:46:45.000Z,5.5K,,5.5K,50,10,without_company
D:\untitled3\.\hubs\client_side_optimization,null,745848,silentnotes,2023-07-04T11:25:46.000Z,1.4K,,1.4K,10,3,without_company
D:\untitled3\.\hubs\client_side_optimization,null,744824,ph_piter,2023-06-29T13:25:14.000Z,17K,,17K,83,10,without_company
D:\untitled3\.\hubs\client_side_optimization,null,744294,VTB,2023-06-27T15:10:57.000Z,2.9K,,2.9K,18,12,without_company
D:\untitled3\.\hubs\client_side_optimization,null,735104,fbilichenko,2023-05-15T13:00:42.000Z,5.7K,,5.7K,42,2,without_company
D:\untitled3\.\hubs\client_side_optimization,null,734110,skifford,2023-05-10T08:04:27.000Z,1.9K,,1.9K,17,1,without_company
D:\untitled3\.\hubs\client_side_optimization,null,733850,Artem-Martiyanov,2023-05-07T17:38:21.000Z,5.6K,,5.6K,34,15,without_company
D:\untitled3\.\hubs\client_side_optimization,null,732584,Alabota,2023-04-30T21:10:07.000Z,2.7K,,2.7K,16,7,without_company
D:\untitled3\.\hubs\client_side_optimization,null,732406,sadiolem,2023-04-29T08:48:51.000Z,21K,,21K,183,26,without_company
D:\untitled3\.\hubs\client_side_optimization,null,729360,Izenx,2023-04-16T09:56:42.000Z,4.8K,,4.8K,37,4,without_company
D:\untitled3\.\hubs\client_side_optimization,null,728418,aksiomaweb,2023-04-11T16:04:33.000Z,1.8K,,1.8K,9,9,without_company
D:\untitled3\.\hubs\client_side_optimization,null,726078,qlever,2023-03-31T08:45:33.000Z,2.5K,,2.5K,7,1,without_company
D:\untitled3\.\hubs\client_side_optimization,null,721374,duran-duran,2023-03-16T09:01:01.000Z,35K,,35K,66,78,without_company
D:\untitled3\.\hubs\client_side_optimization,null,720738,qlever,2023-03-06T11:54:06.000Z,1.4K,,1.4K,10,0,without_company
D:\untitled3\.\hubs\client_side_optimization,null,716578,oskaraff,2023-02-13T11:11:10.000Z,3.3K,,3.3K,9,0,without_company
D:\untitled3\.\hubs\client_side_optimization,null,712386,programmerguru,2023-01-24T09:00:03.000Z,25K,,25K,93,77,without_company
D:\untitled3\.\hubs\client_side_optimization,null,709056,Bright_Translate,2023-01-08T10:00:02.000Z,14K,,14K,116,2,without_company
D:\untitled3\.\hubs\client_side_optimization,null,709224,Ivalex1101,2023-01-05T20:47:01.000Z,6.2K,,6.2K,25,44,without_company
D:\untitled3\.\hubs\client_side_optimization,null,706790,Antiever,2022-12-21T08:43:32.000Z,45K,,45K,94,77,without_company
D:\untitled3\.\hubs\client_side_optimization,null,706380,AlexAura,2022-12-19T13:01:28.000Z,1.4K,,1.4K,3,0,without_company
D:\untitled3\.\hubs\client_side_optimization,null,700254,honyaki,2022-12-09T19:11:53.000Z,7.2K,,7.2K,65,12,without_company
D:\untitled3\.\hubs\client_side_optimization,null,702026,PatientZero,2022-11-28T11:39:08.000Z,13K,,13K,38,33,without_company
D:\untitled3\.\hubs\client_side_optimization,null,700932,Vera_Nes,2022-11-24T09:35:01.000Z,763,,763,5,0,without_company
D:\untitled3\.\hubs\client_side_optimization,null,701272,AlexAura,2022-11-24T08:27:58.000Z,1.7K,,1.7K,9,4,without_company
D:\untitled3\.\hubs\client_side_optimization,null,701150,leak_hunter,2022-11-23T13:43:30.000Z,4.5K,,4.5K,53,3,without_company
D:\untitled3\.\hubs\client_side_optimization,null,700950,mishqua,2022-11-23T07:56:13.000Z,7.1K,,7.1K,63,13,without_company
D:\untitled3\.\hubs\client_side_optimization,null,700622,snezhko,2022-11-21T12:27:32.000Z,527,,527,1,0,without_company
D:\untitled3\.\hubs\client_side_optimization,null,699538,PatientZero,2022-11-16T05:13:02.000Z,29K,,29K,91,46,without_company
D:\untitled3\.\hubs\client_side_optimization,null,694748,AlexAura,2022-10-21T12:26:07.000Z,3.1K,,3.1K,11,11,without_company
