hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\community_management,null,775732,Dantoskin,2023-11-22T16:03:31.000Z,1.4K,,1.4K,3,0,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,775612,SofiyaFitil,2023-11-22T09:26:32.000Z,2K,,2K,9,15,/ru/companies/fitil/articles/
D:\untitled3\.\hubs\community_management,null,774124,alenafomina0204,2023-11-15T13:49:23.000Z,941,,941,9,3,/ru/companies/uchi_ru/articles/
D:\untitled3\.\hubs\community_management,null,773072,TimurTukaev,2023-11-10T08:03:16.000Z,1.7K,,1.7K,29,7,/ru/companies/flant/articles/
D:\untitled3\.\hubs\community_management,null,773004,lol_wat,2023-11-09T20:18:34.000Z,955,,955,8,0,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,771792,IrinaSaribekova,2023-11-03T14:27:15.000Z,6.4K,,6.4K,59,15,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\community_management,null,771242,VladSmirnov,2023-11-01T09:28:47.000Z,13K,,13K,38,12,/ru/hubs/pm/
D:\untitled3\.\hubs\community_management,null,770526,Petolog,2023-10-28T21:13:26.000Z,2.6K,,2.6K,10,18,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,770484,AKlimenkov,2023-10-28T13:06:32.000Z,8.8K,,8.8K,47,79,/ru/hubs/habr/
D:\untitled3\.\hubs\community_management,null,768424,snakers4,2023-10-19T03:56:31.000Z,31K,,31K,38,158,/ru/hubs/open_source/
D:\untitled3\.\hubs\community_management,null,766562,NataliyaFitil,2023-10-10T15:17:30.000Z,6.1K,,6.1K,17,24,/ru/companies/fitil/articles/
D:\untitled3\.\hubs\community_management,null,765566,Reverie_moon,2023-10-06T09:48:25.000Z,7K,,7K,17,14,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\community_management,null,761280,Odin_Himself,2023-09-15T10:40:40.000Z,2.4K,,2.4K,21,16,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,760886,LeonidFirstov,2023-09-13T17:20:07.000Z,27K,,27K,58,55,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,759688,SofiyaFitil,2023-09-08T07:43:44.000Z,34K,,34K,18,74,/ru/companies/fitil/articles/
D:\untitled3\.\hubs\community_management,null,758254,SofiyaFitil,2023-08-31T19:06:57.000Z,3.9K,,3.9K,21,12,/ru/companies/fitil/articles/
D:\untitled3\.\hubs\community_management,null,757454,Vitaliy_Chesnokov,2023-08-29T05:08:02.000Z,2.5K,,2.5K,16,4,/ru/companies/teamly/articles/
D:\untitled3\.\hubs\community_management,null,756630,Marat-onlin,2023-08-24T08:30:42.000Z,7.1K,,7.1K,18,28,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,756616,sacredtree,2023-08-24T07:45:08.000Z,2.4K,,2.4K,14,1,/ru/companies/gazprombank/articles/
D:\untitled3\.\hubs\community_management,null,754894,Tirair,2023-08-16T07:00:21.000Z,1.2K,,1.2K,8,0,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\community_management,null,754822,oleg_rico,2023-08-15T16:26:36.000Z,4.3K,,4.3K,14,12,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,752932,catwomenko,2023-08-09T06:11:26.000Z,3.3K,,3.3K,12,9,/ru/companies/dododev/articles/
D:\untitled3\.\hubs\community_management,null,752168,Anchovis,2023-08-07T10:15:57.000Z,1.9K,,1.9K,7,2,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\community_management,null,752016,Nikolay_Kirillov,2023-08-03T08:55:41.000Z,2.1K,,2.1K,22,4,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\community_management,null,751696,ARadzishevskiy,2023-08-01T09:54:49.000Z,1.1K,,1.1K,6,8,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,747498,Aleksandrina17,2023-08-01T07:01:02.000Z,1.5K,,1.5K,28,0,/ru/companies/lanit/articles/
D:\untitled3\.\hubs\community_management,null,750880,katttyapa,2023-07-28T09:23:32.000Z,2.5K,,2.5K,11,0,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\community_management,null,750240,murad1986,2023-07-25T11:55:12.000Z,2.1K,,2.1K,11,3,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,748160,Boomburum,2023-07-25T07:30:13.000Z,6.2K,,6.2K,18,107,/ru/companies/habr/articles/
D:\untitled3\.\hubs\community_management,null,749238,NataliyaFitil,2023-07-20T07:11:01.000Z,1.4K,,1.4K,8,7,/ru/companies/fitil/articles/
D:\untitled3\.\hubs\community_management,null,747654,SofiyaFitil,2023-07-12T18:51:33.000Z,4.6K,,4.6K,23,21,/ru/companies/fitil/articles/
D:\untitled3\.\hubs\community_management,null,747546,madgest,2023-07-12T12:41:45.000Z,2K,,2K,14,3,/ru/hubs/dev_management/
D:\untitled3\.\hubs\community_management,null,746492,SofiyaFitil,2023-07-07T07:53:08.000Z,2K,,2K,19,20,/ru/companies/fitil/articles/
D:\untitled3\.\hubs\community_management,null,744818,SofiyaFitil,2023-06-29T12:21:18.000Z,1K,,1K,10,2,/ru/companies/fitil/articles/
D:\untitled3\.\hubs\community_management,null,719760,romas1982,2023-06-28T08:55:32.000Z,3.6K,,3.6K,23,1,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\community_management,null,743838,NataliyaFitil,2023-06-26T07:20:03.000Z,3.6K,,3.6K,15,16,/ru/companies/fitil/articles/
D:\untitled3\.\hubs\community_management,null,742640,Zarrr,2023-06-19T14:05:40.000Z,1.5K,,1.5K,8,2,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,741860,Anna-Beltanner,2023-06-15T07:49:48.000Z,4.1K,,4.1K,27,32,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\community_management,null,741220,ryazanov-space,2023-06-12T09:28:29.000Z,7.7K,,7.7K,55,20,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,741048,vladimirmozg1994,2023-06-10T02:11:36.000Z,10K,,10K,75,127,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,740098,easchabanova,2023-06-08T07:46:01.000Z,748,,748,8,1,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\community_management,null,740068,rumin_v_rabote,2023-06-06T06:21:37.000Z,3.9K,,3.9K,10,3,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,739082,rumin_v_rabote,2023-06-01T07:42:23.000Z,38K,,38K,81,157,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,738334,kseniya_ro,2023-05-29T13:07:30.000Z,1.1K,,1.1K,5,1,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,736930,Mari_Boo,2023-05-24T09:11:19.000Z,4.1K,,4.1K,32,1,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\community_management,null,737206,ptsecurity,2023-05-24T08:44:21.000Z,1.2K,,1.2K,2,0,/ru/companies/pt/articles/
D:\untitled3\.\hubs\community_management,null,736004,Smirry,2023-05-19T07:49:05.000Z,1.1K,,1.1K,9,2,/ru/companies/karuna/articles/
D:\untitled3\.\hubs\community_management,null,730024,gremus,2023-04-19T21:01:01.000Z,5.5K,,5.5K,10,2,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\community_management,null,729962,puzanov1,2023-04-18T19:50:49.000Z,2.6K,,2.6K,14,3,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,729754,Olegramm,2023-04-18T09:03:49.000Z,13K,,13K,3,0,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,728128,kormschikova,2023-04-11T14:05:03.000Z,1K,,1K,17,6,/ru/companies/rostelecom/articles/
D:\untitled3\.\hubs\community_management,null,724228,NatalyCherkasova,2023-03-28T07:01:05.000Z,2.5K,,2.5K,24,1,/ru/companies/lanit/articles/
D:\untitled3\.\hubs\community_management,null,724744,Ratkov,2023-03-25T16:12:30.000Z,1.4K,,1.4K,17,4,/ru/hubs/pm/
D:\untitled3\.\hubs\community_management,null,723532,puzanov1,2023-03-20T08:56:34.000Z,1.4K,,1.4K,10,13,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,723410,erthad,2023-03-19T15:19:31.000Z,1.6K,,1.6K,5,4,/ru/hubs/dev_management/
D:\untitled3\.\hubs\community_management,null,720772,DigitalTatarstan,2023-03-06T13:08:10.000Z,1.3K,,1.3K,8,20,/ru/companies/digital_tatarstan/articles/
D:\untitled3\.\hubs\community_management,null,718526,WEStor,2023-02-23T09:25:54.000Z,3.3K,,3.3K,11,10,/ru/companies/inDrive/articles/
D:\untitled3\.\hubs\community_management,null,718174,rsashka,2023-02-20T18:40:22.000Z,8.6K,,8.6K,22,66,/ru/hubs/open_source/
D:\untitled3\.\hubs\community_management,null,718046,IrinaSaribekova,2023-02-20T11:02:04.000Z,2.4K,,2.4K,12,11,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\community_management,null,718042,makasin4ik,2023-02-20T10:56:13.000Z,29K,,29K,51,6,/ru/companies/offlinecrm/articles/
D:\untitled3\.\hubs\community_management,null,717810,tarasovaaspb,2023-02-18T19:12:54.000Z,1.1K,,1.1K,5,2,/ru/hubs/iconoskaz/
D:\untitled3\.\hubs\community_management,null,717728,Markaty,2023-02-17T19:23:56.000Z,1.5K,,1.5K,11,1,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,716316,jm_sub,2023-02-17T12:32:34.000Z,7.5K,,7.5K,36,3,/ru/companies/skyeng/articles/
D:\untitled3\.\hubs\community_management,null,716664,ntoskernel,2023-02-14T08:34:35.000Z,3.3K,,3.3K,20,4,/ru/companies/avito/articles/
D:\untitled3\.\hubs\community_management,null,716776,Alex_Poplyovko,2023-02-14T08:04:43.000Z,2.2K,,2.2K,5,7,/ru/companies/leroy_merlin/articles/
D:\untitled3\.\hubs\community_management,null,715726,natalka,2023-02-09T10:44:24.000Z,1.6K,,1.6K,17,7,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\community_management,null,713968,mosx1,2023-01-31T12:54:52.000Z,5.2K,,5.2K,29,9,/ru/hubs/python/
D:\untitled3\.\hubs\community_management,null,713706,Boomburum,2023-01-30T13:32:51.000Z,2.3K,,2.3K,2,45,/ru/companies/habr/articles/
D:\untitled3\.\hubs\community_management,null,713516,makasin4ik,2023-01-29T14:36:46.000Z,1.9K,,1.9K,6,2,/ru/companies/offlinecrm/articles/
D:\untitled3\.\hubs\community_management,null,711614,MariiaEidelman,2023-01-19T12:22:47.000Z,3.9K,,3.9K,21,9,/ru/hubs/dev_management/
D:\untitled3\.\hubs\community_management,null,710888,RomTec,2023-01-16T11:38:05.000Z,1.2K,,1.2K,8,61,/ru/hubs/habr/
D:\untitled3\.\hubs\community_management,null,710316,m1khailpopov,2023-01-13T07:56:26.000Z,1.4K,,1.4K,15,0,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\community_management,null,709572,alizar,2023-01-11T09:00:02.000Z,36K,,36K,108,413,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\community_management,null,709560,Usetech,2023-01-09T05:49:14.000Z,6.6K,,6.6K,50,16,/ru/companies/usetech/articles/
D:\untitled3\.\hubs\community_management,null,707562,Vadimyan,2022-12-30T09:46:57.000Z,2.5K,,2.5K,7,2,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,707614,Boomburum,2022-12-26T06:16:02.000Z,2.9K,,2.9K,3,144,/ru/companies/habr/articles/
D:\untitled3\.\hubs\community_management,null,707178,maxilean,2022-12-22T14:25:23.000Z,2.7K,,2.7K,9,30,/ru/companies/ligastavok/articles/
D:\untitled3\.\hubs\community_management,null,707170,Boomburum,2022-12-22T13:23:16.000Z,10K,,10K,22,127,/ru/companies/habr/articles/
D:\untitled3\.\hubs\community_management,null,706616,Thomas_Hanniball,2022-12-20T11:39:09.000Z,7.2K,,7.2K,16,13,/ru/hubs/pm/
D:\untitled3\.\hubs\community_management,null,705304,NataliaZheltova,2022-12-19T08:03:46.000Z,2.2K,,2.2K,44,20,/ru/hubs/community_management/
D:\untitled3\.\hubs\community_management,null,706072,dlinyj,2022-12-16T20:53:46.000Z,20K,,20K,53,227,/ru/hubs/habr/
D:\untitled3\.\hubs\community_management,null,705856,Boomburum,2022-12-16T10:05:27.000Z,8.6K,,8.6K,13,368,/ru/companies/habr/articles/
