hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\compilers,develop,775076,RustLangRu,2023-11-20T10:01:54.000Z,1.7K,,1.7K,3,4,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,771992,xortator,2023-11-05T12:15:02.000Z,5.2K,,5.2K,54,14,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,771722,MaxRokatansky,2023-11-03T10:00:51.000Z,4.6K,,4.6K,29,5,/ru/companies/otus/articles/
D:\untitled3\.\hubs\compilers,develop,769916,Sukhachev_KIR,2023-10-25T14:31:08.000Z,13K,,13K,105,20,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,768460,ser-mk,2023-10-25T07:57:54.000Z,5.9K,,5.9K,66,20,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,766460,justwack,2023-10-10T09:38:32.000Z,2.1K,,2.1K,27,4,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,766278,ElonReeveMusk,2023-10-09T12:44:40.000Z,7K,,7K,28,18,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,765890,RustLangRu,2023-10-06T17:43:06.000Z,3.9K,,3.9K,20,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,764636,xortator,2023-10-01T11:00:01.000Z,4.8K,,4.8K,49,11,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,764342,Bright_Translate,2023-10-01T10:00:01.000Z,4.8K,,4.8K,69,0,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\compilers,develop,761694,Panzerschrek,2023-09-20T14:25:26.000Z,2.5K,,2.5K,20,0,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,759196,PatientZero,2023-09-20T07:52:54.000Z,11K,,11K,70,6,/ru/hubs/python/
D:\untitled3\.\hubs\compilers,develop,760400,Cloud4Y,2023-09-12T07:39:05.000Z,15K,,15K,62,0,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\compilers,develop,759326,Albert_Wesker,2023-09-07T08:01:04.000Z,5.8K,,5.8K,55,11,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\compilers,develop,759278,graphorismo,2023-09-06T12:32:38.000Z,4K,,4K,10,11,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\compilers,develop,757158,RustLangRu,2023-08-27T08:18:22.000Z,4.2K,,4.2K,12,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,757140,ElonReeve,2023-08-27T06:24:23.000Z,11K,,11K,11,46,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,757122,aabzel,2023-08-26T22:07:25.000Z,3.8K,,3.8K,46,85,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,756306,YegorP,2023-08-22T21:27:10.000Z,3K,,3K,12,6,/ru/hubs/javascript/
D:\untitled3\.\hubs\compilers,develop,756186,iliazeus,2023-08-22T12:09:19.000Z,1.8K,,1.8K,9,0,/ru/hubs/javascript/
D:\untitled3\.\hubs\compilers,develop,756000,Sivchenko_translate,2023-08-21T18:01:01.000Z,10K,,10K,64,71,/ru/hubs/cpp/
D:\untitled3\.\hubs\compilers,develop,755672,kotan-11,2023-08-20T22:57:50.000Z,2.3K,,2.3K,11,27,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,755362,easimonenko,2023-08-17T22:52:32.000Z,1.6K,,1.6K,10,0,/ru/hubs/system_programming/
D:\untitled3\.\hubs\compilers,develop,755004,Stolyarrr,2023-08-17T12:56:05.000Z,7.2K,,7.2K,54,8,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\compilers,develop,753260,antoshkka,2023-08-17T10:24:21.000Z,18K,,18K,59,119,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\compilers,develop,754730,PatientZero,2023-08-17T05:37:58.000Z,28K,,28K,63,126,/ru/hubs/cpp/
D:\untitled3\.\hubs\compilers,develop,754298,xortator,2023-08-13T13:00:01.000Z,3.2K,,3.2K,38,8,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,753272,PatientZero,2023-08-10T05:46:23.000Z,5.3K,,5.3K,49,29,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,753650,kotan-11,2023-08-09T19:22:19.000Z,2.3K,,2.3K,9,27,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,745008,iliazeus,2023-08-08T09:00:02.000Z,9.3K,,9.3K,60,15,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\compilers,develop,753180,abs0luty,2023-08-08T06:44:26.000Z,1.5K,,1.5K,13,2,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,751630,kotan-11,2023-08-01T14:36:20.000Z,1.4K,,1.4K,15,42,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,750886,Dukarav,2023-07-28T05:24:01.000Z,2.1K,,2.1K,14,11,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,750604,YegorP,2023-07-26T15:23:14.000Z,6.8K,,6.8K,45,6,/ru/hubs/javascript/
D:\untitled3\.\hubs\compilers,develop,749806,kotan-11,2023-07-23T12:47:40.000Z,7K,,7K,53,44,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,749152,vda19999,2023-07-20T17:01:01.000Z,7.8K,,7.8K,83,4,/ru/hubs/cpp/
D:\untitled3\.\hubs\compilers,develop,748978,abs0luty,2023-07-19T08:50:17.000Z,2.1K,,2.1K,18,2,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,748262,Dukarav,2023-07-16T04:05:01.000Z,5K,,5K,34,8,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,748122,RustLangRu,2023-07-14T14:01:06.000Z,2.3K,,2.3K,7,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,747612,PatientZero,2023-07-13T07:59:42.000Z,2.1K,,2.1K,11,3,/ru/hubs/client_side_optimization/
D:\untitled3\.\hubs\compilers,develop,746776,Dukarav,2023-07-09T04:10:01.000Z,6.8K,,6.8K,26,22,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,745582,ru_vds,2023-07-03T13:00:10.000Z,7.4K,,7.4K,39,10,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\compilers,develop,742062,xortator,2023-07-03T10:20:35.000Z,3.4K,,3.4K,38,8,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,744528,prefrontalCortex,2023-06-28T15:28:44.000Z,3.8K,,3.8K,17,1,/ru/hubs/lisp/
D:\untitled3\.\hubs\compilers,develop,743930,Stolyarrr,2023-06-28T09:58:06.000Z,13K,,13K,84,44,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\compilers,develop,743538,ph_piter,2023-06-23T13:17:46.000Z,7.9K,,7.9K,59,2,/ru/companies/piter/articles/
D:\untitled3\.\hubs\compilers,develop,740056,xortator,2023-06-14T14:00:01.000Z,8.7K,,8.7K,66,94,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,740868,FenixFly,2023-06-09T09:08:04.000Z,5K,,5K,44,10,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,740726,yadro_team,2023-06-09T07:13:01.000Z,4.7K,,4.7K,34,8,/ru/companies/yadro/articles/
D:\untitled3\.\hubs\compilers,develop,739578,orenty7,2023-06-02T17:47:23.000Z,9.6K,,9.6K,61,17,/ru/hubs/crazydev/
D:\untitled3\.\hubs\compilers,develop,739570,RustLangRu,2023-06-02T16:35:21.000Z,4.1K,,4.1K,9,24,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,739394,e2k_sid,2023-06-02T07:33:44.000Z,4.8K,,4.8K,16,10,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,738694,Dukarav,2023-05-31T05:20:01.000Z,806,,806,9,1,/ru/hubs/complete_code/
D:\untitled3\.\hubs\compilers,develop,737646,xortator,2023-05-28T14:00:01.000Z,7.9K,,7.9K,62,16,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,736146,Dukarav,2023-05-19T05:21:01.000Z,2.6K,,2.6K,23,2,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,735152,xortator,2023-05-15T11:13:21.000Z,13K,,13K,146,58,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,733088,Panzerschrek,2023-05-05T09:43:08.000Z,3.1K,,3.1K,6,6,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,732430,Tereshkov,2023-05-01T13:49:55.000Z,6.1K,,6.1K,23,8,/ru/hubs/gamedev/
D:\untitled3\.\hubs\compilers,develop,730872,PatientZero,2023-04-28T08:08:49.000Z,67K,,67K,221,52,/ru/hubs/3d_graphics/
D:\untitled3\.\hubs\compilers,develop,732116,Dukarav,2023-04-28T05:22:01.000Z,2.7K,,2.7K,23,10,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,731268,RustLangRu,2023-04-24T14:28:14.000Z,2.5K,,2.5K,9,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,730686,DCSinpo,2023-04-21T09:35:26.000Z,3.7K,,3.7K,44,7,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,730552,Dukarav,2023-04-21T05:21:01.000Z,5.6K,,5.6K,21,4,/ru/hubs/complete_code/
D:\untitled3\.\hubs\compilers,develop,730610,XO490,2023-04-21T03:10:18.000Z,4.2K,,4.2K,8,2,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,728430,Dukarav,2023-04-12T05:10:02.000Z,1.8K,,1.8K,11,25,/ru/hubs/complete_code/
D:\untitled3\.\hubs\compilers,develop,726912,XO490,2023-04-04T13:46:59.000Z,3.1K,,3.1K,14,0,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,724010,DCSinpo,2023-03-23T04:30:01.000Z,3.4K,,3.4K,57,4,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,723242,kompas_3d,2023-03-22T08:11:01.000Z,2.2K,,2.2K,9,20,/ru/companies/ascon/articles/
D:\untitled3\.\hubs\compilers,develop,723400,TalismanChet,2023-03-19T13:54:06.000Z,7.4K,,7.4K,36,57,/ru/hubs/python/
D:\untitled3\.\hubs\compilers,develop,721908,rsashka,2023-03-14T07:34:47.000Z,5.1K,,5.1K,17,29,/ru/hubs/crazydev/
D:\untitled3\.\hubs\compilers,develop,722152,RustLangRu,2023-03-13T18:46:20.000Z,4.3K,,4.3K,13,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,719614,phillennium,2023-03-06T09:26:39.000Z,19K,,19K,133,18,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\compilers,develop,719332,rsashka,2023-03-01T14:01:02.000Z,3.4K,,3.4K,21,22,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\compilers,develop,715358,antoshkka,2023-02-20T09:00:48.000Z,32K,,32K,68,34,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\compilers,develop,717886,DCSinpo,2023-02-19T16:30:58.000Z,5.4K,,5.4K,54,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,717848,Sivchenko_translate,2023-02-19T09:36:09.000Z,7.2K,,7.2K,44,20,/ru/hubs/crypto/
D:\untitled3\.\hubs\compilers,develop,716044,AceRodstin,2023-02-10T07:45:42.000Z,12K,,12K,7,25,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,714838,DCSinpo,2023-02-04T09:55:26.000Z,5.6K,,5.6K,60,21,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,714792,YuriPanchul,2023-02-03T18:11:27.000Z,138K,,138K,139,322,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,713740,RustLangRu,2023-01-30T15:21:13.000Z,3.2K,,3.2K,6,5,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,713434,DCSinpo,2023-01-28T14:38:26.000Z,19K,,19K,177,16,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,712036,Makcimka132,2023-01-22T08:51:10.000Z,13K,,13K,19,54,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,710744,Izaron,2023-01-19T03:02:33.000Z,7.8K,,7.8K,37,12,/ru/hubs/cpp/
D:\untitled3\.\hubs\compilers,develop,706176,RustLangRu,2022-12-18T08:01:57.000Z,4K,,4K,7,5,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,705926,d7d1cd,2022-12-16T12:45:27.000Z,1.6K,,1.6K,1,12,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,703036,Number571,2022-12-02T06:13:46.000Z,5.4K,,5.4K,13,9,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,702814,vda19999,2022-12-01T09:35:46.000Z,5.9K,,5.9K,26,4,/ru/hubs/crazydev/
D:\untitled3\.\hubs\compilers,develop,698190,tmteam,2022-12-01T01:48:13.000Z,3.9K,,3.9K,35,34,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,698532,quasilyte,2022-11-29T13:33:18.000Z,6.4K,,6.4K,33,7,/ru/companies/vk/articles/
D:\untitled3\.\hubs\compilers,develop,702186,YuriPanchul,2022-11-29T09:38:14.000Z,11K,,11K,29,61,/ru/hubs/compilers/
D:\untitled3\.\hubs\compilers,develop,701216,pmswga,2022-11-24T16:37:16.000Z,2.3K,,2.3K,14,1,/ru/hubs/php/
D:\untitled3\.\hubs\compilers,develop,696236,nullc0de,2022-11-22T09:00:04.000Z,10K,,10K,61,29,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\compilers,develop,700382,PatientZero,2022-11-22T05:15:01.000Z,15K,,15K,35,22,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,698016,alizar,2022-11-21T09:00:01.000Z,13K,,13K,133,3,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\compilers,develop,700224,Shyhartskoi,2022-11-18T14:00:01.000Z,5.6K,,5.6K,46,2,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\compilers,develop,699538,PatientZero,2022-11-16T05:13:02.000Z,29K,,29K,91,46,/ru/hubs/client_side_optimization/
D:\untitled3\.\hubs\compilers,develop,698294,unserialize,2022-11-11T09:12:02.000Z,14K,,14K,28,25,/ru/companies/vk/articles/
D:\untitled3\.\hubs\compilers,develop,697400,rsashka,2022-11-07T13:27:42.000Z,7K,,7K,14,51,/ru/hubs/crazydev/
D:\untitled3\.\hubs\compilers,develop,697430,RustLangRu,2022-11-04T08:44:35.000Z,7.2K,,7.2K,13,7,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,696740,c3dlabs,2022-11-02T08:11:02.000Z,2K,,2K,9,2,/ru/companies/ascon/articles/
D:\untitled3\.\hubs\compilers,develop,695426,Andrey2008,2022-10-25T15:04:28.000Z,3.3K,,3.3K,9,8,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\compilers,develop,689326,potan,2022-10-06T11:11:33.000Z,6.3K,,6.3K,36,14,/ru/hubs/system_programming/
D:\untitled3\.\hubs\compilers,develop,690844,Shyhartskoi,2022-09-30T10:05:17.000Z,16K,,16K,92,26,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\compilers,develop,689876,RustLangRu,2022-09-23T15:20:35.000Z,5.2K,,5.2K,12,5,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,688462,stepanovD,2022-09-16T06:50:18.000Z,11K,,11K,54,11,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,685434,xyli0o,2022-08-30T12:27:53.000Z,3.6K,,3.6K,32,1,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,682324,rsashka,2022-08-15T15:52:55.000Z,11K,,11K,30,5,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\compilers,develop,682300,RustLangRu,2022-08-12T19:03:25.000Z,6.4K,,6.4K,16,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\compilers,develop,681960,rsashka,2022-08-12T11:48:01.000Z,8.2K,,8.2K,14,22,/ru/hubs/crazydev/
D:\untitled3\.\hubs\compilers,develop,680452,vda19999,2022-08-02T13:09:05.000Z,9.9K,,9.9K,54,17,/ru/hubs/cpp/
D:\untitled3\.\hubs\compilers,develop,678406,honyaki,2022-07-27T20:06:32.000Z,5K,,5K,26,0,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\compilers,develop,678760,antoshkka,2022-07-26T07:51:46.000Z,22K,,22K,62,228,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\compilers,develop,677224,Dukarav,2022-07-16T02:47:01.000Z,2.1K,,2.1K,13,1,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,676182,Hixon10,2022-07-11T06:58:04.000Z,3.4K,,3.4K,16,16,/ru/hubs/programming/
D:\untitled3\.\hubs\compilers,develop,675946,Minatych,2022-07-08T13:51:39.000Z,3.1K,,3.1K,30,2,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\compilers,develop,674810,Lintik,2022-07-03T19:42:28.000Z,8.1K,,8.1K,34,16,/ru/hubs/programming/
