hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\controllers,null,776212,RyabovA,2023-11-26T15:37:37.000Z,270,,270,9,0,/ru/hubs/python/
D:\untitled3\.\hubs\controllers,null,772186,smart_alex,2023-11-26T08:01:01.000Z,1.8K,,1.8K,14,12,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\controllers,null,767386,aabzel,2023-11-26T00:37:42.000Z,3.5K,,3.5K,22,21,/ru/hubs/maths/
D:\untitled3\.\hubs\controllers,null,775718,lws0954,2023-11-22T15:28:45.000Z,11K,,11K,103,85,/ru/hubs/lib/
D:\untitled3\.\hubs\controllers,null,775540,dbalabolin,2023-11-22T09:00:03.000Z,1.3K,,1.3K,18,10,/ru/hubs/industrial_control_system/
D:\untitled3\.\hubs\controllers,null,772932,MaFrance351,2023-11-22T08:01:02.000Z,4.6K,,4.6K,22,20,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\controllers,null,774624,aabzel,2023-11-19T00:21:44.000Z,5.5K,,5.5K,35,33,/ru/hubs/c/
D:\untitled3\.\hubs\controllers,null,771870,smart_alex,2023-11-16T08:01:01.000Z,3.7K,,3.7K,15,0,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\controllers,null,757000,aabzel,2023-11-15T23:12:09.000Z,8.2K,,8.2K,91,26,/ru/hubs/system_programming/
D:\untitled3\.\hubs\controllers,null,774178,maisvendoo,2023-11-15T22:54:26.000Z,2.5K,,2.5K,18,7,/ru/hubs/open_source/
D:\untitled3\.\hubs\controllers,null,773780,mark_ablov,2023-11-14T08:28:42.000Z,41K,,41K,136,41,/ru/hubs/crazydev/
D:\untitled3\.\hubs\controllers,null,773546,Berkseo,2023-11-13T11:33:15.000Z,14K,,14K,46,25,/ru/hubs/wireless/
D:\untitled3\.\hubs\controllers,null,773550,etherblade,2023-11-13T11:00:12.000Z,985,,985,10,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\controllers,null,773318,ar4w,2023-11-11T16:54:13.000Z,30K,,30K,123,81,/ru/hubs/controllers/
D:\untitled3\.\hubs\controllers,null,761612,freebsdmry,2023-11-10T07:46:26.000Z,3.4K,,3.4K,38,0,/ru/companies/auriga/articles/
D:\untitled3\.\hubs\controllers,null,772986,dltex,2023-11-09T18:32:03.000Z,7.6K,,7.6K,25,3,/ru/hubs/c/
D:\untitled3\.\hubs\controllers,null,772928,shiotiny,2023-11-09T16:23:53.000Z,1.2K,,1.2K,14,4,/ru/hubs/controllers/
D:\untitled3\.\hubs\controllers,null,771894,sfsdart,2023-11-09T14:19:52.000Z,8.3K,,8.3K,43,31,/ru/companies/3rdman/articles/
D:\untitled3\.\hubs\controllers,null,771886,belokobylskiy,2023-11-06T07:18:41.000Z,14K,,14K,60,15,/ru/hubs/controllers/
