hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\conversion,null,776102,MAKO_digital,2023-11-24T07:07:06.000Z,1.7K,,1.7K,8,4,without_company
D:\untitled3\.\hubs\conversion,null,775938,SergeiKazarian,2023-11-23T12:45:58.000Z,1.7K,,1.7K,11,8,without_company
D:\untitled3\.\hubs\conversion,null,774960,ArtemLoginov1,2023-11-20T10:53:24.000Z,617,,617,4,1,without_company
D:\untitled3\.\hubs\conversion,null,774520,MAKO_digital,2023-11-17T06:41:59.000Z,674,,674,4,4,without_company
D:\untitled3\.\hubs\conversion,null,771596,MAKO_digital,2023-11-03T11:00:01.000Z,4.9K,,4.9K,24,1,without_company
D:\untitled3\.\hubs\conversion,null,770826,Lens-agency,2023-10-30T15:43:16.000Z,839,,839,8,4,without_company
D:\untitled3\.\hubs\conversion,null,770772,Saitcraft77,2023-10-30T12:26:24.000Z,1.5K,,1.5K,3,7,without_company
D:\untitled3\.\hubs\conversion,null,767830,AndreyMaksimovS,2023-10-19T08:25:48.000Z,1.5K,,1.5K,21,0,without_company
D:\untitled3\.\hubs\conversion,null,764008,Saitcraft77,2023-09-28T05:26:30.000Z,1.1K,,1.1K,3,0,without_company
D:\untitled3\.\hubs\conversion,null,758386,roastapps,2023-09-01T11:51:35.000Z,6.6K,,6.6K,46,12,without_company
D:\untitled3\.\hubs\conversion,null,756434,iConText_Group,2023-08-23T11:13:57.000Z,2.9K,,2.9K,18,0,without_company
D:\untitled3\.\hubs\conversion,null,754612,MAKO_digital,2023-08-18T11:15:01.000Z,1.5K,,1.5K,2,0,without_company
D:\untitled3\.\hubs\conversion,null,755410,Saitcraft77,2023-08-18T07:31:21.000Z,707,,707,3,3,without_company
D:\untitled3\.\hubs\conversion,null,753830,nkxxv,2023-08-11T11:45:18.000Z,3.2K,,3.2K,32,7,without_company
D:\untitled3\.\hubs\conversion,null,751836,LyudmilaAlt,2023-08-02T09:00:03.000Z,726,,726,1,5,without_company
D:\untitled3\.\hubs\conversion,null,750194,LyudmilaAlt,2023-07-25T10:02:30.000Z,2.9K,,2.9K,18,3,without_company
D:\untitled3\.\hubs\conversion,null,748518,LyudmilaAlt,2023-07-18T09:00:01.000Z,346,,346,2,0,without_company
D:\untitled3\.\hubs\conversion,null,747388,Clickru,2023-07-12T08:01:25.000Z,1.3K,,1.3K,8,0,without_company
D:\untitled3\.\hubs\conversion,null,746924,gabrielaccmu,2023-07-11T17:36:23.000Z,11K,,11K,16,10,without_company
D:\untitled3\.\hubs\conversion,null,746844,site3d,2023-07-10T16:44:05.000Z,2.5K,,2.5K,6,0,without_company
D:\untitled3\.\hubs\conversion,null,746396,gabrielaccmu,2023-07-06T14:53:52.000Z,5K,,5K,28,2,without_company
D:\untitled3\.\hubs\conversion,null,741706,LyudmilaAlt,2023-06-14T11:02:09.000Z,2.1K,,2.1K,2,0,without_company
D:\untitled3\.\hubs\conversion,null,741542,Clickru,2023-06-14T08:20:28.000Z,3.9K,,3.9K,7,4,without_company
D:\untitled3\.\hubs\conversion,null,739988,LyudmilaAlt,2023-06-06T09:00:01.000Z,526,,526,5,2,without_company
D:\untitled3\.\hubs\conversion,null,738364,LyudmilaAlt,2023-05-31T08:13:24.000Z,525,,525,5,0,without_company
D:\untitled3\.\hubs\conversion,null,738772,rumin_v_rabote,2023-05-31T06:39:22.000Z,1.4K,,1.4K,6,0,without_company
D:\untitled3\.\hubs\conversion,null,738006,Clickru,2023-05-29T07:00:01.000Z,3.4K,,3.4K,35,1,without_company
D:\untitled3\.\hubs\conversion,null,737868,JenLi,2023-05-26T12:27:35.000Z,564,,564,4,0,without_company
D:\untitled3\.\hubs\conversion,null,737796,rumin_v_rabote,2023-05-26T09:38:24.000Z,4.6K,,4.6K,19,14,without_company
D:\untitled3\.\hubs\conversion,null,737410,TutMee,2023-05-25T07:41:18.000Z,1.1K,,1.1K,3,10,without_company
D:\untitled3\.\hubs\conversion,null,736254,LyudmilaAlt,2023-05-24T09:00:01.000Z,540,,540,1,0,without_company
D:\untitled3\.\hubs\conversion,null,736356,aksiomaweb,2023-05-19T14:06:02.000Z,1K,,1K,9,0,without_company
D:\untitled3\.\hubs\conversion,null,735230,MaxRokatansky,2023-05-16T13:49:01.000Z,1.7K,,1.7K,6,0,without_company
D:\untitled3\.\hubs\conversion,null,733514,Digital_League,2023-05-05T07:56:08.000Z,3.3K,,3.3K,29,0,without_company
D:\untitled3\.\hubs\conversion,null,728892,R031K,2023-04-20T10:24:33.000Z,1.6K,,1.6K,7,4,without_company
D:\untitled3\.\hubs\conversion,null,730332,Clickru,2023-04-20T08:43:11.000Z,2.4K,,2.4K,10,0,without_company
D:\untitled3\.\hubs\conversion,null,730286,svetlovism,2023-04-20T05:45:20.000Z,1.3K,,1.3K,9,0,without_company
D:\untitled3\.\hubs\conversion,null,729972,adurnetsov,2023-04-19T04:37:01.000Z,1.7K,,1.7K,6,14,without_company
D:\untitled3\.\hubs\conversion,null,728418,aksiomaweb,2023-04-11T16:04:33.000Z,1.8K,,1.8K,9,9,without_company
D:\untitled3\.\hubs\conversion,null,725884,SergeyVyl,2023-03-30T11:33:25.000Z,3.1K,,3.1K,26,11,without_company
D:\untitled3\.\hubs\conversion,null,725636,sergeich_s,2023-03-30T07:20:01.000Z,775,,775,42,2,without_company
D:\untitled3\.\hubs\conversion,null,725560,tdsgn,2023-03-29T09:12:37.000Z,658,,658,3,4,without_company
D:\untitled3\.\hubs\conversion,null,725130,MuscleLend,2023-03-27T17:58:50.000Z,2.8K,,2.8K,15,9,without_company
D:\untitled3\.\hubs\conversion,null,725120,tdsgn,2023-03-27T16:56:42.000Z,2.5K,,2.5K,20,0,without_company
D:\untitled3\.\hubs\conversion,null,724910,MuscleLend,2023-03-27T05:42:56.000Z,4.8K,,4.8K,22,13,without_company
D:\untitled3\.\hubs\conversion,null,724514,ArturMkrtychan,2023-03-24T08:51:33.000Z,20K,,20K,68,33,without_company
D:\untitled3\.\hubs\conversion,null,723782,digitalnomad777,2023-03-21T10:03:37.000Z,5.1K,,5.1K,38,6,without_company
D:\untitled3\.\hubs\conversion,null,723670,vegner,2023-03-20T18:16:36.000Z,2.3K,,2.3K,15,7,without_company
D:\untitled3\.\hubs\conversion,null,718584,Clickru,2023-02-22T11:30:16.000Z,8.9K,,8.9K,31,1,without_company
D:\untitled3\.\hubs\conversion,null,714814,ay11z,2023-02-08T22:18:36.000Z,6.4K,,6.4K,17,10,without_company
D:\untitled3\.\hubs\conversion,null,712304,apsandakov,2023-01-31T07:01:03.000Z,2.2K,,2.2K,24,4,without_company
D:\untitled3\.\hubs\conversion,null,713666,franky_d_zoro,2023-01-30T11:17:10.000Z,100K,,100K,317,130,without_company
D:\untitled3\.\hubs\conversion,null,713514,franky_d_zoro,2023-01-29T14:25:48.000Z,1.6K,,1.6K,4,2,without_company
D:\untitled3\.\hubs\conversion,null,713450,digitalnomad777,2023-01-28T19:34:46.000Z,2.3K,,2.3K,7,7,without_company
D:\untitled3\.\hubs\conversion,null,711860,Clickru,2023-01-20T12:44:32.000Z,5.6K,,5.6K,16,5,without_company
D:\untitled3\.\hubs\conversion,null,711344,Teo3434,2023-01-18T09:02:49.000Z,2.4K,,2.4K,22,4,without_company
D:\untitled3\.\hubs\conversion,null,711148,Exosphere,2023-01-17T10:47:52.000Z,5.3K,,5.3K,33,43,without_company
D:\untitled3\.\hubs\conversion,null,709772,Raicon,2023-01-10T03:35:06.000Z,78K,,78K,98,7,without_company
D:\untitled3\.\hubs\conversion,null,708236,Clickru,2022-12-28T12:22:01.000Z,12K,,12K,6,0,without_company
D:\untitled3\.\hubs\conversion,null,708028,nmgtech,2022-12-27T14:05:37.000Z,785,,785,9,1,without_company
D:\untitled3\.\hubs\conversion,null,706050,AnnaAmbrozevich,2022-12-16T18:25:33.000Z,1.1K,,1.1K,6,9,without_company
D:\untitled3\.\hubs\conversion,null,704402,nikolay-shikunov,2022-12-09T06:14:15.000Z,3.6K,,3.6K,24,5,without_company
D:\untitled3\.\hubs\conversion,null,702534,Clickru,2022-11-30T10:32:22.000Z,3.6K,,3.6K,8,3,without_company
D:\untitled3\.\hubs\conversion,null,701330,Shevchenkobz,2022-11-24T11:33:28.000Z,601,,601,4,0,without_company
D:\untitled3\.\hubs\conversion,null,696780,Clickru,2022-11-01T11:19:10.000Z,1.8K,,1.8K,7,2,without_company
D:\untitled3\.\hubs\conversion,null,696188,Sabina_Shukyurova,2022-10-28T22:13:44.000Z,4K,,4K,35,12,without_company
D:\untitled3\.\hubs\conversion,null,696052,Clickru,2022-10-28T10:16:03.000Z,1.5K,,1.5K,9,1,without_company
D:\untitled3\.\hubs\conversion,null,691264,DmitryAstashov,2022-10-03T13:48:17.000Z,1.9K,,1.9K,8,0,without_company
D:\untitled3\.\hubs\conversion,null,689688,blognetology,2022-09-22T14:45:05.000Z,2.8K,,2.8K,15,2,without_company
D:\untitled3\.\hubs\conversion,null,688594,Clickru,2022-09-16T09:11:50.000Z,26K,,26K,89,1,without_company
D:\untitled3\.\hubs\conversion,null,688330,MansikM,2022-09-15T06:00:02.000Z,5.7K,,5.7K,59,6,without_company
D:\untitled3\.\hubs\conversion,null,687490,rsashka,2022-09-10T05:51:00.000Z,6.4K,,6.4K,10,25,without_company
D:\untitled3\.\hubs\conversion,null,685038,NataliaToganova,2022-09-01T13:15:05.000Z,2.7K,,2.7K,24,1,without_company
D:\untitled3\.\hubs\conversion,null,678872,rg_ceo,2022-07-25T13:38:45.000Z,3.3K,,3.3K,15,6,without_company
D:\untitled3\.\hubs\conversion,null,674604,mvideo,2022-07-01T13:22:17.000Z,3.3K,,3.3K,14,6,without_company
D:\untitled3\.\hubs\conversion,null,671470,Clickru,2022-06-15T09:08:32.000Z,12K,,12K,13,3,without_company
