hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\cpp,null,776190,DrArgentum,2023-11-24T12:16:09.000Z,4.8K,,4.8K,12,1,without_company
D:\untitled3\.\hubs\cpp,null,775388,BorisNovoselov,2023-11-21T11:46:57.000Z,3.7K,,3.7K,7,0,without_company
D:\untitled3\.\hubs\cpp,null,775228,xanderxanderfto,2023-11-20T20:55:03.000Z,2.8K,,2.8K,32,4,without_company
D:\untitled3\.\hubs\cpp,null,774972,dalerank,2023-11-19T20:49:11.000Z,55K,,55K,220,209,without_company
D:\untitled3\.\hubs\cpp,null,774506,dalerank,2023-11-17T00:45:35.000Z,5.7K,,5.7K,32,9,without_company
D:\untitled3\.\hubs\cpp,null,774130,discodum,2023-11-16T09:30:43.000Z,4.3K,,4.3K,27,18,without_company
D:\untitled3\.\hubs\cpp,null,773894,eoanermine,2023-11-14T15:30:02.000Z,3.8K,,3.8K,9,0,without_company
D:\untitled3\.\hubs\cpp,null,773608,eao197,2023-11-13T13:01:29.000Z,1.1K,,1.1K,8,2,without_company
D:\untitled3\.\hubs\cpp,null,773300,kkmspb,2023-11-11T14:26:30.000Z,2.7K,,2.7K,18,7,without_company
D:\untitled3\.\hubs\cpp,null,773292,dalerank,2023-11-11T12:47:24.000Z,10K,,10K,36,40,without_company
D:\untitled3\.\hubs\cpp,null,773028,mrDevGo,2023-11-10T08:18:09.000Z,1.6K,,1.6K,17,2,without_company
D:\untitled3\.\hubs\cpp,null,772620,yadro_team,2023-11-09T09:05:12.000Z,11K,,11K,31,28,without_company
D:\untitled3\.\hubs\cpp,null,771952,osieman,2023-11-04T21:34:05.000Z,8.5K,,8.5K,40,17,without_company
D:\untitled3\.\hubs\cpp,null,771924,conelov,2023-11-04T15:43:37.000Z,2.4K,,2.4K,17,7,without_company
D:\untitled3\.\hubs\cpp,null,770244,dalerank,2023-11-04T00:12:23.000Z,30K,,30K,242,89,without_company
D:\untitled3\.\hubs\cpp,null,771692,yadro_team,2023-11-03T09:54:09.000Z,2.7K,,2.7K,11,0,without_company
D:\untitled3\.\hubs\cpp,null,771454,rip_m,2023-11-02T08:31:50.000Z,8.3K,,8.3K,31,14,without_company
D:\untitled3\.\hubs\cpp,null,770788,dluciv,2023-11-01T09:48:13.000Z,15K,,15K,102,14,without_company
D:\untitled3\.\hubs\cpp,null,770958,eoanermine,2023-10-31T15:00:02.000Z,3.2K,,3.2K,18,1,without_company
D:\untitled3\.\hubs\cpp,null,771034,Nanamuru,2023-10-31T12:07:32.000Z,2.1K,,2.1K,11,0,without_company
D:\untitled3\.\hubs\cpp,null,768282,Mektus,2023-10-31T07:01:06.000Z,4.3K,,4.3K,24,1,without_company
D:\untitled3\.\hubs\cpp,null,770116,rukhi7,2023-10-29T22:08:01.000Z,6.3K,,6.3K,32,29,without_company
D:\untitled3\.\hubs\cpp,null,770404,MaxRokatansky,2023-10-27T14:44:46.000Z,12K,,12K,55,11,without_company
D:\untitled3\.\hubs\cpp,null,770302,Phoenix133,2023-10-27T12:33:32.000Z,3K,,3K,39,2,without_company
D:\untitled3\.\hubs\cpp,null,769722,LightKitten,2023-10-26T10:34:42.000Z,4.6K,,4.6K,38,13,without_company
D:\untitled3\.\hubs\cpp,null,770050,Andrey2008,2023-10-26T07:52:57.000Z,4.2K,,4.2K,13,6,without_company
D:\untitled3\.\hubs\cpp,null,761530,kkmspb,2023-10-25T19:32:47.000Z,9.3K,,9.3K,45,55,without_company
D:\untitled3\.\hubs\cpp,null,769812,UmarNur,2023-10-25T09:31:44.000Z,10K,,10K,98,7,without_company
D:\untitled3\.\hubs\cpp,null,768658,iliazeus,2023-10-24T09:00:02.000Z,11K,,11K,86,8,without_company
D:\untitled3\.\hubs\cpp,null,769050,Offensive,2023-10-21T20:01:43.000Z,12K,,12K,69,48,without_company
D:\untitled3\.\hubs\cpp,null,768992,lartyom,2023-10-21T11:47:23.000Z,1.9K,,1.9K,8,2,without_company
D:\untitled3\.\hubs\cpp,null,768618,BekhanCode,2023-10-19T13:36:19.000Z,1.6K,,1.6K,20,1,without_company
D:\untitled3\.\hubs\cpp,null,768438,eao197,2023-10-19T09:06:48.000Z,743,,743,7,0,without_company
