hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\crazydev,null,775388,BorisNovoselov,2023-11-21T11:46:57.000Z,3.7K,,3.7K,7,0,without_company
D:\untitled3\.\hubs\crazydev,null,773942,vaniacer,2023-11-16T17:34:12.000Z,19K,,19K,100,43,without_company
D:\untitled3\.\hubs\crazydev,null,774172,KirillBelovTest,2023-11-16T08:18:49.000Z,2.3K,,2.3K,20,12,without_company
D:\untitled3\.\hubs\crazydev,null,773780,mark_ablov,2023-11-14T08:28:42.000Z,41K,,41K,136,41,without_company
D:\untitled3\.\hubs\crazydev,null,772984,KirillBelovTest,2023-11-13T19:25:56.000Z,15K,,15K,58,94,without_company
D:\untitled3\.\hubs\crazydev,null,771946,primetalk,2023-11-04T20:09:43.000Z,1.8K,,1.8K,8,12,without_company
D:\untitled3\.\hubs\crazydev,null,771010,AndreyDmitriev,2023-10-31T15:39:09.000Z,4.9K,,4.9K,43,18,without_company
D:\untitled3\.\hubs\crazydev,null,767900,includedlibrary,2023-10-17T06:06:56.000Z,2.6K,,2.6K,40,0,without_company
D:\untitled3\.\hubs\crazydev,null,767734,lapkin25,2023-10-16T10:56:58.000Z,6.2K,,6.2K,9,27,without_company
D:\untitled3\.\hubs\crazydev,null,760672,includedlibrary,2023-10-14T13:56:25.000Z,2.4K,,2.4K,31,0,without_company
D:\untitled3\.\hubs\crazydev,null,767144,Swamp_Dok,2023-10-13T17:34:50.000Z,9.9K,,9.9K,53,22,without_company
D:\untitled3\.\hubs\crazydev,null,767114,RigelGL,2023-10-12T17:28:44.000Z,7.4K,,7.4K,42,9,without_company
D:\untitled3\.\hubs\crazydev,null,766850,kesn,2023-10-12T06:15:01.000Z,49K,,49K,74,93,without_company
D:\untitled3\.\hubs\crazydev,null,764526,bodyawm,2023-10-06T08:01:04.000Z,32K,,32K,151,55,without_company
D:\untitled3\.\hubs\crazydev,null,765596,boris-the-blade,2023-10-05T12:51:56.000Z,4.6K,,4.6K,47,4,without_company
D:\untitled3\.\hubs\crazydev,null,765174,dalerank,2023-10-04T00:09:59.000Z,33K,,33K,92,82,without_company
D:\untitled3\.\hubs\crazydev,null,764514,dalerank,2023-09-30T00:23:49.000Z,30K,,30K,61,88,without_company
D:\untitled3\.\hubs\crazydev,null,764446,PatientZero,2023-09-29T13:39:05.000Z,4.3K,,4.3K,23,8,without_company
D:\untitled3\.\hubs\crazydev,null,762390,lucius,2023-09-26T09:41:54.000Z,2.9K,,2.9K,18,10,without_company
D:\untitled3\.\hubs\crazydev,null,763408,Souce_Calve,2023-09-25T21:09:52.000Z,8.8K,,8.8K,28,8,without_company
D:\untitled3\.\hubs\crazydev,null,763142,Manwe_SandS,2023-09-25T03:54:12.000Z,22K,,22K,82,23,without_company
D:\untitled3\.\hubs\crazydev,null,762250,dalerank,2023-09-21T22:29:55.000Z,19K,,19K,59,39,without_company
D:\untitled3\.\hubs\crazydev,null,760954,mlstart,2023-09-14T06:47:36.000Z,8.6K,,8.6K,41,21,without_company
D:\untitled3\.\hubs\crazydev,null,759112,bodyawm,2023-09-13T14:08:52.000Z,13K,,13K,40,34,without_company
D:\untitled3\.\hubs\crazydev,null,760200,jin_x,2023-09-12T08:22:45.000Z,2.7K,,2.7K,32,13,without_company
D:\untitled3\.\hubs\crazydev,null,759914,jin_x,2023-09-09T18:24:27.000Z,10K,,10K,64,35,without_company
D:\untitled3\.\hubs\crazydev,null,759826,novusnota,2023-09-08T14:59:34.000Z,7.8K,,7.8K,19,108,without_company
D:\untitled3\.\hubs\crazydev,null,757726,MaFrance351,2023-09-05T08:01:01.000Z,4.3K,,4.3K,23,7,without_company
