hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\crm,null,775412,Alliesverse,2023-11-21T15:30:02.000Z,2.5K,,2.5K,10,3,/ru/companies/av/articles/
D:\untitled3\.\hubs\crm,null,774280,jeltiyy,2023-11-16T09:06:50.000Z,726,,726,5,7,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\crm,null,773730,jeltiyy,2023-11-13T21:37:32.000Z,3K,,3K,12,13,/ru/hubs/saas/
D:\untitled3\.\hubs\crm,null,772784,Sergey2677,2023-11-09T08:11:30.000Z,2K,,2K,20,0,/ru/hubs/python/
D:\untitled3\.\hubs\crm,null,772616,Ch_Kvanet,2023-11-08T12:15:01.000Z,1.6K,,1.6K,15,2,/ru/companies/chatapp/articles/
D:\untitled3\.\hubs\crm,null,772352,Axelus,2023-11-07T12:37:15.000Z,2.1K,,2.1K,11,0,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\crm,null,766618,Axelus,2023-10-11T11:17:33.000Z,1.2K,,1.2K,9,0,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\crm,null,762534,artwistru,2023-10-05T07:00:01.000Z,1.5K,,1.5K,14,2,/ru/companies/yandex_cloud_and_infra/articles/
D:\untitled3\.\hubs\crm,null,764556,jeltiyy,2023-09-30T11:00:04.000Z,2.5K,,2.5K,13,5,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\crm,null,763280,Free_Mic_RS,2023-09-25T11:10:28.000Z,4.3K,,4.3K,18,11,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\crm,null,757426,Kotelnikovekb,2023-08-28T14:11:14.000Z,1.1K,,1.1K,7,0,/ru/hubs/api/
D:\untitled3\.\hubs\crm,null,757380,Axelus,2023-08-28T12:10:50.000Z,2.6K,,2.6K,18,0,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\crm,null,756996,hudikov,2023-08-25T15:56:28.000Z,1.7K,,1.7K,14,0,/ru/hubs/crm/
D:\untitled3\.\hubs\crm,null,756146,selenzorn,2023-08-22T10:47:25.000Z,3.9K,,3.9K,32,4,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\crm,null,754850,TAU15,2023-08-15T19:50:02.000Z,7.9K,,7.9K,17,8,/ru/hubs/crm/
D:\untitled3\.\hubs\crm,null,754076,sergkrovel,2023-08-11T13:26:58.000Z,1.1K,,1.1K,4,1,/ru/hubs/crm/
D:\untitled3\.\hubs\crm,null,753278,Axelus,2023-08-08T12:05:25.000Z,5.1K,,5.1K,26,11,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\crm,null,751782,berchikk,2023-08-03T08:33:11.000Z,5.4K,,5.4K,27,2,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\crm,null,748916,Axelus,2023-07-19T11:39:16.000Z,3.6K,,3.6K,22,11,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\crm,null,748602,Geraclz,2023-07-17T17:57:41.000Z,1.9K,,1.9K,20,21,/ru/hubs/crm/
