hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\crowdsourcing,popsci,761594,GlobalSign_admin,2023-09-17T18:17:57.000Z,15K,,15K,50,59,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,759572,Abejorro,2023-09-07T14:05:52.000Z,9.6K,,9.6K,13,51,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,747464,karinakvanchiani,2023-07-13T07:56:26.000Z,2.3K,,2.3K,21,4,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,742712,Bluewolf,2023-06-19T18:44:13.000Z,26K,,26K,67,99,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,741218,deethereal,2023-06-12T09:24:50.000Z,1.7K,,1.7K,14,4,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,733192,SLY_G,2023-05-04T08:14:01.000Z,29K,,29K,21,28,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,718792,semenyakinVS,2023-02-24T04:00:02.000Z,4.5K,,4.5K,24,17,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,706738,PereslavlFoto,2022-12-20T23:09:08.000Z,16K,,16K,9,128,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,701764,Nester,2022-11-26T09:11:06.000Z,13K,,13K,11,53,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,688338,PereslavlFoto,2022-09-14T21:55:42.000Z,7.5K,,7.5K,34,8,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,688138,Aknodx,2022-09-14T07:34:47.000Z,661,,661,8,4,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,683000,PereslavlFoto,2022-08-19T12:58:29.000Z,28K,,28K,37,208,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,683272,Aknodx,2022-08-18T10:14:34.000Z,1.3K,,1.3K,10,0,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,681462,Nester,2022-08-08T15:29:28.000Z,11K,,11K,19,139,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,680250,PereslavlFoto,2022-08-01T23:10:45.000Z,5.5K,,5.5K,13,33,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,678524,kucev,2022-07-25T08:04:10.000Z,30K,,30K,58,0,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,669658,Medeyko,2022-06-08T22:12:06.000Z,31K,,31K,49,365,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,665980,kucev,2022-05-19T20:53:51.000Z,6.4K,,6.4K,7,1,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,666204,PereslavlFoto,2022-05-17T13:27:37.000Z,10K,,10K,8,52,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,661955,PereslavlFoto,2022-04-19T22:54:19.000Z,3.2K,,3.2K,8,22,without_company
D:\untitled3\.\hubs\crowdsourcing,popsci,661073,PereslavlFoto,2022-04-14T20:10:17.000Z,13K,,13K,18,117,without_company
