hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\crypto,null,775014,jasiejames,2023-11-20T08:23:02.000Z,1.3K,,1.3K,12,0,without_company
D:\untitled3\.\hubs\crypto,null,774962,GlobalSign_admin,2023-11-19T19:10:29.000Z,2.6K,,2.6K,11,2,without_company
D:\untitled3\.\hubs\crypto,null,774536,Ilya_Novarchuk,2023-11-17T07:31:10.000Z,1.9K,,1.9K,18,10,without_company
D:\untitled3\.\hubs\crypto,null,770556,alizar,2023-11-13T09:00:01.000Z,4.4K,,4.4K,36,1,without_company
D:\untitled3\.\hubs\crypto,null,773412,WeiDai,2023-11-12T16:34:16.000Z,2.1K,,2.1K,10,2,without_company
D:\untitled3\.\hubs\crypto,null,773074,dprotopopov,2023-11-10T08:16:53.000Z,1K,,1K,12,24,without_company
D:\untitled3\.\hubs\crypto,null,772426,Solar_MSS,2023-11-08T10:14:01.000Z,1.8K,,1.8K,2,10,without_company
D:\untitled3\.\hubs\crypto,null,772172,dprotopopov,2023-11-07T03:11:15.000Z,3.1K,,3.1K,27,23,without_company
D:\untitled3\.\hubs\crypto,null,771980,WeiDai,2023-11-05T07:17:36.000Z,4.1K,,4.1K,16,14,without_company
D:\untitled3\.\hubs\crypto,null,771922,guhbap,2023-11-04T14:42:32.000Z,1.9K,,1.9K,34,3,without_company
D:\untitled3\.\hubs\crypto,null,771162,AntoineLarine,2023-11-02T16:09:37.000Z,7.5K,,7.5K,41,8,without_company
D:\untitled3\.\hubs\crypto,null,771310,valli0x,2023-11-01T12:18:23.000Z,897,,897,3,2,without_company
D:\untitled3\.\hubs\crypto,null,771232,SSul,2023-11-01T10:28:44.000Z,3.3K,,3.3K,20,5,without_company
D:\untitled3\.\hubs\crypto,null,769884,BaJlepa,2023-10-26T09:02:27.000Z,2.7K,,2.7K,22,61,without_company
D:\untitled3\.\hubs\crypto,null,767750,alexisayenko,2023-10-24T08:11:18.000Z,5.8K,,5.8K,81,1,without_company
D:\untitled3\.\hubs\crypto,null,769148,dprotopopov,2023-10-22T18:15:24.000Z,2K,,2K,14,3,without_company
D:\untitled3\.\hubs\crypto,null,768074,CyberPaul,2023-10-20T10:20:59.000Z,6.9K,,6.9K,41,8,without_company
D:\untitled3\.\hubs\crypto,null,768666,dprotopopov,2023-10-19T16:59:19.000Z,4.3K,,4.3K,28,4,without_company
D:\untitled3\.\hubs\crypto,null,768650,KirillOsin,2023-10-19T15:38:46.000Z,2.5K,,2.5K,35,17,without_company
D:\untitled3\.\hubs\crypto,null,767764,ru_vds,2023-10-16T13:00:02.000Z,9.3K,,9.3K,44,4,without_company
D:\untitled3\.\hubs\crypto,null,766862,ABerSmoke,2023-10-11T19:04:45.000Z,6K,,6K,16,7,without_company
D:\untitled3\.\hubs\crypto,null,764260,jabuj,2023-10-09T08:01:07.000Z,7.8K,,7.8K,132,1,without_company
D:\untitled3\.\hubs\crypto,null,765016,saipr,2023-10-03T16:32:08.000Z,3.3K,,3.3K,13,12,without_company
D:\untitled3\.\hubs\crypto,null,764492,GlobalSign_admin,2023-09-29T17:41:49.000Z,5K,,5K,38,6,without_company
D:\untitled3\.\hubs\crypto,null,762122,DrMefistO,2023-09-27T14:14:41.000Z,27K,,27K,123,50,without_company
D:\untitled3\.\hubs\crypto,null,762852,SeniorJoinu,2023-09-22T12:57:00.000Z,540,,540,6,0,without_company
D:\untitled3\.\hubs\crypto,null,762628,petropavel,2023-09-21T14:50:35.000Z,2K,,2K,25,7,without_company
D:\untitled3\.\hubs\crypto,null,762380,ENCRY,2023-09-20T15:53:01.000Z,1.1K,,1.1K,13,8,without_company
D:\untitled3\.\hubs\crypto,null,762320,ru_vds,2023-09-20T13:00:01.000Z,6.1K,,6.1K,62,14,without_company
D:\untitled3\.\hubs\crypto,null,761112,execc_13,2023-09-14T14:09:10.000Z,2.4K,,2.4K,33,0,without_company
D:\untitled3\.\hubs\crypto,null,761008,Infotecs_official,2023-09-14T08:40:58.000Z,14K,,14K,102,2,without_company
D:\untitled3\.\hubs\crypto,null,760464,ru_vds,2023-09-13T13:00:01.000Z,22K,,22K,111,93,without_company
D:\untitled3\.\hubs\crypto,null,759512,Number571,2023-09-07T10:39:30.000Z,3.1K,,3.1K,25,8,without_company
D:\untitled3\.\hubs\crypto,null,759232,ksushkiss,2023-09-06T10:14:19.000Z,3.6K,,3.6K,19,13,without_company
D:\untitled3\.\hubs\crypto,null,757690,amorev,2023-09-04T15:02:28.000Z,4.7K,,4.7K,66,20,without_company
D:\untitled3\.\hubs\crypto,null,758608,sci_nov,2023-09-03T09:18:39.000Z,1.7K,,1.7K,15,0,without_company
D:\untitled3\.\hubs\crypto,null,757558,derlugov,2023-08-29T07:30:39.000Z,3.9K,,3.9K,52,12,without_company
D:\untitled3\.\hubs\crypto,null,756240,ap_security,2023-08-22T14:51:23.000Z,1.4K,,1.4K,13,0,without_company
