hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\cryptocurrency,null,776288,xeovo,2023-11-25T13:23:53.000Z,12K,,12K,49,11,without_company
D:\untitled3\.\hubs\cryptocurrency,null,776216,YBCase,2023-11-24T13:27:33.000Z,374,,374,1,4,without_company
D:\untitled3\.\hubs\cryptocurrency,null,776152,zarubin_v,2023-11-24T10:03:26.000Z,464,,464,7,5,without_company
D:\untitled3\.\hubs\cryptocurrency,null,775286,vasilisa_b,2023-11-22T08:34:55.000Z,2.1K,,2.1K,11,8,without_company
D:\untitled3\.\hubs\cryptocurrency,null,775074,0x_e,2023-11-22T08:25:49.000Z,1.2K,,1.2K,12,1,without_company
D:\untitled3\.\hubs\cryptocurrency,null,775512,Agw29,2023-11-21T18:22:26.000Z,3.3K,,3.3K,3,5,without_company
D:\untitled3\.\hubs\cryptocurrency,null,774988,RationalAnswer,2023-11-20T05:02:40.000Z,11K,,11K,11,4,without_company
D:\untitled3\.\hubs\cryptocurrency,null,773456,RationalAnswer,2023-11-13T04:59:28.000Z,21K,,21K,17,19,without_company
D:\untitled3\.\hubs\cryptocurrency,null,773412,WeiDai,2023-11-12T16:34:16.000Z,2.1K,,2.1K,10,2,without_company
D:\untitled3\.\hubs\cryptocurrency,null,772746,IvanRomanovich,2023-11-09T06:14:49.000Z,2.9K,,2.9K,20,1,without_company
D:\untitled3\.\hubs\cryptocurrency,null,772064,RationalAnswer,2023-11-06T05:08:26.000Z,68K,,68K,11,316,without_company
D:\untitled3\.\hubs\cryptocurrency,null,771980,WeiDai,2023-11-05T07:17:36.000Z,4.1K,,4.1K,16,14,without_company
D:\untitled3\.\hubs\cryptocurrency,null,771310,valli0x,2023-11-01T12:18:23.000Z,897,,897,3,2,without_company
D:\untitled3\.\hubs\cryptocurrency,null,771074,YBCase,2023-10-31T14:29:41.000Z,948,,948,5,3,without_company
D:\untitled3\.\hubs\cryptocurrency,null,771030,MediaMetriqa,2023-10-31T12:00:10.000Z,2.7K,,2.7K,1,3,without_company
D:\untitled3\.\hubs\cryptocurrency,null,770652,RationalAnswer,2023-10-30T04:50:57.000Z,36K,,36K,10,15,without_company
D:\untitled3\.\hubs\cryptocurrency,null,770412,xeovo,2023-10-29T16:06:31.000Z,7.6K,,7.6K,50,12,without_company
D:\untitled3\.\hubs\cryptocurrency,null,769940,NeGoy,2023-10-25T16:50:11.000Z,4.8K,,4.8K,10,13,without_company
D:\untitled3\.\hubs\cryptocurrency,null,769736,jasiejames,2023-10-25T08:03:01.000Z,856,,856,5,0,without_company
D:\untitled3\.\hubs\cryptocurrency,null,768410,Advertone,2023-10-18T20:06:26.000Z,4.7K,,4.7K,14,54,without_company
D:\untitled3\.\hubs\cryptocurrency,null,768354,ko_ya,2023-10-18T16:00:01.000Z,904,,904,9,3,without_company
D:\untitled3\.\hubs\cryptocurrency,null,767626,RationalAnswer,2023-10-16T05:29:43.000Z,7.4K,,7.4K,4,23,without_company
D:\untitled3\.\hubs\cryptocurrency,null,767214,SDancer,2023-10-13T09:17:42.000Z,3.8K,,3.8K,23,5,without_company
D:\untitled3\.\hubs\cryptocurrency,null,766960,PatientZero,2023-10-12T09:02:28.000Z,27K,,27K,33,63,without_company
D:\untitled3\.\hubs\cryptocurrency,null,766078,andreysWeb,2023-10-09T14:00:02.000Z,462,,462,10,0,without_company
D:\untitled3\.\hubs\cryptocurrency,null,765266,andreysWeb,2023-10-07T14:20:01.000Z,602,,602,8,2,without_company
D:\untitled3\.\hubs\cryptocurrency,null,764668,andreysWeb,2023-10-03T14:20:01.000Z,670,,670,13,3,without_company
D:\untitled3\.\hubs\cryptocurrency,null,764716,RationalAnswer,2023-10-02T04:59:05.000Z,7.6K,,7.6K,5,7,without_company
D:\untitled3\.\hubs\cryptocurrency,null,764576,andreysWeb,2023-09-30T14:00:19.000Z,2K,,2K,24,1,without_company
D:\untitled3\.\hubs\cryptocurrency,null,764452,YBCase,2023-09-29T13:54:40.000Z,690,,690,5,3,without_company
D:\untitled3\.\hubs\cryptocurrency,null,764112,IvanRomanovich,2023-09-28T10:22:40.000Z,2.3K,,2.3K,25,4,without_company
D:\untitled3\.\hubs\cryptocurrency,null,763538,pnaydanovgoo,2023-09-27T04:41:39.000Z,2.5K,,2.5K,15,12,without_company
D:\untitled3\.\hubs\cryptocurrency,null,763154,RationalAnswer,2023-09-25T04:59:35.000Z,5.2K,,5.2K,3,7,without_company
D:\untitled3\.\hubs\cryptocurrency,null,763030,VladGoryachev,2023-09-23T20:59:48.000Z,71K,,71K,63,143,without_company
D:\untitled3\.\hubs\cryptocurrency,null,762880,broxus,2023-09-22T15:05:42.000Z,1.9K,,1.9K,18,2,without_company
D:\untitled3\.\hubs\cryptocurrency,null,762528,IvanRomanovich,2023-09-21T09:59:14.000Z,827,,827,10,3,without_company
D:\untitled3\.\hubs\cryptocurrency,null,762258,densmirnov,2023-09-20T09:50:41.000Z,842,,842,8,1,without_company
D:\untitled3\.\hubs\cryptocurrency,null,762230,Steklolam,2023-09-20T08:21:01.000Z,6.7K,,6.7K,14,47,without_company
D:\untitled3\.\hubs\cryptocurrency,null,761728,FutureMarkt,2023-09-18T11:21:02.000Z,772,,772,4,1,without_company
D:\untitled3\.\hubs\cryptocurrency,null,761640,RationalAnswer,2023-09-18T04:56:13.000Z,12K,,12K,7,42,without_company
D:\untitled3\.\hubs\cryptocurrency,null,760494,MediaMetriqa,2023-09-12T11:41:29.000Z,2.8K,,2.8K,2,0,without_company
D:\untitled3\.\hubs\cryptocurrency,null,760368,Selected_lab,2023-09-11T20:03:04.000Z,1.2K,,1.2K,2,0,without_company
D:\untitled3\.\hubs\cryptocurrency,null,760112,RationalAnswer,2023-09-11T05:00:42.000Z,5.9K,,5.9K,5,8,without_company
D:\untitled3\.\hubs\cryptocurrency,null,759838,phillennium,2023-09-08T16:22:47.000Z,6K,,6K,30,71,without_company
D:\untitled3\.\hubs\cryptocurrency,null,759778,IvanRomanovich,2023-09-08T11:59:51.000Z,1.7K,,1.7K,22,0,without_company
D:\untitled3\.\hubs\cryptocurrency,null,759592,IvanRomanovich,2023-09-07T14:55:07.000Z,1.1K,,1.1K,20,3,without_company
D:\untitled3\.\hubs\cryptocurrency,null,759128,AndreyKotlov,2023-09-05T23:41:13.000Z,2.5K,,2.5K,49,7,without_company
D:\untitled3\.\hubs\cryptocurrency,null,758982,FutureMarkt,2023-09-05T09:20:41.000Z,2.5K,,2.5K,26,3,without_company
D:\untitled3\.\hubs\cryptocurrency,null,757690,amorev,2023-09-04T15:02:28.000Z,4.7K,,4.7K,66,20,without_company
D:\untitled3\.\hubs\cryptocurrency,null,758832,IvanRomanovich,2023-09-04T14:02:13.000Z,1.7K,,1.7K,10,0,without_company
D:\untitled3\.\hubs\cryptocurrency,null,758690,RationalAnswer,2023-09-04T05:11:39.000Z,5.1K,,5.1K,1,12,without_company
