hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\csharp,null,775872,A-G-B,2023-11-23T09:47:53.000Z,6.8K,,6.8K,10,2,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\csharp,null,774818,willdiealone,2023-11-18T11:48:54.000Z,11K,,11K,72,25,/ru/hubs/instant_messaging/
D:\untitled3\.\hubs\csharp,null,774088,Sug4chy,2023-11-15T11:40:09.000Z,3.7K,,3.7K,20,9,/ru/hubs/csharp/
D:\untitled3\.\hubs\csharp,null,774054,Kiel,2023-11-15T09:22:49.000Z,7K,,7K,20,44,/ru/hubs/net/
D:\untitled3\.\hubs\csharp,null,773896,rip_m,2023-11-14T14:15:34.000Z,21K,,21K,48,32,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\csharp,null,773444,Sivchenko_translate,2023-11-12T22:30:46.000Z,8.5K,,8.5K,40,5,/ru/hubs/programming/
D:\untitled3\.\hubs\csharp,null,772646,m_a_d,2023-11-10T07:02:01.000Z,5.1K,,5.1K,16,4,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\csharp,null,749228,Paradox179,2023-11-09T16:26:42.000Z,6.1K,,6.1K,35,21,/ru/hubs/gamedev/
D:\untitled3\.\hubs\csharp,null,772870,AndreyMoskalew,2023-11-09T10:58:26.000Z,2.1K,,2.1K,18,0,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\csharp,null,772628,willdiealone,2023-11-08T12:46:20.000Z,2.9K,,2.9K,45,27,/ru/hubs/instant_messaging/
D:\untitled3\.\hubs\csharp,null,772604,mushegovdima,2023-11-08T11:45:15.000Z,17K,,17K,35,33,/ru/hubs/net/
D:\untitled3\.\hubs\csharp,null,771342,shai_hulud,2023-11-03T07:27:00.000Z,3.9K,,3.9K,24,5,/ru/hubs/gamedev/
D:\untitled3\.\hubs\csharp,null,771162,AntoineLarine,2023-11-02T16:09:37.000Z,7.5K,,7.5K,41,8,/ru/hubs/crypto/
D:\untitled3\.\hubs\csharp,null,771530,HotMilkTicTac,2023-11-02T12:54:41.000Z,6.5K,,6.5K,21,41,/ru/hubs/net/
