hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\cvs,null,776144,PatientZero,2023-11-24T09:37:38.000Z,3.7K,,3.7K,15,9,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,772090,aionin,2023-11-06T10:44:29.000Z,3.5K,,3.5K,6,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,768150,aionin,2023-10-17T19:30:44.000Z,4.7K,,4.7K,19,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,765264,webnetkz,2023-10-04T10:51:19.000Z,18K,,18K,171,24,/ru/hubs/programming/
D:\untitled3\.\hubs\cvs,null,761072,smeyanoff,2023-09-14T14:52:02.000Z,6.8K,,6.8K,67,4,/ru/hubs/python/
D:\untitled3\.\hubs\cvs,null,760966,PackRuble,2023-09-14T07:40:36.000Z,662,,662,11,0,/ru/hubs/programming/
D:\untitled3\.\hubs\cvs,null,758212,PackRuble,2023-08-31T14:29:55.000Z,1.6K,,1.6K,18,0,/ru/hubs/programming/
D:\untitled3\.\hubs\cvs,null,756282,artcore,2023-08-22T17:57:45.000Z,2K,,2K,14,2,/ru/hubs/git/
D:\untitled3\.\hubs\cvs,null,756054,aionin,2023-08-22T06:53:13.000Z,1.9K,,1.9K,14,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,755908,DigitalTatarstan,2023-08-21T12:20:29.000Z,1.8K,,1.8K,4,5,/ru/companies/digital_tatarstan/articles/
D:\untitled3\.\hubs\cvs,null,754526,LittleRunaway,2023-08-15T12:43:14.000Z,11K,,11K,108,62,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\cvs,null,751500,aionin,2023-07-31T11:58:44.000Z,4.5K,,4.5K,9,4,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,745312,ilyachalov,2023-07-01T21:15:22.000Z,5.8K,,5.8K,14,55,/ru/hubs/powershell/
D:\untitled3\.\hubs\cvs,null,744116,DigitalTatarstan,2023-06-27T07:35:00.000Z,2.3K,,2.3K,7,7,/ru/companies/digital_tatarstan/articles/
D:\untitled3\.\hubs\cvs,null,744094,Valentin01,2023-06-27T06:31:36.000Z,2.2K,,2.2K,13,0,/ru/hubs/it_testing/
D:\untitled3\.\hubs\cvs,null,741016,daniilshat,2023-06-09T15:04:53.000Z,23K,,23K,120,137,/ru/hubs/programming/
D:\untitled3\.\hubs\cvs,null,736900,PatientZero,2023-06-09T06:00:56.000Z,13K,,13K,51,20,/ru/hubs/programming/
D:\untitled3\.\hubs\cvs,null,705032,xpendence,2023-04-04T06:11:19.000Z,14K,,14K,119,8,/ru/hubs/programming/
D:\untitled3\.\hubs\cvs,null,720478,MayCode,2023-03-04T20:07:40.000Z,4.9K,,4.9K,31,11,/ru/hubs/programming/
D:\untitled3\.\hubs\cvs,null,713686,Sber,2023-01-30T12:34:01.000Z,5K,,5K,33,7,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\cvs,null,709600,ru_vds,2023-01-11T13:00:02.000Z,5.5K,,5.5K,22,13,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\cvs,null,706772,mepihin,2022-12-21T07:59:06.000Z,2.4K,,2.4K,21,9,/ru/hubs/php/
D:\untitled3\.\hubs\cvs,null,706482,ilyachalov,2022-12-20T01:54:39.000Z,4.6K,,4.6K,16,5,/ru/hubs/wordpress/
D:\untitled3\.\hubs\cvs,null,703712,shasoftX,2022-12-09T03:08:52.000Z,3.1K,,3.1K,12,14,/ru/hubs/cvs/
D:\untitled3\.\hubs\cvs,null,703072,ilyachalov,2022-12-02T08:34:23.000Z,12K,,12K,36,10,/ru/hubs/powershell/
D:\untitled3\.\hubs\cvs,null,689056,CptMarshmallow,2022-09-19T14:19:44.000Z,4.3K,,4.3K,8,9,/ru/hubs/cvs/
D:\untitled3\.\hubs\cvs,null,683576,ru_vds,2022-08-24T13:00:01.000Z,11K,,11K,55,28,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\cvs,null,676938,MAX1993M,2022-07-14T14:23:14.000Z,6.1K,,6.1K,24,17,/ru/companies/kts/articles/
D:\untitled3\.\hubs\cvs,null,674478,Picard,2022-06-30T20:41:41.000Z,7.7K,,7.7K,30,5,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\cvs,null,674370,znbiz,2022-06-30T13:05:42.000Z,9.5K,,9.5K,43,32,/ru/companies/mts_ai/articles/
D:\untitled3\.\hubs\cvs,null,669274,imaximova,2022-06-02T10:59:05.000Z,1.8K,,1.8K,21,4,/ru/companies/Voximplant/articles/
D:\untitled3\.\hubs\cvs,null,664542,VASExperts,2022-05-05T19:01:41.000Z,1K,,1K,5,0,/ru/companies/vasexperts/articles/
D:\untitled3\.\hubs\cvs,null,662744,Hanamime,2022-04-25T08:39:24.000Z,17K,,17K,87,42,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\cvs,null,658157,Kecven,2022-04-19T11:29:39.000Z,13K,,13K,79,10,/ru/hubs/cvs/
D:\untitled3\.\hubs\cvs,null,655213,aionin,2022-03-11T13:52:01.000Z,4.5K,,4.5K,16,6,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,651455,aionin,2022-02-14T13:10:02.000Z,2.1K,,2.1K,10,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,651451,artemiyokulov,2022-02-14T13:08:37.000Z,13K,,13K,72,27,/ru/companies/X5Tech/articles/
D:\untitled3\.\hubs\cvs,null,647995,honyaki,2022-01-26T19:01:27.000Z,20K,,20K,59,18,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\cvs,null,646065,aionin,2022-01-17T15:04:05.000Z,2.6K,,2.6K,5,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,595205,PatientZero,2021-12-20T07:25:39.000Z,17K,,17K,68,5,/ru/hubs/python/
D:\untitled3\.\hubs\cvs,null,594673,aionin,2021-12-10T09:01:57.000Z,3.5K,,3.5K,9,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,591277,honyaki,2021-11-24T19:33:07.000Z,3.2K,,3.2K,13,3,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\cvs,null,589341,aigen31,2021-11-15T16:30:57.000Z,6.9K,,6.9K,28,20,/ru/hubs/javascript/
D:\untitled3\.\hubs\cvs,null,587870,aionin,2021-11-08T13:34:47.000Z,2.2K,,2.2K,6,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,586100,MikUrrey,2021-10-28T13:42:05.000Z,15K,,15K,16,117,/ru/hubs/git/
D:\untitled3\.\hubs\cvs,null,585422,alexandrtumaykin,2021-10-27T16:22:48.000Z,5.4K,,5.4K,33,18,/ru/hubs/cvs/
D:\untitled3\.\hubs\cvs,null,584562,Elanlum,2021-10-21T12:05:04.000Z,27K,,27K,94,23,/ru/companies/dins/articles/
D:\untitled3\.\hubs\cvs,null,584112,aionin,2021-10-18T12:43:16.000Z,2.3K,,2.3K,6,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,577808,n_bogdanov,2021-09-24T08:50:44.000Z,17K,,17K,29,31,/ru/companies/flant/articles/
D:\untitled3\.\hubs\cvs,null,579486,drno-reg,2021-09-23T04:54:47.000Z,11K,,11K,19,6,/ru/hubs/git/
D:\untitled3\.\hubs\cvs,null,577650,SamDark,2021-09-14T13:11:11.000Z,29K,,29K,104,13,/ru/companies/superjob/articles/
D:\untitled3\.\hubs\cvs,null,576976,aionin,2021-09-08T18:19:42.000Z,2.7K,,2.7K,6,4,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,574906,JamesJGoodwin,2021-08-27T00:06:05.000Z,4.5K,,4.5K,16,7,/ru/hubs/mysql/
D:\untitled3\.\hubs\cvs,null,573686,PetrRnd,2021-08-19T15:45:01.000Z,8K,,8K,44,11,/ru/companies/lightmap/articles/
D:\untitled3\.\hubs\cvs,null,572220,aionin,2021-08-10T15:32:48.000Z,4K,,4K,18,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,570156,GuardCat,2021-07-28T15:50:18.000Z,8.1K,,8.1K,55,11,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,568846,aionin,2021-07-21T08:56:06.000Z,8.6K,,8.6K,29,5,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,566556,AloneCoder,2021-07-07T13:16:47.000Z,12K,,12K,70,66,/ru/companies/vk/articles/
D:\untitled3\.\hubs\cvs,null,560228,osmanov,2021-06-21T10:00:02.000Z,4.3K,,4.3K,14,3,/ru/companies/badoo/articles/
D:\untitled3\.\hubs\cvs,null,561736,aionin,2021-06-08T14:11:55.000Z,2.3K,,2.3K,9,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,556952,Hasselhoff,2021-05-19T11:35:09.000Z,2.1K,,2.1K,19,0,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\cvs,null,557412,KristineS,2021-05-14T11:48:33.000Z,1.6K,,1.6K,4,6,/ru/companies/gitlab/articles/
D:\untitled3\.\hubs\cvs,null,557168,aionin,2021-05-13T08:43:21.000Z,3.3K,,3.3K,16,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,551320,aionin,2021-04-07T19:18:10.000Z,2.8K,,2.8K,9,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,550868,p_a_r_t,2021-04-06T09:41:37.000Z,4.9K,,4.9K,28,6,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\cvs,null,548044,PatientZero,2021-03-24T07:09:38.000Z,8.6K,,8.6K,23,5,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\cvs,null,547906,true_engineering,2021-03-19T10:15:06.000Z,5.2K,,5.2K,25,0,/ru/hubs/cvs/
D:\untitled3\.\hubs\cvs,null,546818,aionin,2021-03-13T09:17:09.000Z,4.2K,,4.2K,11,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,541688,aionin,2021-02-09T19:55:24.000Z,3.9K,,3.9K,15,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,537006,aionin,2021-01-12T12:51:28.000Z,4.1K,,4.1K,11,13,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,534800,ShaggyRatte,2020-12-24T12:03:01.000Z,18K,,18K,81,49,/ru/companies/badoo/articles/
D:\untitled3\.\hubs\cvs,null,534292,AnSt,2020-12-22T06:30:01.000Z,3.9K,,3.9K,32,4,/ru/hubs/cvs/
D:\untitled3\.\hubs\cvs,null,531930,rcl,2020-12-09T07:21:44.000Z,7.1K,,7.1K,23,25,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,531934,aionin,2020-12-08T11:32:14.000Z,2.6K,,2.6K,12,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,530660,Asuwish_k,2020-12-08T10:53:42.000Z,4.8K,,4.8K,27,6,/ru/companies/arcadia/articles/
D:\untitled3\.\hubs\cvs,null,528068,rcl,2020-11-14T18:33:58.000Z,6.2K,,6.2K,14,44,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,527510,skillfactory_school,2020-11-12T14:00:30.000Z,9.3K,,9.3K,31,3,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\cvs,null,527208,aionin,2020-11-09T19:10:13.000Z,2.5K,,2.5K,12,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,525360,chemtech,2020-10-28T07:14:03.000Z,7K,,7K,67,2,/ru/hubs/git/
D:\untitled3\.\hubs\cvs,null,521542,Andrew-BUSINESS,2020-10-26T09:32:16.000Z,3.6K,,3.6K,25,18,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\cvs,null,524514,Seleditor,2020-10-21T17:09:45.000Z,14K,,14K,39,7,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\cvs,null,522792,aionin,2020-10-09T15:11:49.000Z,3.3K,,3.3K,12,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\cvs,null,522276,IlyaNikk,2020-10-09T13:07:00.000Z,5.5K,,5.5K,22,8,/ru/companies/avito/articles/
