hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\cyberpunk,popsci,768918,mvideo,2023-10-20T16:34:40.000Z,2.5K,,2.5K,14,0,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\cyberpunk,popsci,767880,SLY_G,2023-10-16T21:17:32.000Z,2.8K,,2.8K,8,3,/ru/hubs/cyberpunk/
D:\untitled3\.\hubs\cyberpunk,popsci,764748,anna_german,2023-10-02T08:01:05.000Z,4.2K,,4.2K,30,52,/ru/hubs/hr_management/
D:\untitled3\.\hubs\cyberpunk,popsci,757308,flancer,2023-08-28T08:17:48.000Z,17K,,17K,49,117,/ru/hubs/read/
D:\untitled3\.\hubs\cyberpunk,popsci,755278,alizar,2023-08-21T09:00:01.000Z,8.1K,,8.1K,40,39,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\cyberpunk,popsci,753632,lennikov,2023-08-09T16:35:27.000Z,4.6K,,4.6K,16,43,/ru/hubs/cyberpunk/
D:\untitled3\.\hubs\cyberpunk,popsci,751350,igor_zvyagin,2023-08-08T14:18:05.000Z,36K,,36K,124,289,/ru/companies/otus/articles/
D:\untitled3\.\hubs\cyberpunk,popsci,748034,Mikoshi,2023-07-14T10:04:41.000Z,2.7K,,2.7K,13,6,/ru/hubs/cyberpunk/
D:\untitled3\.\hubs\cyberpunk,popsci,741116,popski_ruvds,2023-06-11T14:00:01.000Z,26K,,26K,59,108,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\cyberpunk,popsci,735960,alizar,2023-05-22T09:00:02.000Z,48K,,48K,101,387,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\cyberpunk,popsci,735504,4eshir,2023-05-16T14:58:18.000Z,6.7K,,6.7K,20,35,/ru/hubs/cyberpunk/
D:\untitled3\.\hubs\cyberpunk,popsci,730910,osmanovjr,2023-04-22T10:53:49.000Z,4.3K,,4.3K,9,8,/ru/hubs/crypto/
D:\untitled3\.\hubs\cyberpunk,popsci,727254,ilya_mk,2023-04-05T17:16:13.000Z,40K,,40K,129,16,/ru/hubs/programming/
D:\untitled3\.\hubs\cyberpunk,popsci,723940,postmachines,2023-03-22T07:00:01.000Z,1.9K,,1.9K,7,24,/ru/hubs/cyberpunk/
D:\untitled3\.\hubs\cyberpunk,popsci,723350,masterdak,2023-03-19T09:42:15.000Z,2.1K,,2.1K,17,5,/ru/hubs/sport_programming/
D:\untitled3\.\hubs\cyberpunk,popsci,719148,ru_vds,2023-03-01T09:00:02.000Z,8.2K,,8.2K,57,15,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\cyberpunk,popsci,715088,SergioShpadi,2023-02-20T11:15:01.000Z,20K,,20K,128,408,/ru/hubs/read/
D:\untitled3\.\hubs\cyberpunk,popsci,717898,nsushko,2023-02-19T19:06:50.000Z,37K,,37K,57,70,/ru/hubs/machine_learning/
D:\untitled3\.\hubs\cyberpunk,popsci,717884,Alikberov,2023-02-19T16:25:59.000Z,2.1K,,2.1K,7,1,/ru/hubs/cyberpunk/
D:\untitled3\.\hubs\cyberpunk,popsci,715104,alizar,2023-02-13T09:00:01.000Z,11K,,11K,49,99,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\cyberpunk,popsci,716500,slammed,2023-02-13T07:45:19.000Z,2.5K,,2.5K,9,19,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\cyberpunk,popsci,709108,pokamest_nikak,2023-01-05T00:55:23.000Z,138K,,138K,256,198,/ru/companies/amnezia/articles/
D:\untitled3\.\hubs\cyberpunk,popsci,708352,MechanikArtem,2023-01-02T05:44:06.000Z,11K,,11K,34,49,/ru/hubs/cyberpunk/
D:\untitled3\.\hubs\cyberpunk,popsci,706654,slavanikolsky,2022-12-30T15:30:01.000Z,40K,,40K,143,99,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\cyberpunk,popsci,708576,TeploYak,2022-12-30T04:12:57.000Z,7.8K,,7.8K,65,33,/ru/hubs/cyberpunk/
D:\untitled3\.\hubs\cyberpunk,popsci,708280,ilya_mk,2022-12-28T14:39:13.000Z,41K,,41K,80,83,/ru/hubs/programming/
D:\untitled3\.\hubs\cyberpunk,popsci,706752,MechanikArtem,2022-12-21T08:40:24.000Z,8.5K,,8.5K,13,11,/ru/hubs/3d_graphics/
D:\untitled3\.\hubs\cyberpunk,popsci,706166,lemos,2022-12-18T00:59:22.000Z,13K,,13K,70,101,/ru/hubs/hardware/
