hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\dart,develop,776002,Friflex_dev,2023-11-24T08:06:42.000Z,1.6K,,1.6K,12,3,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\dart,develop,775714,Surf_Studio,2023-11-22T15:04:12.000Z,2.8K,,2.8K,10,0,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\dart,develop,774902,PackRuble,2023-11-19T08:54:40.000Z,4K,,4K,5,5,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\dart,develop,774744,alexeyinkin,2023-11-17T16:04:50.000Z,1.8K,,1.8K,6,0,/ru/hubs/dart/
D:\untitled3\.\hubs\dart,develop,774594,Friflex_dev,2023-11-17T14:43:01.000Z,5.8K,,5.8K,16,0,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\dart,develop,773442,MADTeacher,2023-11-16T05:46:33.000Z,3.8K,,3.8K,41,10,/ru/hubs/dart/
D:\untitled3\.\hubs\dart,develop,773164,Surf_Studio,2023-11-10T12:45:09.000Z,1.6K,,1.6K,8,0,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\dart,develop,773028,mrDevGo,2023-11-10T08:18:09.000Z,1.6K,,1.6K,17,2,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\dart,develop,772462,ASGAlex,2023-11-08T12:17:12.000Z,3.4K,,3.4K,24,10,/ru/hubs/gamedev/
D:\untitled3\.\hubs\dart,develop,772234,mrDevGo,2023-11-07T11:59:43.000Z,1.9K,,1.9K,16,9,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\dart,develop,771774,madbrains,2023-11-03T12:45:24.000Z,3.2K,,3.2K,21,5,/ru/hubs/complete_code/
D:\untitled3\.\hubs\dart,develop,771354,Friflex_dev,2023-11-01T15:16:16.000Z,2.1K,,2.1K,15,5,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\dart,develop,770950,Digital_Design,2023-10-31T08:46:08.000Z,4.9K,,4.9K,34,7,/ru/companies/digdes/articles/
