hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\data_visualization,null,775194,anastapenko,2023-11-26T13:30:38.000Z,1K,,1K,7,2,/ru/companies/axenix/articles/
D:\untitled3\.\hubs\data_visualization,null,776444,robertd,2023-11-26T09:03:23.000Z,3.3K,,3.3K,28,23,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\data_visualization,null,776264,Georgiy_Ubilava,2023-11-24T16:09:58.000Z,2.1K,,2.1K,23,1,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\data_visualization,null,776248,Alek_Che,2023-11-24T15:31:50.000Z,948,,948,9,0,/ru/companies/modusbi/articles/
D:\untitled3\.\hubs\data_visualization,null,776004,Ontonet,2023-11-23T15:00:30.000Z,704,,704,10,1,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\data_visualization,null,775910,askorn99,2023-11-23T11:12:17.000Z,8.5K,,8.5K,20,12,/ru/hubs/algorithms/
D:\untitled3\.\hubs\data_visualization,null,775412,Alliesverse,2023-11-21T15:30:02.000Z,2.5K,,2.5K,10,3,/ru/companies/av/articles/
D:\untitled3\.\hubs\data_visualization,null,774712,napit_ok,2023-11-20T10:41:49.000Z,18K,,18K,175,16,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\data_visualization,null,774710,Mazaltov,2023-11-17T14:17:32.000Z,4K,,4K,18,8,/ru/companies/modusbi/articles/
D:\untitled3\.\hubs\data_visualization,null,772702,piton_nsk,2023-11-16T05:53:53.000Z,5.8K,,5.8K,68,9,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\data_visualization,null,771504,SergBag,2023-11-14T07:01:07.000Z,42K,,42K,211,28,/ru/companies/lanit/articles/
D:\untitled3\.\hubs\data_visualization,null,773424,igor_suhorukov,2023-11-13T05:46:24.000Z,7K,,7K,69,18,/ru/hubs/programming/
D:\untitled3\.\hubs\data_visualization,null,773296,kracko23,2023-11-11T13:30:16.000Z,2.5K,,2.5K,31,3,/ru/hubs/postgresql/
D:\untitled3\.\hubs\data_visualization,null,773206,Mazaltov,2023-11-10T15:34:52.000Z,8.6K,,8.6K,22,16,/ru/companies/modusbi/articles/
D:\untitled3\.\hubs\data_visualization,null,771134,GRAlll,2023-11-09T10:49:46.000Z,17K,,17K,199,11,/ru/companies/karuna/articles/
D:\untitled3\.\hubs\data_visualization,null,769316,scarrydigital,2023-11-08T07:00:01.000Z,20K,,20K,88,125,/ru/companies/nlmk/articles/
D:\untitled3\.\hubs\data_visualization,null,772332,Ivan_Demenev,2023-11-07T11:42:40.000Z,1.2K,,1.2K,5,0,/ru/hubs/data_visualization/
D:\untitled3\.\hubs\data_visualization,null,771502,esteselkin,2023-11-02T11:03:13.000Z,1.3K,,1.3K,8,0,/ru/hubs/xml/
D:\untitled3\.\hubs\data_visualization,null,771450,olegbunin,2023-11-02T08:56:30.000Z,3.3K,,3.3K,44,0,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\data_visualization,null,771258,DataBanksy,2023-11-01T09:54:50.000Z,2.4K,,2.4K,4,6,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\data_visualization,null,764708,ryazancevnik,2023-10-29T12:14:02.000Z,497,,497,3,0,/ru/hubs/data_visualization/
D:\untitled3\.\hubs\data_visualization,null,764706,ryazancevnik,2023-10-27T09:05:01.000Z,625,,625,11,0,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\data_visualization,null,769392,Sashapuchkov,2023-10-24T08:49:52.000Z,677,,677,4,0,/ru/companies/zyfra/articles/
D:\untitled3\.\hubs\data_visualization,null,769432,vsile,2023-10-23T21:23:44.000Z,3.9K,,3.9K,31,5,/ru/hubs/mongodb/
D:\untitled3\.\hubs\data_visualization,null,769376,MaxRokatansky,2023-10-23T14:55:14.000Z,22K,,22K,232,4,/ru/companies/otus/articles/
D:\untitled3\.\hubs\data_visualization,null,768876,MaxRokatansky,2023-10-20T14:09:58.000Z,1.5K,,1.5K,21,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\data_visualization,null,767572,DataBanksy,2023-10-15T15:54:28.000Z,1.7K,,1.7K,9,4,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\data_visualization,null,765424,aabzel,2023-10-14T22:41:20.000Z,2.9K,,2.9K,30,46,/ru/hubs/c/
D:\untitled3\.\hubs\data_visualization,null,765176,illusive_man_2000,2023-10-14T13:14:55.000Z,9K,,9K,115,10,/ru/hubs/python/
D:\untitled3\.\hubs\data_visualization,null,766360,KirillBelovTest,2023-10-13T09:45:01.000Z,3K,,3K,25,9,/ru/hubs/open_source/
D:\untitled3\.\hubs\data_visualization,null,766738,Digital_League,2023-10-11T11:11:19.000Z,3K,,3K,19,3,/ru/companies/digitalleague/articles/
D:\untitled3\.\hubs\data_visualization,null,766342,nckma,2023-10-10T07:40:39.000Z,2.1K,,2.1K,22,16,/ru/hubs/python/
D:\untitled3\.\hubs\data_visualization,null,766378,DataBanksy,2023-10-10T02:47:27.000Z,2.1K,,2.1K,6,11,/ru/hubs/bigdata/
D:\untitled3\.\hubs\data_visualization,null,765946,galimov_a,2023-10-07T09:46:16.000Z,22K,,22K,77,59,/ru/hubs/python/
D:\untitled3\.\hubs\data_visualization,null,765930,DataBanksy,2023-10-07T07:45:06.000Z,6.2K,,6.2K,16,20,/ru/hubs/habr/
D:\untitled3\.\hubs\data_visualization,null,765594,MaxRokatansky,2023-10-06T12:51:13.000Z,2.5K,,2.5K,35,6,/ru/companies/otus/articles/
D:\untitled3\.\hubs\data_visualization,null,762534,artwistru,2023-10-05T07:00:01.000Z,1.4K,,1.4K,14,2,/ru/companies/yandex_cloud_and_infra/articles/
D:\untitled3\.\hubs\data_visualization,null,765046,ris58h,2023-10-04T16:29:28.000Z,13K,,13K,23,23,/ru/hubs/opendata/
D:\untitled3\.\hubs\data_visualization,null,765242,SnezhSh,2023-10-04T10:10:11.000Z,1.6K,,1.6K,5,0,/ru/companies/glowbyte/articles/
D:\untitled3\.\hubs\data_visualization,null,765230,heinrich_wirth,2023-10-04T08:51:09.000Z,2.5K,,2.5K,30,3,/ru/hubs/python/
D:\untitled3\.\hubs\data_visualization,null,764936,AlexWriter,2023-10-04T07:00:02.000Z,1.9K,,1.9K,21,10,/ru/hubs/open_source/
D:\untitled3\.\hubs\data_visualization,null,764824,nirashab,2023-10-02T12:06:25.000Z,1.2K,,1.2K,11,2,/ru/companies/swordfish_security/articles/
D:\untitled3\.\hubs\data_visualization,null,764738,dd_kruglov,2023-10-02T07:01:00.000Z,5.5K,,5.5K,28,4,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\data_visualization,null,764454,Alek_Che,2023-09-29T14:11:38.000Z,2.1K,,2.1K,16,5,/ru/companies/modusbi/articles/
D:\untitled3\.\hubs\data_visualization,null,764276,Canopus77,2023-09-28T23:16:21.000Z,3.4K,,3.4K,5,20,/ru/hubs/opendata/
D:\untitled3\.\hubs\data_visualization,null,763670,nckma,2023-09-27T05:57:01.000Z,2.3K,,2.3K,22,6,/ru/hubs/python/
D:\untitled3\.\hubs\data_visualization,null,762486,pvdubinin,2023-09-26T08:00:03.000Z,31K,,31K,139,54,/ru/companies/yandex/articles/
