hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\db_admins,null,776398,Falcon_eye,2023-11-25T20:11:57.000Z,901,,901,8,7,/ru/hubs/sql/
D:\untitled3\.\hubs\db_admins,null,775922,gle4er,2023-11-24T09:55:28.000Z,7.2K,,7.2K,88,12,/ru/companies/avito/articles/
D:\untitled3\.\hubs\db_admins,null,774736,Loxmatiymamont,2023-11-21T08:04:48.000Z,1.5K,,1.5K,8,3,/ru/companies/postgrespro/articles/
D:\untitled3\.\hubs\db_admins,null,774024,AndreyMitrofanov,2023-11-15T08:14:52.000Z,7K,,7K,13,5,/ru/companies/x-com/articles/
D:\untitled3\.\hubs\db_admins,null,773680,BinCat,2023-11-14T09:59:01.000Z,7.6K,,7.6K,48,28,/ru/hubs/hi/
D:\untitled3\.\hubs\db_admins,null,773516,koloskovv,2023-11-13T09:55:56.000Z,4.3K,,4.3K,23,0,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\db_admins,null,773174,MaxRokatansky,2023-11-11T12:45:02.000Z,11K,,11K,57,5,/ru/companies/otus/articles/
D:\untitled3\.\hubs\db_admins,null,772954,dmserebr,2023-11-09T15:41:15.000Z,52K,,52K,252,136,/ru/hubs/postgresql/
D:\untitled3\.\hubs\db_admins,null,772930,SergeyDubna,2023-11-09T13:45:04.000Z,2.8K,,2.8K,14,8,/ru/hubs/db_admins/
D:\untitled3\.\hubs\db_admins,null,772580,BiktorSergeev,2023-11-08T10:10:40.000Z,6.5K,,6.5K,19,1,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\db_admins,null,765694,RukInDaHouse,2023-11-02T11:56:40.000Z,22K,,22K,305,5,/ru/companies/nixys/articles/
D:\untitled3\.\hubs\db_admins,null,771428,FirstJohn,2023-11-02T08:16:01.000Z,1.7K,,1.7K,23,3,/ru/companies/first/articles/
D:\untitled3\.\hubs\db_admins,null,771406,Kilor,2023-11-02T06:45:32.000Z,13K,,13K,92,13,/ru/companies/tensor/articles/
D:\untitled3\.\hubs\db_admins,null,770674,badcasedaily1,2023-10-30T14:02:16.000Z,6K,,6K,112,12,/ru/companies/otus/articles/
D:\untitled3\.\hubs\db_admins,null,770364,Andrey_Biryukov,2023-10-27T13:28:59.000Z,6.9K,,6.9K,89,5,/ru/companies/otus/articles/
D:\untitled3\.\hubs\db_admins,null,769508,anton_esh,2023-10-27T10:08:55.000Z,2K,,2K,18,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\db_admins,null,769622,kvaps,2023-10-24T13:20:19.000Z,2.6K,,2.6K,37,3,/ru/hubs/sys_admin/
