hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\debug,null,776354,pcbteach,2023-11-25T10:48:19.000Z,539,,539,10,0,/ru/hubs/ui/
D:\untitled3\.\hubs\debug,null,771894,sfsdart,2023-11-09T14:19:52.000Z,8.3K,,8.3K,43,31,/ru/companies/3rdman/articles/
D:\untitled3\.\hubs\debug,null,772686,pcbteach,2023-11-08T15:47:43.000Z,1.3K,,1.3K,18,0,/ru/hubs/ui/
D:\untitled3\.\hubs\debug,null,771970,Evgeny_E,2023-11-05T06:08:32.000Z,7.5K,,7.5K,70,23,/ru/hubs/ui/
D:\untitled3\.\hubs\debug,null,770314,PatientZero,2023-10-27T13:14:58.000Z,36K,,36K,83,62,/ru/hubs/webdev/
D:\untitled3\.\hubs\debug,null,770034,pcbteach,2023-10-26T07:06:11.000Z,1.2K,,1.2K,17,0,/ru/hubs/ui/
D:\untitled3\.\hubs\debug,null,767196,pcbteach,2023-10-13T08:37:49.000Z,1.7K,,1.7K,24,7,/ru/hubs/ui/
D:\untitled3\.\hubs\debug,null,765578,sonya_guseva,2023-10-09T07:00:01.000Z,7.5K,,7.5K,54,9,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\debug,null,765788,PatientZero,2023-10-06T11:40:00.000Z,11K,,11K,24,16,/ru/hubs/programming/
D:\untitled3\.\hubs\debug,null,764936,AlexWriter,2023-10-04T07:00:02.000Z,1.9K,,1.9K,21,10,/ru/hubs/open_source/
D:\untitled3\.\hubs\debug,null,760922,vostrik,2023-09-29T13:33:32.000Z,5.1K,,5.1K,60,10,/ru/companies/kaspersky/articles/
D:\untitled3\.\hubs\debug,null,763960,PatientZero,2023-09-27T18:27:00.000Z,26K,,26K,28,116,/ru/hubs/open_source/
D:\untitled3\.\hubs\debug,null,763320,Alexander_Kalinin,2023-09-26T07:00:01.000Z,2.8K,,2.8K,27,5,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\debug,null,763310,ru_vds,2023-09-25T13:02:12.000Z,7.1K,,7.1K,68,5,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\debug,null,761050,PatientZero,2023-09-14T10:19:56.000Z,3.8K,,3.8K,25,22,/ru/hubs/debug/
D:\untitled3\.\hubs\debug,null,761016,SovaSova15,2023-09-14T09:00:08.000Z,2.6K,,2.6K,28,3,/ru/companies/slurm/articles/
D:\untitled3\.\hubs\debug,null,760208,vzkhrv,2023-09-14T08:58:11.000Z,3.4K,,3.4K,44,4,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\debug,null,760374,babqeen,2023-09-13T06:00:02.000Z,7.1K,,7.1K,40,9,/ru/hubs/hi/
D:\untitled3\.\hubs\debug,null,760526,mr-pickles,2023-09-12T12:50:29.000Z,2.1K,,2.1K,19,3,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\debug,null,759600,asdobryakov,2023-09-07T15:49:00.000Z,2.6K,,2.6K,44,2,/ru/companies/k2tech/articles/
D:\untitled3\.\hubs\debug,null,758310,ap_security,2023-09-01T08:35:41.000Z,2.6K,,2.6K,49,0,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\debug,null,758188,aabzel,2023-08-31T21:07:38.000Z,1.8K,,1.8K,27,23,/ru/hubs/debug/
D:\untitled3\.\hubs\debug,null,757348,VitalyCherkov,2023-08-30T06:27:17.000Z,6.4K,,6.4K,91,0,/ru/companies/kts/articles/
D:\untitled3\.\hubs\debug,null,757336,ru_vds,2023-08-28T13:00:03.000Z,13K,,13K,199,10,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\debug,null,756096,dr_bob_davidov,2023-08-22T08:33:37.000Z,1.1K,,1.1K,7,3,/ru/hubs/debug/
D:\untitled3\.\hubs\debug,null,754196,sa2304,2023-08-12T12:05:32.000Z,4K,,4K,36,24,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\debug,null,753264,adss332,2023-08-08T10:55:48.000Z,2.8K,,2.8K,30,15,/ru/hubs/wordpress/
D:\untitled3\.\hubs\debug,null,752256,Albert_Wesker,2023-08-08T08:01:02.000Z,4.2K,,4.2K,46,19,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\debug,null,748822,doctorweb,2023-07-18T13:08:34.000Z,2K,,2K,26,4,/ru/companies/drweb/articles/
