hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\delphi,develop,763054,Kraleks,2023-09-24T09:52:07.000Z,9.5K,,9.5K,17,28,without_company
D:\untitled3\.\hubs\delphi,develop,757156,svanichkin,2023-08-27T08:14:24.000Z,10K,,10K,59,82,without_company
D:\untitled3\.\hubs\delphi,develop,751516,ru_vds,2023-07-31T13:00:01.000Z,29K,,29K,71,181,without_company
D:\untitled3\.\hubs\delphi,develop,739728,SergeyPyankov,2023-07-12T21:07:48.000Z,2.4K,,2.4K,20,4,without_company
D:\untitled3\.\hubs\delphi,develop,732384,HemulGM,2023-04-29T05:16:14.000Z,15K,,15K,64,25,without_company
D:\untitled3\.\hubs\delphi,develop,714698,Dimon2022,2023-03-22T06:35:44.000Z,19K,,19K,58,182,without_company
D:\untitled3\.\hubs\delphi,develop,720436,Rouse,2023-03-04T16:57:03.000Z,8.4K,,8.4K,96,24,without_company
D:\untitled3\.\hubs\delphi,develop,719646,Newton2,2023-02-28T22:41:05.000Z,4.6K,,4.6K,21,6,without_company
D:\untitled3\.\hubs\delphi,develop,711240,dalfy,2023-01-17T16:11:41.000Z,2.3K,,2.3K,14,2,without_company
D:\untitled3\.\hubs\delphi,develop,707982,ap1973,2022-12-27T11:45:59.000Z,5.3K,,5.3K,26,21,without_company
D:\untitled3\.\hubs\delphi,develop,706364,dalfy,2022-12-19T12:12:43.000Z,7.7K,,7.7K,55,23,without_company
D:\untitled3\.\hubs\delphi,develop,697954,Hidadmin,2022-11-08T08:59:35.000Z,2.3K,,2.3K,17,6,without_company
D:\untitled3\.\hubs\delphi,develop,685648,GreekIgor,2022-09-01T04:04:04.000Z,2.8K,,2.8K,6,18,without_company
D:\untitled3\.\hubs\delphi,develop,678628,dvsa,2022-07-24T08:41:17.000Z,16K,,16K,20,47,without_company
D:\untitled3\.\hubs\delphi,develop,661697,SergeyPyankov,2022-05-15T21:07:36.000Z,6.6K,,6.6K,36,6,without_company
D:\untitled3\.\hubs\delphi,develop,655225,BerArtVlad,2022-03-11T14:17:59.000Z,6.8K,,6.8K,30,12,without_company
D:\untitled3\.\hubs\delphi,develop,597935,AKlimenkov,2021-12-28T05:22:30.000Z,108K,,108K,127,105,without_company
D:\untitled3\.\hubs\delphi,develop,595583,AKlimenkov,2021-12-17T05:37:20.000Z,64K,,64K,99,47,without_company
D:\untitled3\.\hubs\delphi,develop,592191,GreekIgor,2021-11-29T09:45:39.000Z,1.8K,,1.8K,4,7,without_company
D:\untitled3\.\hubs\delphi,develop,590227,andrey_ssh,2021-11-20T19:18:22.000Z,3.8K,,3.8K,36,17,without_company
D:\untitled3\.\hubs\delphi,develop,589039,Laax,2021-11-14T09:04:54.000Z,8.5K,,8.5K,22,25,without_company
D:\untitled3\.\hubs\delphi,develop,587240,ap1973,2021-11-03T14:32:38.000Z,5.6K,,5.6K,33,34,without_company
