hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\desktop_environment,null,753232,ispmanager,2023-08-08T13:00:01.000Z,7.3K,,7.3K,23,47,without_company
D:\untitled3\.\hubs\desktop_environment,null,747380,atsyhan_minsk,2023-07-11T19:14:43.000Z,12K,,12K,50,21,without_company
D:\untitled3\.\hubs\desktop_environment,null,742460,PUMOVETZ,2023-06-18T20:28:33.000Z,9.2K,,9.2K,71,6,without_company
D:\untitled3\.\hubs\desktop_environment,null,738362,Einherjar,2023-05-29T14:17:11.000Z,2.3K,,2.3K,21,2,without_company
D:\untitled3\.\hubs\desktop_environment,null,736462,xal99,2023-05-20T18:31:39.000Z,5.2K,,5.2K,34,1,without_company
D:\untitled3\.\hubs\desktop_environment,null,727924,Levitanus,2023-04-09T19:02:35.000Z,15K,,15K,55,45,without_company
D:\untitled3\.\hubs\desktop_environment,null,724676,alef13,2023-03-29T09:00:01.000Z,8.1K,,8.1K,94,9,without_company
D:\untitled3\.\hubs\desktop_environment,null,715824,Sergey1124,2023-02-10T07:37:19.000Z,16K,,16K,119,29,without_company
D:\untitled3\.\hubs\desktop_environment,null,714854,AlexB210805,2023-02-04T14:40:34.000Z,35K,,35K,25,100,without_company
D:\untitled3\.\hubs\desktop_environment,null,709940,AstraLinux_Group,2023-01-10T15:40:20.000Z,9.7K,,9.7K,59,14,without_company
D:\untitled3\.\hubs\desktop_environment,null,698650,Einherjar,2022-11-10T16:12:30.000Z,18K,,18K,46,20,without_company
D:\untitled3\.\hubs\desktop_environment,null,692214,valerijhegaj,2022-10-08T14:14:19.000Z,11K,,11K,31,10,without_company
D:\untitled3\.\hubs\desktop_environment,null,677492,1shaman,2022-07-25T08:00:02.000Z,120K,,120K,160,148,without_company
D:\untitled3\.\hubs\desktop_environment,null,677420,1shaman,2022-07-19T08:01:01.000Z,11K,,11K,41,10,without_company
D:\untitled3\.\hubs\desktop_environment,null,673488,myxo,2022-06-26T14:51:51.000Z,53K,,53K,136,60,without_company
D:\untitled3\.\hubs\desktop_environment,null,671598,Leo2048,2022-06-15T19:44:40.000Z,29K,,29K,90,31,without_company
D:\untitled3\.\hubs\desktop_environment,null,668670,ahyahy,2022-05-30T16:14:44.000Z,4.8K,,4.8K,17,4,without_company
D:\untitled3\.\hubs\desktop_environment,null,662561,aabzel,2022-04-23T14:05:44.000Z,9.5K,,9.5K,22,29,without_company
D:\untitled3\.\hubs\desktop_environment,null,653129,saipr,2022-02-23T12:29:49.000Z,4.2K,,4.2K,22,8,without_company
D:\untitled3\.\hubs\desktop_environment,null,648845,honyaki,2022-02-09T20:50:00.000Z,39K,,39K,145,9,without_company
D:\untitled3\.\hubs\desktop_environment,null,599599,honyaki,2022-01-09T20:33:48.000Z,249K,,249K,416,14,without_company
D:\untitled3\.\hubs\desktop_environment,null,591369,saipr,2021-11-24T17:52:47.000Z,3.9K,,3.9K,18,0,without_company
D:\untitled3\.\hubs\desktop_environment,null,588681,saipr,2021-11-11T17:43:44.000Z,7.1K,,7.1K,37,9,without_company
D:\untitled3\.\hubs\desktop_environment,null,583328,Oxyd,2021-10-18T09:00:04.000Z,16K,,16K,97,15,without_company
D:\untitled3\.\hubs\desktop_environment,null,578988,Dmitry_Yurevich,2021-09-20T15:26:24.000Z,14K,,14K,45,5,without_company
D:\untitled3\.\hubs\desktop_environment,null,573418,TTatyana,2021-09-03T12:58:22.000Z,2.9K,,2.9K,7,5,without_company
D:\untitled3\.\hubs\desktop_environment,null,572160,petuhoff,2021-09-01T21:20:02.000Z,2.1K,,2.1K,15,3,without_company
D:\untitled3\.\hubs\desktop_environment,null,574904,lonely_programmer,2021-08-27T07:00:03.000Z,9.9K,,9.9K,37,5,without_company
D:\untitled3\.\hubs\desktop_environment,null,573936,phillennium,2021-08-20T15:16:02.000Z,83K,,83K,211,404,without_company
D:\untitled3\.\hubs\desktop_environment,null,573630,Rzevsky,2021-08-18T21:47:47.000Z,197K,,197K,242,1163,without_company
D:\untitled3\.\hubs\desktop_environment,null,572200,2u4u,2021-08-11T13:07:06.000Z,3.4K,,3.4K,24,4,without_company
D:\untitled3\.\hubs\desktop_environment,null,567724,petuhoff,2021-07-18T21:24:09.000Z,2.9K,,2.9K,11,0,without_company
D:\untitled3\.\hubs\desktop_environment,null,566252,DassaultSystemes,2021-07-07T10:14:21.000Z,2.5K,,2.5K,11,0,without_company
D:\untitled3\.\hubs\desktop_environment,null,565708,DassaultSystemes,2021-07-02T07:48:58.000Z,11K,,11K,9,0,without_company
D:\untitled3\.\hubs\desktop_environment,null,563950,petuhoff,2021-06-29T21:40:01.000Z,6.3K,,6.3K,24,8,without_company
D:\untitled3\.\hubs\desktop_environment,null,564326,DassaultSystemes,2021-06-28T10:46:09.000Z,3.5K,,3.5K,6,1,without_company
D:\untitled3\.\hubs\desktop_environment,null,556704,DassaultSystemes,2021-05-20T06:44:47.000Z,1.4K,,1.4K,3,2,without_company
D:\untitled3\.\hubs\desktop_environment,null,556698,DassaultSystemes,2021-05-17T09:40:45.000Z,3.5K,,3.5K,4,0,without_company
D:\untitled3\.\hubs\desktop_environment,null,557260,DassaultSystemes,2021-05-14T10:39:38.000Z,10K,,10K,14,9,without_company
D:\untitled3\.\hubs\desktop_environment,null,553764,Seleditor,2021-04-22T10:55:53.000Z,18K,,18K,53,110,without_company
D:\untitled3\.\hubs\desktop_environment,null,548452,host_m,2021-03-23T09:20:02.000Z,30K,,30K,36,37,without_company
D:\untitled3\.\hubs\desktop_environment,null,542182,saipr,2021-02-20T15:15:58.000Z,7K,,7K,29,2,without_company
D:\untitled3\.\hubs\desktop_environment,null,541730,Redian23,2021-02-10T08:30:13.000Z,44K,,44K,17,263,without_company
D:\untitled3\.\hubs\desktop_environment,null,536636,petuhoff,2021-01-24T21:10:00.000Z,16K,,16K,44,31,without_company
D:\untitled3\.\hubs\desktop_environment,null,538842,Darksa,2021-01-23T10:35:03.000Z,17K,,17K,31,38,without_company
D:\untitled3\.\hubs\desktop_environment,null,531356,TTatyana,2020-12-04T13:57:57.000Z,2.2K,,2.2K,4,0,without_company
D:\untitled3\.\hubs\desktop_environment,null,529146,ITstr0ng,2020-11-27T08:00:03.000Z,51K,,51K,27,66,without_company
D:\untitled3\.\hubs\desktop_environment,null,528628,avengerweb,2020-11-18T04:39:56.000Z,97K,,97K,26,320,without_company
D:\untitled3\.\hubs\desktop_environment,null,523296,Kutuzova,2020-10-13T13:43:12.000Z,3.9K,,3.9K,13,24,without_company
D:\untitled3\.\hubs\desktop_environment,null,519988,Seleditor,2020-09-21T11:24:08.000Z,10K,,10K,9,41,without_company
D:\untitled3\.\hubs\desktop_environment,null,517800,Semin_Pavel,2020-09-04T08:57:41.000Z,129K,,129K,115,503,without_company
D:\untitled3\.\hubs\desktop_environment,null,517298,istishev,2020-09-01T10:10:06.000Z,75K,,75K,112,103,without_company
D:\untitled3\.\hubs\desktop_environment,null,516330,LinuxCertifiedInstructor,2020-09-01T07:13:26.000Z,101K,,101K,489,162,without_company
D:\untitled3\.\hubs\desktop_environment,null,511704,saipr,2020-07-20T09:12:50.000Z,7.1K,,7.1K,30,12,without_company
D:\untitled3\.\hubs\desktop_environment,null,506082,dmitrmax,2020-06-09T14:21:58.000Z,8.1K,,8.1K,41,17,without_company
