hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\desktops,null,774748,divolko3,2023-11-18T09:00:01.000Z,4.6K,,4.6K,11,2,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\desktops,null,774122,Oksana_Nedvigina,2023-11-15T13:34:58.000Z,8.4K,,8.4K,41,65,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\desktops,null,771968,Lexus08,2023-11-06T12:26:58.000Z,7.6K,,7.6K,20,23,/ru/hubs/hardware/
D:\untitled3\.\hubs\desktops,null,770106,AvramovMax,2023-11-06T10:31:01.000Z,9.9K,,9.9K,51,14,/ru/companies/first/articles/
D:\untitled3\.\hubs\desktops,null,772038,SergiiDia,2023-11-05T16:04:51.000Z,34K,,34K,23,144,/ru/hubs/hardware/
D:\untitled3\.\hubs\desktops,null,771960,Seleditor,2023-11-05T01:44:24.000Z,25K,,25K,29,29,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\desktops,null,771952,osieman,2023-11-04T21:34:05.000Z,8.5K,,8.5K,40,17,/ru/hubs/cpp/
D:\untitled3\.\hubs\desktops,null,770130,divolko3,2023-10-26T11:42:44.000Z,6.9K,,6.9K,8,15,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\desktops,null,768810,divolko3,2023-10-20T14:00:02.000Z,8.6K,,8.6K,23,3,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\desktops,null,768718,ivansychev,2023-10-20T08:00:01.000Z,17K,,17K,47,45,/ru/companies/inferit/articles/
D:\untitled3\.\hubs\desktops,null,765458,Holmogorov,2023-10-13T09:00:01.000Z,7.6K,,7.6K,37,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\desktops,null,766718,divolko3,2023-10-11T09:48:57.000Z,6K,,6K,6,25,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\desktops,null,766376,DRoman0v,2023-10-10T00:25:48.000Z,16K,,16K,31,18,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\desktops,null,765820,Xcom-shop,2023-10-06T12:13:22.000Z,2.7K,,2.7K,8,4,/ru/companies/x-com/articles/
D:\untitled3\.\hubs\desktops,null,764060,bodyawm,2023-10-03T08:01:01.000Z,29K,,29K,53,132,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\desktops,null,764070,zloiromantik,2023-09-28T08:29:05.000Z,5.1K,,5.1K,17,14,/ru/hubs/hardware/
D:\untitled3\.\hubs\desktops,null,763846,divolko3,2023-09-27T14:00:01.000Z,7.9K,,7.9K,14,38,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\desktops,null,761916,Sagidullin,2023-09-24T22:58:36.000Z,16K,,16K,35,39,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\desktops,null,761626,SergiiDia,2023-09-17T23:45:14.000Z,20K,,20K,35,75,/ru/hubs/hardware/
D:\untitled3\.\hubs\desktops,null,761118,eldar_elf,2023-09-17T00:05:49.000Z,15K,,15K,27,98,/ru/hubs/gadgets/
D:\untitled3\.\hubs\desktops,null,761456,divolko3,2023-09-16T09:25:24.000Z,5K,,5K,3,5,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\desktops,null,759896,divolko3,2023-09-09T09:00:02.000Z,5.5K,,5.5K,22,4,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\desktops,null,758144,Xcom-shop,2023-08-31T10:49:32.000Z,22K,,22K,68,78,/ru/companies/x-com/articles/
D:\untitled3\.\hubs\desktops,null,756778,monreve,2023-08-28T00:59:38.000Z,13K,,13K,21,44,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\desktops,null,756726,devpew,2023-08-24T13:41:37.000Z,19K,,19K,44,50,/ru/hubs/desktops/
D:\untitled3\.\hubs\desktops,null,756598,SergioPrieto,2023-08-24T07:12:16.000Z,5.4K,,5.4K,22,18,/ru/hubs/history/
D:\untitled3\.\hubs\desktops,null,755926,Albert_Wesker,2023-08-22T08:01:01.000Z,18K,,18K,146,21,/ru/companies/timeweb/articles/
