hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\display_adv,null,775124,icurussia,2023-11-20T11:50:47.000Z,274,,274,0,1,without_company
D:\untitled3\.\hubs\display_adv,null,773668,senaev,2023-11-17T11:43:33.000Z,538,,538,6,0,without_company
D:\untitled3\.\hubs\display_adv,null,774586,andron2303,2023-11-17T09:27:17.000Z,1.2K,,1.2K,12,0,without_company
D:\untitled3\.\hubs\display_adv,null,767554,tsymbaluyk,2023-10-15T12:25:21.000Z,1.5K,,1.5K,23,1,without_company
D:\untitled3\.\hubs\display_adv,null,766092,SiaShults,2023-10-08T17:14:47.000Z,981,,981,2,14,without_company
D:\untitled3\.\hubs\display_adv,null,762304,Artezio_team,2023-10-03T07:02:06.000Z,1.3K,,1.3K,32,1,without_company
D:\untitled3\.\hubs\display_adv,null,764126,Ekamelev,2023-09-28T10:52:47.000Z,5.2K,,5.2K,38,11,without_company
D:\untitled3\.\hubs\display_adv,null,762376,Ekamelev,2023-09-20T15:02:39.000Z,5.6K,,5.6K,64,9,without_company
D:\untitled3\.\hubs\display_adv,null,761924,vontot-digital,2023-09-19T07:53:51.000Z,627,,627,3,2,without_company
D:\untitled3\.\hubs\display_adv,null,759516,marks,2023-09-07T10:46:01.000Z,556,,556,9,1,without_company
D:\untitled3\.\hubs\display_adv,null,756114,vontot-digital,2023-08-22T09:05:20.000Z,493,,493,4,4,without_company
D:\untitled3\.\hubs\display_adv,null,755860,maratyusupov,2023-08-21T09:30:49.000Z,1.6K,,1.6K,4,4,without_company
D:\untitled3\.\hubs\display_adv,null,753450,Lerok007,2023-08-11T12:04:25.000Z,2.1K,,2.1K,26,2,without_company
D:\untitled3\.\hubs\display_adv,null,746460,Bright_Translate,2023-07-09T10:00:03.000Z,9.5K,,9.5K,28,24,without_company
D:\untitled3\.\hubs\display_adv,null,742838,sanchezzzhak,2023-06-29T14:52:06.000Z,4.3K,,4.3K,14,3,without_company
D:\untitled3\.\hubs\display_adv,null,743624,RTBSape,2023-06-23T17:52:35.000Z,850,,850,5,2,without_company
D:\untitled3\.\hubs\display_adv,null,743284,ay11z,2023-06-22T10:19:12.000Z,2.5K,,2.5K,3,4,without_company
D:\untitled3\.\hubs\display_adv,null,742726,rvnikita,2023-06-19T21:17:41.000Z,21K,,21K,53,88,without_company
D:\untitled3\.\hubs\display_adv,null,741542,Clickru,2023-06-14T08:20:28.000Z,3.9K,,3.9K,7,4,without_company
D:\untitled3\.\hubs\display_adv,null,741602,rumin_v_rabote,2023-06-14T06:05:45.000Z,2.1K,,2.1K,6,2,without_company
D:\untitled3\.\hubs\display_adv,null,738772,rumin_v_rabote,2023-05-31T06:39:22.000Z,1.4K,,1.4K,6,0,without_company
D:\untitled3\.\hubs\display_adv,null,736932,RTBSape,2023-05-23T08:40:47.000Z,613,,613,1,0,without_company
D:\untitled3\.\hubs\display_adv,null,736356,aksiomaweb,2023-05-19T14:06:02.000Z,1K,,1K,9,0,without_company
D:\untitled3\.\hubs\display_adv,null,736276,Clickru,2023-05-19T10:17:22.000Z,2.9K,,2.9K,4,12,without_company
D:\untitled3\.\hubs\display_adv,null,735102,rumin_v_rabote,2023-05-15T09:24:38.000Z,1.2K,,1.2K,11,7,without_company
D:\untitled3\.\hubs\display_adv,null,732504,chirwa4,2023-04-30T10:59:26.000Z,9K,,9K,35,5,without_company
D:\untitled3\.\hubs\display_adv,null,731336,Catx2,2023-04-26T14:17:01.000Z,14K,,14K,23,26,without_company
D:\untitled3\.\hubs\display_adv,null,728722,valleryfertser,2023-04-13T06:43:41.000Z,2K,,2K,9,10,without_company
D:\untitled3\.\hubs\display_adv,null,728540,nmerk,2023-04-12T08:48:15.000Z,1.5K,,1.5K,17,1,without_company
D:\untitled3\.\hubs\display_adv,null,726720,MediaMetriqa,2023-04-03T23:59:37.000Z,4.5K,,4.5K,5,11,without_company
D:\untitled3\.\hubs\display_adv,null,724038,Tazzard,2023-03-22T10:45:45.000Z,3.1K,,3.1K,18,3,without_company
