hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\distributed_systems,null,776152,zarubin_v,2023-11-24T10:03:26.000Z,464,,464,7,5,without_company
D:\untitled3\.\hubs\distributed_systems,null,775970,appp_master,2023-11-23T13:29:35.000Z,2.3K,,2.3K,23,10,without_company
D:\untitled3\.\hubs\distributed_systems,null,773374,mikeGolovanov,2023-11-12T12:18:07.000Z,3.4K,,3.4K,31,5,without_company
D:\untitled3\.\hubs\distributed_systems,null,772898,appp_master,2023-11-09T13:53:49.000Z,7.2K,,7.2K,60,7,without_company
D:\untitled3\.\hubs\distributed_systems,null,772084,em1nx,2023-11-06T10:01:12.000Z,5.4K,,5.4K,44,16,without_company
D:\untitled3\.\hubs\distributed_systems,null,770262,Bright_Translate,2023-10-30T13:00:01.000Z,5.7K,,5.7K,59,72,without_company
D:\untitled3\.\hubs\distributed_systems,null,770016,Bright_Translate,2023-10-29T10:00:01.000Z,6.2K,,6.2K,51,3,without_company
D:\untitled3\.\hubs\distributed_systems,null,768360,vaintrub,2023-10-24T09:01:19.000Z,5.9K,,5.9K,52,0,without_company
D:\untitled3\.\hubs\distributed_systems,null,769102,panyukovnikolay,2023-10-22T11:31:04.000Z,20K,,20K,214,1,without_company
D:\untitled3\.\hubs\distributed_systems,null,768310,donyfutura,2023-10-18T12:34:58.000Z,2.3K,,2.3K,25,0,without_company
D:\untitled3\.\hubs\distributed_systems,null,766750,Timur_O2,2023-10-11T11:42:04.000Z,704,,704,6,0,without_company
D:\untitled3\.\hubs\distributed_systems,null,764272,PashaPodolsky,2023-10-04T06:25:44.000Z,19K,,19K,159,8,without_company
D:\untitled3\.\hubs\distributed_systems,null,764114,tdOS,2023-09-28T10:25:42.000Z,2K,,2K,18,5,without_company
D:\untitled3\.\hubs\distributed_systems,null,763938,eivanov,2023-09-27T16:47:17.000Z,2K,,2K,16,2,without_company
D:\untitled3\.\hubs\distributed_systems,null,762678,jirfag,2023-09-27T07:00:18.000Z,28K,,28K,249,32,without_company
D:\untitled3\.\hubs\distributed_systems,null,763288,ArchitectSimbirSoft,2023-09-25T13:11:38.000Z,1.4K,,1.4K,11,4,without_company
D:\untitled3\.\hubs\distributed_systems,null,763164,Tuy4ik,2023-09-25T06:01:03.000Z,20K,,20K,144,10,without_company
D:\untitled3\.\hubs\distributed_systems,null,761112,execc_13,2023-09-14T14:09:10.000Z,2.4K,,2.4K,33,0,without_company
D:\untitled3\.\hubs\distributed_systems,null,760730,SergeyPanasenko,2023-09-13T12:35:00.000Z,1.1K,,1.1K,15,5,without_company
D:\untitled3\.\hubs\distributed_systems,null,753404,NorthDragon,2023-09-08T05:37:36.000Z,1.8K,,1.8K,21,0,without_company
D:\untitled3\.\hubs\distributed_systems,null,758834,dp1976,2023-09-05T06:25:02.000Z,1.6K,,1.6K,2,2,without_company
D:\untitled3\.\hubs\distributed_systems,null,757440,GrishinAlex,2023-08-29T11:17:20.000Z,15K,,15K,108,7,without_company
D:\untitled3\.\hubs\distributed_systems,null,756382,edgar-dev20,2023-08-25T13:17:03.000Z,2.2K,,2.2K,18,6,without_company
D:\untitled3\.\hubs\distributed_systems,null,756890,systemarch,2023-08-25T09:04:18.000Z,4.7K,,4.7K,32,32,without_company
D:\untitled3\.\hubs\distributed_systems,null,755626,Sivchenko_translate,2023-08-19T10:34:40.000Z,3K,,3K,20,0,without_company
D:\untitled3\.\hubs\distributed_systems,null,754598,neshkeev,2023-08-15T03:06:28.000Z,1.1K,,1.1K,17,2,without_company
D:\untitled3\.\hubs\distributed_systems,null,754456,zapp,2023-08-14T11:37:32.000Z,780,,780,2,2,without_company
D:\untitled3\.\hubs\distributed_systems,null,754340,Sivchenko_translate,2023-08-13T20:01:55.000Z,5.7K,,5.7K,37,3,without_company
D:\untitled3\.\hubs\distributed_systems,null,753276,IvaYan,2023-08-11T11:00:01.000Z,2.6K,,2.6K,33,3,without_company
D:\untitled3\.\hubs\distributed_systems,null,753904,neshkeev,2023-08-10T23:07:05.000Z,3.2K,,3.2K,55,2,without_company
D:\untitled3\.\hubs\distributed_systems,null,753248,asermilov,2023-08-10T09:30:01.000Z,11K,,11K,75,7,without_company
D:\untitled3\.\hubs\distributed_systems,null,751786,ogun,2023-08-01T12:59:12.000Z,867,,867,2,6,without_company
