hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\dwh,null,776258,qlever,2023-11-24T16:01:22.000Z,3.8K,,3.8K,19,4,/ru/hubs/dwh/
D:\untitled3\.\hubs\dwh,null,776248,Alek_Che,2023-11-24T15:31:50.000Z,946,,946,9,0,/ru/companies/modusbi/articles/
D:\untitled3\.\hubs\dwh,null,775574,GromovBI,2023-11-23T07:51:48.000Z,19K,,19K,178,6,/ru/hubs/bigdata/
D:\untitled3\.\hubs\dwh,null,775156,Sivchenko_translate,2023-11-20T13:31:19.000Z,7.2K,,7.2K,59,42,/ru/hubs/programming/
D:\untitled3\.\hubs\dwh,null,774712,napit_ok,2023-11-20T10:41:49.000Z,18K,,18K,175,16,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\dwh,null,774624,aabzel,2023-11-19T00:21:44.000Z,5.5K,,5.5K,35,33,/ru/hubs/c/
D:\untitled3\.\hubs\dwh,null,774566,sakhinov,2023-11-17T09:07:41.000Z,1.1K,,1.1K,6,4,/ru/companies/nornickel/articles/
D:\untitled3\.\hubs\dwh,null,773884,DmKrg,2023-11-16T15:58:42.000Z,1.8K,,1.8K,22,0,/ru/companies/banki/articles/
D:\untitled3\.\hubs\dwh,null,774026,yurabeznos,2023-11-15T08:22:33.000Z,27K,,27K,57,165,/ru/hubs/algorithms/
D:\untitled3\.\hubs\dwh,null,773584,Rombneromb,2023-11-13T12:32:09.000Z,6.8K,,6.8K,23,2,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\dwh,null,773038,Aconitum_napellus,2023-11-10T11:06:56.000Z,22K,,22K,176,81,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\dwh,null,772980,gfx_pro,2023-11-09T18:03:42.000Z,10K,,10K,90,9,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\dwh,null,772546,skovalev,2023-11-08T12:37:55.000Z,8.3K,,8.3K,9,6,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\dwh,null,772348,AndreyMitrofanov,2023-11-07T12:25:29.000Z,3.2K,,3.2K,8,9,/ru/companies/x-com/articles/
D:\untitled3\.\hubs\dwh,null,771796,dataline,2023-11-07T11:33:56.000Z,2.1K,,2.1K,5,4,/ru/companies/dataline/articles/
D:\untitled3\.\hubs\dwh,null,771726,erbanovanastasia,2023-11-03T10:42:27.000Z,5.7K,,5.7K,53,16,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\dwh,null,771294,klimensky,2023-11-01T11:27:31.000Z,8.6K,,8.6K,26,30,/ru/companies/first/articles/
D:\untitled3\.\hubs\dwh,null,770678,itglobalcom,2023-10-30T11:00:01.000Z,1.8K,,1.8K,12,0,/ru/companies/itglobalcom/articles/
D:\untitled3\.\hubs\dwh,null,770300,gmelikov,2023-10-30T10:40:27.000Z,13K,,13K,95,79,/ru/companies/vk/articles/
