hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\easyelectronics,null,767386,aabzel,2023-11-26T00:37:42.000Z,3.5K,,3.5K,22,21,without_company
D:\untitled3\.\hubs\easyelectronics,null,774500,Lunathecat,2023-11-25T14:00:01.000Z,28K,,28K,72,14,without_company
D:\untitled3\.\hubs\easyelectronics,null,775718,lws0954,2023-11-22T15:28:45.000Z,11K,,11K,103,85,without_company
D:\untitled3\.\hubs\easyelectronics,null,771652,dmitriyrudnev,2023-11-21T09:00:02.000Z,4.3K,,4.3K,31,8,without_company
D:\untitled3\.\hubs\easyelectronics,null,775174,anvos,2023-11-21T05:10:02.000Z,4.4K,,4.4K,34,6,without_company
D:\untitled3\.\hubs\easyelectronics,null,774276,Bright_Translate,2023-11-19T10:00:02.000Z,10K,,10K,63,44,without_company
D:\untitled3\.\hubs\easyelectronics,null,774652,RF_Pavel,2023-11-17T11:57:52.000Z,6.4K,,6.4K,34,18,without_company
D:\untitled3\.\hubs\easyelectronics,null,773736,Lunathecat,2023-11-17T09:00:01.000Z,2.6K,,2.6K,15,3,without_company
D:\untitled3\.\hubs\easyelectronics,null,774230,DigitalTatarstan,2023-11-16T07:18:56.000Z,940,,940,12,0,without_company
D:\untitled3\.\hubs\easyelectronics,null,757000,aabzel,2023-11-15T23:12:09.000Z,8.2K,,8.2K,91,26,without_company
D:\untitled3\.\hubs\easyelectronics,null,772824,Tirarex,2023-11-14T13:00:01.000Z,21K,,21K,41,188,without_company
D:\untitled3\.\hubs\easyelectronics,null,769872,dmitriyrudnev,2023-11-14T09:00:04.000Z,6.9K,,6.9K,51,22,without_company
D:\untitled3\.\hubs\easyelectronics,null,773614,Mickety,2023-11-13T13:06:36.000Z,7.1K,,7.1K,21,34,without_company
D:\untitled3\.\hubs\easyelectronics,null,773550,etherblade,2023-11-13T11:00:12.000Z,985,,985,10,0,without_company
D:\untitled3\.\hubs\easyelectronics,null,773336,checkpoint,2023-11-11T23:46:16.000Z,17K,,17K,60,102,without_company
D:\untitled3\.\hubs\easyelectronics,null,773254,DirtyHornet,2023-11-11T06:50:30.000Z,21K,,21K,49,33,without_company
D:\untitled3\.\hubs\easyelectronics,null,771296,Lunathecat,2023-11-10T09:00:02.000Z,10K,,10K,49,18,without_company
D:\untitled3\.\hubs\easyelectronics,null,768412,iloveradio,2023-11-10T08:07:01.000Z,11K,,11K,31,10,without_company
D:\untitled3\.\hubs\easyelectronics,null,772876,megalloid,2023-11-10T08:01:02.000Z,4.1K,,4.1K,51,9,without_company
D:\untitled3\.\hubs\easyelectronics,null,772032,DAN_SEA,2023-11-09T09:00:02.000Z,24K,,24K,111,98,without_company
D:\untitled3\.\hubs\easyelectronics,null,772322,big-mdm,2023-11-07T11:18:57.000Z,3.3K,,3.3K,50,5,without_company
D:\untitled3\.\hubs\easyelectronics,null,770636,dlinyj,2023-11-03T08:01:02.000Z,21K,,21K,69,70,without_company
D:\untitled3\.\hubs\easyelectronics,null,769136,DAN_SEA,2023-10-31T09:00:01.000Z,6.7K,,6.7K,42,20,without_company
D:\untitled3\.\hubs\easyelectronics,null,770572,Sukhachev_KIR,2023-10-29T13:25:37.000Z,7.7K,,7.7K,45,23,without_company
D:\untitled3\.\hubs\easyelectronics,null,770454,stiger19,2023-10-28T07:10:29.000Z,12K,,12K,97,11,without_company
D:\untitled3\.\hubs\easyelectronics,null,769436,Lunathecat,2023-10-26T13:00:02.000Z,4.8K,,4.8K,35,20,without_company
D:\untitled3\.\hubs\easyelectronics,null,769142,CyberexTech,2023-10-23T14:01:01.000Z,21K,,21K,118,86,without_company
D:\untitled3\.\hubs\easyelectronics,null,765402,iliasam,2023-10-23T10:59:33.000Z,20K,,20K,80,37,without_company
D:\untitled3\.\hubs\easyelectronics,null,767844,DAN_SEA,2023-10-22T14:00:02.000Z,12K,,12K,79,33,without_company
D:\untitled3\.\hubs\easyelectronics,null,766894,Lunathecat,2023-10-20T09:00:02.000Z,15K,,15K,31,5,without_company
D:\untitled3\.\hubs\easyelectronics,null,768192,KeisN13,2023-10-18T06:13:48.000Z,1.4K,,1.4K,8,4,without_company
D:\untitled3\.\hubs\easyelectronics,null,766002,iloveradio,2023-10-17T09:17:01.000Z,8K,,8K,60,13,without_company
D:\untitled3\.\hubs\easyelectronics,null,767094,CyberexTech,2023-10-16T08:01:02.000Z,7.6K,,7.6K,57,30,without_company
D:\untitled3\.\hubs\easyelectronics,null,767518,ivef,2023-10-15T07:34:59.000Z,3.9K,,3.9K,20,28,without_company
D:\untitled3\.\hubs\easyelectronics,null,766452,Kopcheniy,2023-10-13T08:01:02.000Z,4.8K,,4.8K,23,20,without_company
D:\untitled3\.\hubs\easyelectronics,null,766066,DAN_SEA,2023-10-12T13:00:01.000Z,15K,,15K,140,21,without_company
D:\untitled3\.\hubs\easyelectronics,null,765626,YuriPanchul,2023-10-12T07:32:44.000Z,3.8K,,3.8K,15,6,without_company
D:\untitled3\.\hubs\easyelectronics,null,766766,RV3EFE,2023-10-12T06:43:18.000Z,3.9K,,3.9K,8,12,without_company
D:\untitled3\.\hubs\easyelectronics,null,765896,aabzel,2023-10-10T14:59:01.000Z,4.6K,,4.6K,30,15,without_company
D:\untitled3\.\hubs\easyelectronics,null,766468,a-re-ja,2023-10-10T09:44:53.000Z,11K,,11K,127,10,without_company
D:\untitled3\.\hubs\easyelectronics,null,766050,CoolerLab1,2023-10-08T11:56:34.000Z,1.7K,,1.7K,22,11,without_company
D:\untitled3\.\hubs\easyelectronics,null,765994,DRoman0v,2023-10-07T23:24:15.000Z,6K,,6K,21,5,without_company
D:\untitled3\.\hubs\easyelectronics,null,765860,Prohard,2023-10-07T17:10:33.000Z,1.7K,,1.7K,26,6,without_company
D:\untitled3\.\hubs\easyelectronics,null,764616,Lunathecat,2023-10-06T09:00:01.000Z,3.9K,,3.9K,33,5,without_company
D:\untitled3\.\hubs\easyelectronics,null,749634,RV3EFE,2023-10-05T00:15:02.000Z,11K,,11K,94,36,without_company
D:\untitled3\.\hubs\easyelectronics,null,764930,CoolerLab1,2023-10-02T22:02:55.000Z,3.6K,,3.6K,29,25,without_company
D:\untitled3\.\hubs\easyelectronics,null,764782,Alekseim,2023-10-02T09:57:44.000Z,3.8K,,3.8K,20,13,without_company
D:\untitled3\.\hubs\easyelectronics,null,764634,YRevich,2023-10-02T08:28:55.000Z,3.4K,,3.4K,39,35,without_company
D:\untitled3\.\hubs\easyelectronics,null,764548,CoolerLab1,2023-09-30T09:41:51.000Z,6.6K,,6.6K,49,27,without_company
D:\untitled3\.\hubs\easyelectronics,null,764092,CyberexTech,2023-09-28T09:06:10.000Z,13K,,13K,73,80,without_company
D:\untitled3\.\hubs\easyelectronics,null,761718,Lunathecat,2023-09-26T13:00:02.000Z,5.9K,,5.9K,44,7,without_company
D:\untitled3\.\hubs\easyelectronics,null,762142,aabzel,2023-09-23T14:45:52.000Z,4.3K,,4.3K,53,152,without_company
D:\untitled3\.\hubs\easyelectronics,null,762834,Cloud4Y,2023-09-22T13:29:08.000Z,12K,,12K,72,14,without_company
