hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\ecm,management,773768,Digital_Design,2023-11-14T07:40:50.000Z,497,,497,3,0,without_company
D:\untitled3\.\hubs\ecm,management,772250,Digital_Design,2023-11-07T09:23:35.000Z,3.8K,,3.8K,16,13,without_company
D:\untitled3\.\hubs\ecm,management,767934,sachugunov,2023-10-17T07:16:48.000Z,1.9K,,1.9K,9,7,without_company
D:\untitled3\.\hubs\ecm,management,761954,gwynbleidd_ra,2023-09-19T09:49:48.000Z,1.1K,,1.1K,1,2,without_company
D:\untitled3\.\hubs\ecm,management,759276,EVRAZ,2023-09-06T14:04:02.000Z,6.1K,,6.1K,12,7,without_company
D:\untitled3\.\hubs\ecm,management,757836,Dan_Melnikov,2023-08-30T08:51:51.000Z,1.3K,,1.3K,3,1,without_company
D:\untitled3\.\hubs\ecm,management,757670,agent-rycha,2023-08-29T13:31:09.000Z,1.8K,,1.8K,9,0,without_company
D:\untitled3\.\hubs\ecm,management,756218,ausland,2023-08-22T13:13:42.000Z,1.6K,,1.6K,8,3,without_company
D:\untitled3\.\hubs\ecm,management,756214,ancorecords,2023-08-22T13:12:32.000Z,974,,974,10,2,without_company
D:\untitled3\.\hubs\ecm,management,737272,DigitalTatarstan,2023-05-24T12:12:57.000Z,1.2K,,1.2K,9,3,without_company
D:\untitled3\.\hubs\ecm,management,728564,SberKorus,2023-04-12T09:26:06.000Z,945,,945,7,1,without_company
D:\untitled3\.\hubs\ecm,management,722208,Nataly_Burtseva,2023-03-14T07:39:05.000Z,2.3K,,2.3K,0,10,without_company
D:\untitled3\.\hubs\ecm,management,711388,vsenko,2023-01-18T11:23:01.000Z,3.7K,,3.7K,15,20,without_company
D:\untitled3\.\hubs\ecm,management,710460,docsvision,2023-01-13T11:50:51.000Z,2.9K,,2.9K,23,9,without_company
D:\untitled3\.\hubs\ecm,management,706574,docsvision,2022-12-21T06:42:01.000Z,3.1K,,3.1K,10,6,without_company
D:\untitled3\.\hubs\ecm,management,703388,itGuevara,2022-12-04T17:20:24.000Z,3.6K,,3.6K,25,21,without_company
D:\untitled3\.\hubs\ecm,management,694768,Alexey_Salaev,2022-10-21T13:40:49.000Z,4.9K,,4.9K,20,1,without_company
D:\untitled3\.\hubs\ecm,management,683226,YremeY,2022-08-18T03:38:33.000Z,2.9K,,2.9K,19,1,without_company
D:\untitled3\.\hubs\ecm,management,681452,vvsurovtsev,2022-08-09T06:26:06.000Z,4.2K,,4.2K,24,2,without_company
D:\untitled3\.\hubs\ecm,management,681290,YremeY,2022-08-07T20:33:05.000Z,3.7K,,3.7K,23,9,without_company
D:\untitled3\.\hubs\ecm,management,675980,Digital_Design,2022-07-11T10:07:43.000Z,1.9K,,1.9K,11,0,without_company
D:\untitled3\.\hubs\ecm,management,671360,dmitriizolotov,2022-06-15T19:14:27.000Z,2.8K,,2.8K,9,3,without_company
D:\untitled3\.\hubs\ecm,management,668684,daniil_dzheparov,2022-05-30T17:55:46.000Z,73K,,73K,58,8,without_company
D:\untitled3\.\hubs\ecm,management,666102,norbit,2022-05-24T07:01:57.000Z,7.7K,,7.7K,40,1,without_company
D:\untitled3\.\hubs\ecm,management,666594,yurikgl,2022-05-19T09:41:23.000Z,3.7K,,3.7K,11,28,without_company
D:\untitled3\.\hubs\ecm,management,666236,Digital_Design,2022-05-17T15:24:25.000Z,2.5K,,2.5K,7,2,without_company
