hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\ecology,popsci,774330,Dmytro_Kikot,2023-11-17T08:00:05.000Z,1.2K,,1.2K,15,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,772220,Dmytro_Kikot,2023-11-08T08:05:02.000Z,1.7K,,1.7K,15,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,772148,OlegSivchenko,2023-11-06T18:36:09.000Z,6K,,6K,32,10,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,770578,mvideo,2023-10-31T08:28:59.000Z,2.3K,,2.3K,20,1,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\ecology,popsci,770780,anastasiy_y,2023-10-30T13:12:39.000Z,18K,,18K,60,187,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\ecology,popsci,769496,uzikoff,2023-10-24T08:24:27.000Z,1.5K,,1.5K,14,9,/ru/hubs/physics/
D:\untitled3\.\hubs\ecology,popsci,766232,MarketAnalyst,2023-10-09T10:49:06.000Z,2.4K,,2.4K,4,16,/ru/hubs/energy/
D:\untitled3\.\hubs\ecology,popsci,762454,Dmytro_Kikot,2023-09-22T07:00:03.000Z,2K,,2K,18,4,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,762560,Petr0v1,2023-09-21T15:03:01.000Z,3.3K,,3.3K,31,29,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\ecology,popsci,762604,SLY_G,2023-09-21T13:11:35.000Z,12K,,12K,41,47,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,761020,CMHungry,2023-09-21T13:00:25.000Z,2.3K,,2.3K,9,0,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\ecology,popsci,761900,Dmytro_Kikot,2023-09-20T07:00:20.000Z,1.4K,,1.4K,18,8,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,762100,Petr0v1,2023-09-19T15:24:32.000Z,5K,,5K,42,40,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\ecology,popsci,760942,Dmytro_Kikot,2023-09-15T07:00:08.000Z,1.2K,,1.2K,17,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,760598,SLY_G,2023-09-13T08:13:02.000Z,49K,,49K,110,680,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,759408,Dmytro_Kikot,2023-09-08T07:00:30.000Z,2.3K,,2.3K,18,5,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,758616,KasDim,2023-09-03T11:07:29.000Z,3.8K,,3.8K,8,26,/ru/hubs/energy/
D:\untitled3\.\hubs\ecology,popsci,758524,divolko3,2023-09-02T09:22:35.000Z,8K,,8K,8,17,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\ecology,popsci,757740,SLY_G,2023-08-30T08:07:01.000Z,4.3K,,4.3K,4,52,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,757560,Dmytro_Kikot,2023-08-30T07:00:25.000Z,7.9K,,7.9K,24,195,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,757088,Nucl0id,2023-08-26T11:32:01.000Z,57K,,57K,90,204,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,756010,SLY_G,2023-08-21T19:21:28.000Z,6.5K,,6.5K,11,1,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,755880,FirstEgo,2023-08-21T10:31:46.000Z,5.9K,,5.9K,20,47,/ru/hubs/energy/
D:\untitled3\.\hubs\ecology,popsci,755168,Dmytro_Kikot,2023-08-18T07:00:06.000Z,1.3K,,1.3K,11,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,753826,iMonin,2023-08-10T13:22:30.000Z,9.6K,,9.6K,35,61,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,753214,Dmytro_Kikot,2023-08-09T07:00:05.000Z,3.6K,,3.6K,21,9,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,752844,Denev,2023-08-06T16:10:20.000Z,7.6K,,7.6K,35,35,/ru/hubs/DIY/
D:\untitled3\.\hubs\ecology,popsci,752186,Hanamime,2023-08-03T08:45:58.000Z,2.9K,,2.9K,7,29,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\ecology,popsci,751484,SLY_G,2023-07-31T11:23:32.000Z,4K,,4K,14,16,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,750118,Dmytro_Kikot,2023-07-26T07:00:32.000Z,1.9K,,1.9K,18,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,748042,SLY_G,2023-07-14T10:31:12.000Z,5.2K,,5.2K,14,74,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,747598,Zel,2023-07-12T15:14:08.000Z,3.1K,,3.1K,11,30,/ru/hubs/energy/
D:\untitled3\.\hubs\ecology,popsci,746372,iMonin,2023-07-06T13:24:48.000Z,3.8K,,3.8K,21,14,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,745404,egor_why,2023-07-02T22:17:16.000Z,4.8K,,4.8K,55,14,/ru/hubs/python/
D:\untitled3\.\hubs\ecology,popsci,745086,IouriVassiliev,2023-06-30T13:15:51.000Z,5.6K,,5.6K,21,85,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,744646,Seleditor,2023-06-28T23:34:02.000Z,4.3K,,4.3K,10,23,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\ecology,popsci,744512,ITMan82,2023-06-28T12:35:10.000Z,20K,,20K,70,103,/ru/companies/itglobalcom/articles/
D:\untitled3\.\hubs\ecology,popsci,744000,Slava_Shumaev,2023-06-26T14:48:52.000Z,8.6K,,8.6K,34,28,/ru/companies/samsung/articles/
D:\untitled3\.\hubs\ecology,popsci,743868,anastasiy_y,2023-06-26T08:40:12.000Z,2.8K,,2.8K,58,10,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\ecology,popsci,743228,Dmytro_Kikot,2023-06-23T07:00:02.000Z,3.3K,,3.3K,9,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\ecology,popsci,742032,SmartEngines,2023-06-16T09:39:34.000Z,1.3K,,1.3K,7,9,/ru/companies/smartengines/articles/
D:\untitled3\.\hubs\ecology,popsci,741578,ushim,2023-06-13T22:40:44.000Z,38K,,38K,81,1040,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,740778,SLY_G,2023-06-08T19:00:45.000Z,4K,,4K,21,42,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,740432,virtual_explorer,2023-06-07T11:10:14.000Z,18K,,18K,48,506,/ru/companies/first/articles/
D:\untitled3\.\hubs\ecology,popsci,740356,anastasiy_y,2023-06-07T08:33:37.000Z,6.1K,,6.1K,47,15,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\ecology,popsci,739334,sloniki,2023-06-02T07:08:57.000Z,4.2K,,4.2K,19,39,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,738690,GeorgKDeft,2023-06-01T04:07:00.000Z,6.8K,,6.8K,21,11,/ru/hubs/popular_science/
D:\untitled3\.\hubs\ecology,popsci,738940,Berdchen,2023-05-31T13:22:59.000Z,2.3K,,2.3K,8,100,/ru/hubs/energy/
D:\untitled3\.\hubs\ecology,popsci,738544,anastasiy_y,2023-05-30T10:20:52.000Z,6.3K,,6.3K,46,16,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\ecology,popsci,737354,XNadoricheva,2023-05-24T16:35:17.000Z,1.7K,,1.7K,25,4,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\ecology,popsci,737268,Hanamime,2023-05-24T11:57:07.000Z,5.1K,,5.1K,22,26,/ru/companies/sberbank/articles/
