hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\ecommerce,null,775848,vikdovnar,2023-11-23T10:08:48.000Z,2K,,2K,6,1,without_company
D:\untitled3\.\hubs\ecommerce,null,775760,Pavel_Koryakin,2023-11-22T18:43:50.000Z,13K,,13K,17,21,without_company
D:\untitled3\.\hubs\ecommerce,null,774396,SuperLeha,2023-11-17T06:30:02.000Z,781,,781,5,1,without_company
D:\untitled3\.\hubs\ecommerce,null,774242,vikdovnar,2023-11-16T10:21:31.000Z,2K,,2K,11,5,without_company
D:\untitled3\.\hubs\ecommerce,null,773450,NRF,2023-11-14T15:56:28.000Z,1.6K,,1.6K,7,0,without_company
D:\untitled3\.\hubs\ecommerce,null,772836,vikdovnar,2023-11-10T09:11:33.000Z,11K,,11K,16,10,without_company
D:\untitled3\.\hubs\ecommerce,null,768860,MAKO_digital,2023-10-20T13:22:08.000Z,611,,611,6,2,without_company
D:\untitled3\.\hubs\ecommerce,null,767830,AndreyMaksimovS,2023-10-19T08:25:48.000Z,1.5K,,1.5K,21,0,without_company
D:\untitled3\.\hubs\ecommerce,null,766024,dmitrykabanov,2023-10-15T09:05:38.000Z,1.1K,,1.1K,19,0,without_company
D:\untitled3\.\hubs\ecommerce,null,765392,AndreyKotlov,2023-10-04T18:03:15.000Z,1.6K,,1.6K,29,0,without_company
D:\untitled3\.\hubs\ecommerce,null,761028,Uzum,2023-10-03T08:59:41.000Z,1.4K,,1.4K,5,3,without_company
D:\untitled3\.\hubs\ecommerce,null,763306,blv,2023-09-26T07:07:17.000Z,6.7K,,6.7K,29,24,without_company
D:\untitled3\.\hubs\ecommerce,null,762720,SuperLeha,2023-09-22T07:20:38.000Z,676,,676,4,0,without_company
D:\untitled3\.\hubs\ecommerce,null,761470,max_zhukov,2023-09-16T10:35:20.000Z,2.1K,,2.1K,24,0,without_company
D:\untitled3\.\hubs\ecommerce,null,754776,parshikov,2023-09-11T08:02:01.000Z,2.7K,,2.7K,13,1,without_company
D:\untitled3\.\hubs\ecommerce,null,757622,vika_bolshova,2023-08-30T13:30:33.000Z,1.5K,,1.5K,10,11,without_company
D:\untitled3\.\hubs\ecommerce,null,756590,ITMan82,2023-08-24T06:37:38.000Z,2.3K,,2.3K,7,4,without_company
D:\untitled3\.\hubs\ecommerce,null,756022,AndreyKotlov,2023-08-22T11:18:02.000Z,783,,783,7,3,without_company
D:\untitled3\.\hubs\ecommerce,null,755860,maratyusupov,2023-08-21T09:30:49.000Z,1.6K,,1.6K,4,4,without_company
D:\untitled3\.\hubs\ecommerce,null,753024,makasin4ik,2023-08-07T11:04:29.000Z,3.9K,,3.9K,12,15,without_company
D:\untitled3\.\hubs\ecommerce,null,750494,sashadzen,2023-07-27T06:12:06.000Z,4.6K,,4.6K,44,23,without_company
