hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\edu,null,776394,snakers4,2023-11-25T19:05:50.000Z,9.2K,,9.2K,70,33,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,760360,krumpans,2023-09-12T14:28:17.000Z,3.6K,,3.6K,10,11,/ru/hubs/study/
D:\untitled3\.\hubs\edu,null,759702,Algea83,2023-09-08T08:21:20.000Z,9.8K,,9.8K,36,21,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,754924,YuriPanchul,2023-08-16T08:37:13.000Z,2.4K,,2.4K,20,7,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\edu,null,753698,SmartLockMaster,2023-08-10T06:41:38.000Z,2K,,2K,6,3,/ru/hubs/freelance/
D:\untitled3\.\hubs\edu,null,752192,lesallaydialog,2023-08-04T09:30:01.000Z,975,,975,5,1,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,745634,lesallaydialog,2023-07-10T08:03:08.000Z,3.1K,,3.1K,5,3,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,746700,KSIK_9,2023-07-07T21:47:27.000Z,3.1K,,3.1K,11,8,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,746154,AskKuzma,2023-07-05T18:13:10.000Z,1.5K,,1.5K,10,1,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\edu,null,740730,Blastim,2023-06-08T13:34:49.000Z,8.6K,,8.6K,19,1,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,738254,putninv,2023-05-29T10:05:18.000Z,8.2K,,8.2K,42,21,/ru/hubs/study/
D:\untitled3\.\hubs\edu,null,737874,lesallaydialog,2023-05-26T13:21:37.000Z,2.5K,,2.5K,9,2,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,733638,lesallaydialog,2023-05-12T09:11:20.000Z,7.3K,,7.3K,11,8,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,730492,lesallaydialog,2023-04-21T08:23:09.000Z,1.5K,,1.5K,14,4,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,726440,visirok,2023-04-02T16:36:26.000Z,8K,,8K,27,9,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,725892,lesallaydialog,2023-03-31T13:44:42.000Z,1.7K,,1.7K,12,0,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,724878,ser5kovskiy,2023-03-26T21:15:47.000Z,5.1K,,5.1K,17,1,/ru/hubs/study/
D:\untitled3\.\hubs\edu,null,720250,lesallaydialog,2023-03-03T11:50:15.000Z,3.1K,,3.1K,16,2,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,717616,lesallaydialog,2023-02-20T11:54:24.000Z,8.3K,,8.3K,24,0,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,717734,TutMee,2023-02-18T08:46:01.000Z,1.4K,,1.4K,0,0,/ru/hubs/graph_design/
D:\untitled3\.\hubs\edu,null,716144,lesallaydialog,2023-02-10T12:27:39.000Z,4.1K,,4.1K,5,6,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,714906,tolambo,2023-02-05T09:08:26.000Z,7.4K,,7.4K,18,4,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,713932,lesallaydialog,2023-02-02T08:33:04.000Z,2.6K,,2.6K,6,0,/ru/companies/lesallay_dialog/articles/
D:\untitled3\.\hubs\edu,null,711950,Niilsa,2023-01-21T06:12:21.000Z,7.4K,,7.4K,15,12,/ru/hubs/study/
D:\untitled3\.\hubs\edu,null,709878,evgeni_fis,2023-01-10T11:17:25.000Z,58K,,58K,31,14,/ru/hubs/freelance/
D:\untitled3\.\hubs\edu,null,708382,semolina_channel,2022-12-29T07:48:33.000Z,5.4K,,5.4K,20,12,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,707420,lesallaydialog,2022-12-23T16:32:36.000Z,2.7K,,2.7K,10,11,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,706628,lesallaydialog,2022-12-20T11:56:17.000Z,5K,,5K,20,6,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,702362,lilia_urmazova,2022-11-29T15:19:01.000Z,2.8K,,2.8K,17,9,/ru/hubs/it_testing/
D:\untitled3\.\hubs\edu,null,699588,crazyfrogspb1,2022-11-15T17:47:07.000Z,6.6K,,6.6K,47,6,/ru/hubs/machine_learning/
D:\untitled3\.\hubs\edu,null,698988,YuriPanchul,2022-11-14T06:14:25.000Z,29K,,29K,37,177,/ru/hubs/fpga/
D:\untitled3\.\hubs\edu,null,697258,karina_english,2022-11-03T09:29:21.000Z,3.9K,,3.9K,33,13,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,693958,athoremmes,2022-10-18T06:00:03.000Z,12K,,12K,34,29,/ru/hubs/study/
D:\untitled3\.\hubs\edu,null,691348,f1ashag,2022-10-04T06:38:49.000Z,9.4K,,9.4K,47,6,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,690230,shevchikblog,2022-09-26T14:29:37.000Z,54K,,54K,271,72,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,690090,f1ashag,2022-09-26T07:17:09.000Z,126K,,126K,423,271,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,682310,p13rr0t,2022-08-13T01:13:55.000Z,5.6K,,5.6K,22,11,/ru/hubs/edu/
D:\untitled3\.\hubs\edu,null,681114,Metod12,2022-08-05T16:58:08.000Z,34K,,34K,225,86,/ru/hubs/reverse-engineering/
D:\untitled3\.\hubs\edu,null,675612,RAAD,2022-07-07T09:19:24.000Z,13K,,13K,14,0,/ru/hubs/research/
D:\untitled3\.\hubs\edu,null,672422,athoremmes,2022-06-20T13:06:47.000Z,41K,,41K,143,117,/ru/hubs/maths/
D:\untitled3\.\hubs\edu,null,670374,aimfirst,2022-06-14T07:01:13.000Z,58K,,58K,244,309,/ru/companies/lanit/articles/
D:\untitled3\.\hubs\edu,null,663142,MC_DRaggon_Requiem,2022-04-26T20:37:42.000Z,5K,,5K,19,5,/ru/hubs/startuprise/
D:\untitled3\.\hubs\edu,null,660141,ADiaikin,2022-04-11T08:19:50.000Z,8.2K,,8.2K,17,119,/ru/companies/parallels/articles/
