hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\electronics,null,776454,Azavr,2023-11-26T10:31:25.000Z,758,,758,12,0,/ru/hubs/industrial_control_system/
D:\untitled3\.\hubs\electronics,null,767386,aabzel,2023-11-26T00:37:42.000Z,3.5K,,3.5K,22,21,/ru/hubs/maths/
D:\untitled3\.\hubs\electronics,null,775974,sokolovps,2023-11-23T13:47:09.000Z,5.5K,,5.5K,28,6,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\electronics,null,775772,Dmitrii43,2023-11-23T07:00:02.000Z,8.2K,,8.2K,30,35,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\electronics,null,775718,lws0954,2023-11-22T15:28:45.000Z,11K,,11K,103,85,/ru/hubs/lib/
D:\untitled3\.\hubs\electronics,null,775706,DirtyHornet,2023-11-22T14:41:13.000Z,14K,,14K,40,47,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,775692,andreev_dew,2023-11-22T13:54:34.000Z,4.1K,,4.1K,7,6,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\electronics,null,775586,andreysolovev,2023-11-22T08:00:20.000Z,2K,,2K,25,0,/ru/hubs/robo_dev/
D:\untitled3\.\hubs\electronics,null,775488,rcl,2023-11-21T19:03:15.000Z,12K,,12K,43,29,/ru/hubs/linux/
D:\untitled3\.\hubs\electronics,null,775174,anvos,2023-11-21T05:10:02.000Z,4.4K,,4.4K,34,6,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,775144,gregyku,2023-11-20T12:59:38.000Z,7.3K,,7.3K,28,18,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\electronics,null,774876,Seleditor,2023-11-19T01:16:54.000Z,18K,,18K,8,20,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,774652,RF_Pavel,2023-11-17T11:57:52.000Z,6.4K,,6.4K,34,18,/ru/hubs/circuit-design/
D:\untitled3\.\hubs\electronics,null,774634,klimensky,2023-11-17T11:14:02.000Z,6.6K,,6.6K,40,32,/ru/companies/first/articles/
D:\untitled3\.\hubs\electronics,null,767190,PatientZero,2023-11-17T07:57:28.000Z,6.2K,,6.2K,13,11,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,774202,Seleditor,2023-11-15T23:05:23.000Z,16K,,16K,11,28,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,773852,rcl,2023-11-15T17:13:15.000Z,3.8K,,3.8K,20,8,/ru/hubs/linux_dev/
D:\untitled3\.\hubs\electronics,null,774122,Oksana_Nedvigina,2023-11-15T13:34:58.000Z,8.4K,,8.4K,41,65,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\electronics,null,774082,ru_vds,2023-11-15T13:00:02.000Z,9K,,9K,75,6,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\electronics,null,773970,DRoman0v,2023-11-14T23:27:13.000Z,48K,,48K,38,86,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,772824,Tirarex,2023-11-14T13:00:01.000Z,21K,,21K,41,188,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\electronics,null,773550,etherblade,2023-11-13T11:00:12.000Z,985,,985,10,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\electronics,null,773392,vvvphoenix,2023-11-12T13:29:23.000Z,8.8K,,8.8K,28,38,/ru/companies/neimark/articles/
D:\untitled3\.\hubs\electronics,null,773254,DirtyHornet,2023-11-11T06:50:30.000Z,21K,,21K,49,33,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,772632,Bright_Translate,2023-11-10T13:00:01.000Z,22K,,22K,155,46,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\electronics,null,771894,sfsdart,2023-11-09T14:19:52.000Z,8.3K,,8.3K,43,31,/ru/companies/3rdman/articles/
D:\untitled3\.\hubs\electronics,null,772398,Quarta,2023-11-09T10:20:08.000Z,2.1K,,2.1K,13,2,/ru/companies/quarta/articles/
D:\untitled3\.\hubs\electronics,null,772032,DAN_SEA,2023-11-09T09:00:02.000Z,24K,,24K,111,98,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\electronics,null,772308,wofs,2023-11-09T07:00:02.000Z,5.5K,,5.5K,56,18,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\electronics,null,772732,andreysolovev,2023-11-09T04:46:12.000Z,4.9K,,4.9K,35,5,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,772056,sdy,2023-11-06T18:04:10.000Z,29K,,29K,111,64,/ru/companies/3rdman/articles/
D:\untitled3\.\hubs\electronics,null,762508,Indemsys,2023-11-05T08:53:26.000Z,5.2K,,5.2K,55,3,/ru/hubs/controllers/
D:\untitled3\.\hubs\electronics,null,771970,Evgeny_E,2023-11-05T06:08:32.000Z,7.5K,,7.5K,70,23,/ru/hubs/ui/
D:\untitled3\.\hubs\electronics,null,770478,nicher,2023-11-03T15:03:40.000Z,8.9K,,8.9K,80,35,/ru/hubs/c/
D:\untitled3\.\hubs\electronics,null,771680,BiktorSergeev,2023-11-03T07:52:26.000Z,3.8K,,3.8K,21,0,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\electronics,null,771402,Seleditor,2023-11-01T23:39:49.000Z,8.6K,,8.6K,8,91,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,770748,GarryC,2023-10-30T13:56:38.000Z,3.8K,,3.8K,11,16,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,770572,Sukhachev_KIR,2023-10-29T13:25:37.000Z,7.7K,,7.7K,45,23,/ru/hubs/fpga/
D:\untitled3\.\hubs\electronics,null,770454,stiger19,2023-10-28T07:10:29.000Z,12K,,12K,97,11,/ru/hubs/controllers/
D:\untitled3\.\hubs\electronics,null,768688,ser-mk,2023-10-25T08:08:25.000Z,2.5K,,2.5K,58,0,/ru/hubs/system_programming/
D:\untitled3\.\hubs\electronics,null,769634,PumpIT,2023-10-24T13:44:52.000Z,24K,,24K,68,34,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\electronics,null,769004,Indemsys,2023-10-23T10:15:36.000Z,2.1K,,2.1K,16,2,/ru/hubs/robo_dev/
D:\untitled3\.\hubs\electronics,null,768974,divolko3,2023-10-22T10:00:04.000Z,5.2K,,5.2K,15,11,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\electronics,null,769054,DRoman0v,2023-10-21T23:55:34.000Z,14K,,14K,25,45,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,768784,itglobalcom,2023-10-20T11:00:01.000Z,2.6K,,2.6K,7,4,/ru/companies/itglobalcom/articles/
D:\untitled3\.\hubs\electronics,null,768768,Selishcheva,2023-10-20T09:01:31.000Z,1K,,1K,5,0,/ru/companies/misis/articles/
D:\untitled3\.\hubs\electronics,null,768480,Dmytro_Kikot,2023-10-20T07:00:08.000Z,495,,495,7,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\electronics,null,768082,Indemsys,2023-10-18T06:44:52.000Z,8.2K,,8.2K,77,23,/ru/hubs/robo_dev/
D:\untitled3\.\hubs\electronics,null,766488,DrEmmettBrown,2023-10-17T07:01:06.000Z,5.5K,,5.5K,40,38,/ru/companies/lanit/articles/
D:\untitled3\.\hubs\electronics,null,767094,CyberexTech,2023-10-16T08:01:02.000Z,7.6K,,7.6K,57,30,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\electronics,null,767610,DRoman0v,2023-10-16T01:03:08.000Z,13K,,13K,32,53,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,767280,SolaireOfAstora,2023-10-13T11:56:39.000Z,32K,,32K,40,135,/ru/hubs/business-laws/
D:\untitled3\.\hubs\electronics,null,761886,vanellopka,2023-10-12T23:21:30.000Z,17K,,17K,26,14,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,765626,YuriPanchul,2023-10-12T07:32:44.000Z,3.8K,,3.8K,15,6,/ru/hubs/fpga/
D:\untitled3\.\hubs\electronics,null,766766,RV3EFE,2023-10-12T06:43:18.000Z,3.9K,,3.9K,8,12,/ru/hubs/reverse-engineering/
D:\untitled3\.\hubs\electronics,null,766778,ru_vds,2023-10-11T13:00:13.000Z,7K,,7K,34,17,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\electronics,null,766414,Dmytro_Kikot,2023-10-11T07:00:23.000Z,1.9K,,1.9K,7,2,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\electronics,null,766612,DRoman0v,2023-10-10T21:54:28.000Z,1.9K,,1.9K,3,0,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,765896,aabzel,2023-10-10T14:59:01.000Z,4.6K,,4.6K,30,15,/ru/hubs/controllers/
D:\untitled3\.\hubs\electronics,null,766468,a-re-ja,2023-10-10T09:44:53.000Z,11K,,11K,127,10,/ru/hubs/circuit-design/
D:\untitled3\.\hubs\electronics,null,766250,ru_vds,2023-10-09T13:00:01.000Z,13K,,13K,67,1,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\electronics,null,766050,CoolerLab1,2023-10-08T11:56:34.000Z,1.7K,,1.7K,22,11,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\electronics,null,765942,IvanGrigorjev,2023-10-07T08:46:12.000Z,3.2K,,3.2K,18,56,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,765584,hailler,2023-10-05T14:34:52.000Z,4K,,4K,12,7,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,765498,vitalypobedinsky,2023-10-05T08:10:03.000Z,12K,,12K,30,37,/ru/hubs/controllers/
D:\untitled3\.\hubs\electronics,null,765306,CyberexTech,2023-10-05T08:01:01.000Z,7K,,7K,71,23,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\electronics,null,749634,RV3EFE,2023-10-05T00:15:02.000Z,11K,,11K,94,36,/ru/hubs/circuit-design/
D:\untitled3\.\hubs\electronics,null,764930,CoolerLab1,2023-10-02T22:02:55.000Z,3.6K,,3.6K,29,25,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\electronics,null,764782,Alekseim,2023-10-02T09:57:44.000Z,3.8K,,3.8K,20,13,/ru/hubs/dev_management/
D:\untitled3\.\hubs\electronics,null,764056,yadro_team,2023-10-02T09:06:45.000Z,9.4K,,9.4K,94,30,/ru/companies/yadro/articles/
D:\untitled3\.\hubs\electronics,null,762064,monreve,2023-10-02T00:47:02.000Z,20K,,20K,16,29,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,764092,CyberexTech,2023-09-28T09:06:10.000Z,13K,,13K,73,80,/ru/hubs/java/
D:\untitled3\.\hubs\electronics,null,763854,divolko3,2023-09-28T07:00:02.000Z,4.3K,,4.3K,21,17,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\electronics,null,763482,Dmytro_Kikot,2023-09-27T07:00:13.000Z,1.7K,,1.7K,14,2,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\electronics,null,763588,SolaireOfAstora,2023-09-26T13:25:16.000Z,44K,,44K,83,160,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\electronics,null,763148,YuriPanchul,2023-09-25T04:24:15.000Z,30K,,30K,51,61,/ru/hubs/hi/
D:\untitled3\.\hubs\electronics,null,762062,monreve,2023-09-24T18:30:07.000Z,27K,,27K,29,61,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,762142,aabzel,2023-09-23T14:45:52.000Z,4.3K,,4.3K,53,152,/ru/hubs/c/
D:\untitled3\.\hubs\electronics,null,762068,monreve,2023-09-22T02:42:12.000Z,9K,,9K,13,54,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,762108,YuriPanchul,2023-09-21T09:29:26.000Z,4.1K,,4.1K,21,28,/ru/hubs/fpga/
D:\untitled3\.\hubs\electronics,null,761768,SergeyAstanin,2023-09-19T07:54:35.000Z,4.4K,,4.4K,30,17,/ru/hubs/controllers/
D:\untitled3\.\hubs\electronics,null,761784,sokolovps,2023-09-18T16:00:01.000Z,7.9K,,7.9K,40,24,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\electronics,null,761604,RV3EFE,2023-09-17T20:01:12.000Z,3.4K,,3.4K,4,0,/ru/hubs/reverse-engineering/
D:\untitled3\.\hubs\electronics,null,761584,Seleditor,2023-09-17T16:52:43.000Z,17K,,17K,9,21,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,761354,ko_ya,2023-09-15T16:00:02.000Z,4.1K,,4.1K,18,5,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\electronics,null,761162,vvvphoenix,2023-09-14T18:20:43.000Z,25K,,25K,88,31,/ru/hubs/hr_management/
D:\untitled3\.\hubs\electronics,null,761128,Berkseo,2023-09-14T16:15:15.000Z,15K,,15K,72,59,/ru/hubs/wireless/
D:\untitled3\.\hubs\electronics,null,761052,headmusic,2023-09-14T10:23:39.000Z,4.4K,,4.4K,20,26,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,760918,Evgeny_E,2023-09-13T21:17:32.000Z,5.7K,,5.7K,42,20,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,760844,etherblade,2023-09-13T14:48:09.000Z,3.7K,,3.7K,55,17,/ru/hubs/open_source/
D:\untitled3\.\hubs\electronics,null,760632,Seleditor,2023-09-12T23:31:44.000Z,5.5K,,5.5K,4,0,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,760088,aabzel,2023-09-12T21:06:40.000Z,5.1K,,5.1K,66,83,/ru/hubs/c/
D:\untitled3\.\hubs\electronics,null,760472,headmusic,2023-09-12T10:48:09.000Z,6.2K,,6.2K,11,48,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,760378,Seleditor,2023-09-12T00:28:09.000Z,21K,,21K,54,38,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,759902,divolko3,2023-09-11T08:00:01.000Z,4.5K,,4.5K,21,2,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\electronics,null,760136,vvvphoenix,2023-09-11T07:19:18.000Z,24K,,24K,41,33,/ru/hubs/hr_management/
D:\untitled3\.\hubs\electronics,null,759870,aabzel,2023-09-09T12:38:22.000Z,1.7K,,1.7K,4,6,/ru/hubs/controllers/
D:\untitled3\.\hubs\electronics,null,759876,Evgeny_E,2023-09-08T22:00:05.000Z,4.9K,,4.9K,41,17,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,759712,Evgeny_E,2023-09-08T08:44:33.000Z,4.5K,,4.5K,41,12,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,759614,vvvphoenix,2023-09-07T16:23:07.000Z,22K,,22K,35,27,/ru/hubs/hr_management/
D:\untitled3\.\hubs\electronics,null,759478,Dmitrii43,2023-09-07T09:07:43.000Z,3.1K,,3.1K,20,3,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\electronics,null,759260,andreev_dew,2023-09-06T11:47:14.000Z,3.1K,,3.1K,10,2,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\electronics,null,759214,headmusic,2023-09-06T08:59:01.000Z,2.2K,,2.2K,12,6,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,759006,a9d,2023-09-05T10:30:38.000Z,2.5K,,2.5K,35,16,/ru/hubs/c/
D:\untitled3\.\hubs\electronics,null,713098,Sagidullin,2023-09-05T02:13:39.000Z,20K,,20K,13,40,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,758582,Leka_engineer,2023-09-04T12:15:01.000Z,8K,,8K,24,13,/ru/hubs/prototyping/
D:\untitled3\.\hubs\electronics,null,758618,Indemsys,2023-09-04T07:15:28.000Z,4.9K,,4.9K,49,14,/ru/hubs/robo_dev/
D:\untitled3\.\hubs\electronics,null,758682,osmam,2023-09-04T03:41:38.000Z,1.6K,,1.6K,20,15,/ru/hubs/electronics/
D:\untitled3\.\hubs\electronics,null,758676,DRoman0v,2023-09-03T23:24:45.000Z,5.8K,,5.8K,27,11,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\electronics,null,757216,aabzel,2023-09-02T23:06:40.000Z,3.9K,,3.9K,33,20,/ru/hubs/programming/
