hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\energy,null,775384,ajava2,2023-11-21T11:28:32.000Z,3K,,3K,8,56,/ru/hubs/startuprise/
D:\untitled3\.\hubs\energy,null,774698,k0mar0v,2023-11-17T13:50:33.000Z,3.7K,,3.7K,14,11,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\energy,null,774330,Dmytro_Kikot,2023-11-17T08:00:05.000Z,1.2K,,1.2K,15,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\energy,null,773306,DAN_SEA,2023-11-16T09:00:02.000Z,6K,,6K,41,10,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,772824,Tirarex,2023-11-14T13:00:01.000Z,21K,,21K,41,188,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,772028,TinyElectronicFriends,2023-11-09T13:00:01.000Z,4.7K,,4.7K,18,6,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,772638,gregyku,2023-11-08T13:13:40.000Z,2K,,2K,19,0,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\energy,null,772310,AlexeyNadezhin,2023-11-07T10:49:28.000Z,2.5K,,2.5K,7,11,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\energy,null,772016,Ringenium,2023-11-05T12:00:10.000Z,12K,,12K,54,28,/ru/hubs/controllers/
D:\untitled3\.\hubs\energy,null,771204,rumin_v_rabote,2023-11-01T07:15:26.000Z,9K,,9K,22,19,/ru/hubs/pm/
D:\untitled3\.\hubs\energy,null,770904,AlexeyNadezhin,2023-10-31T06:44:24.000Z,3.8K,,3.8K,4,3,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\energy,null,770436,SLY_G,2023-10-28T08:04:02.000Z,27K,,27K,21,92,/ru/hubs/smartphones/
D:\untitled3\.\hubs\energy,null,770236,SLY_G,2023-10-27T07:44:02.000Z,7.4K,,7.4K,34,9,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,768864,mpei_iot,2023-10-21T09:00:04.000Z,31K,,31K,67,51,/ru/companies/samsung/articles/
D:\untitled3\.\hubs\energy,null,768600,Ni_Bar,2023-10-19T12:45:13.000Z,2.1K,,2.1K,11,5,/ru/companies/rosatom/articles/
D:\untitled3\.\hubs\energy,null,768416,SLY_G,2023-10-18T21:18:47.000Z,17K,,17K,35,128,/ru/hubs/smartphones/
D:\untitled3\.\hubs\energy,null,768042,AlexeyNadezhin,2023-10-17T11:38:43.000Z,33K,,33K,115,75,/ru/hubs/energy/
D:\untitled3\.\hubs\energy,null,768028,Xcom-shop,2023-10-17T10:47:24.000Z,6.4K,,6.4K,13,19,/ru/companies/x-com/articles/
D:\untitled3\.\hubs\energy,null,767470,SLY_G,2023-10-14T11:48:50.000Z,5.3K,,5.3K,17,43,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,765936,klimensky,2023-10-13T10:48:24.000Z,4.5K,,4.5K,34,9,/ru/companies/first/articles/
D:\untitled3\.\hubs\energy,null,766120,TinyElectronicFriends,2023-10-12T09:00:01.000Z,4.9K,,4.9K,34,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,766232,MarketAnalyst,2023-10-09T10:49:06.000Z,2.4K,,2.4K,4,16,/ru/hubs/energy/
D:\untitled3\.\hubs\energy,null,749634,RV3EFE,2023-10-05T00:15:02.000Z,11K,,11K,94,36,/ru/hubs/circuit-design/
D:\untitled3\.\hubs\energy,null,764206,TinyElectronicFriends,2023-10-04T09:00:01.000Z,8.1K,,8.1K,52,38,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,764404,AlexeyNadezhin,2023-09-29T11:21:04.000Z,3.4K,,3.4K,14,10,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\energy,null,763700,klimensky,2023-09-27T08:11:01.000Z,3.1K,,3.1K,26,4,/ru/companies/first/articles/
D:\untitled3\.\hubs\energy,null,761020,CMHungry,2023-09-21T13:00:25.000Z,2.3K,,2.3K,9,0,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\energy,null,762092,ru_vds,2023-09-20T09:00:02.000Z,15K,,15K,45,32,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,760150,AlexeyNadezhin,2023-09-11T08:08:37.000Z,14K,,14K,33,21,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\energy,null,759722,klimensky,2023-09-08T09:46:59.000Z,38K,,38K,76,56,/ru/companies/first/articles/
D:\untitled3\.\hubs\energy,null,759478,Dmitrii43,2023-09-07T09:07:43.000Z,3.1K,,3.1K,20,3,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\energy,null,758616,KasDim,2023-09-03T11:07:29.000Z,3.8K,,3.8K,8,26,/ru/hubs/energy/
D:\untitled3\.\hubs\energy,null,758372,andreev_dew,2023-09-01T11:32:14.000Z,2.5K,,2.5K,23,2,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\energy,null,757740,SLY_G,2023-08-30T08:07:01.000Z,4.3K,,4.3K,4,52,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,757668,andreev_dew,2023-08-29T13:13:57.000Z,1.6K,,1.6K,11,3,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\energy,null,755102,spiritus_sancti,2023-08-28T09:00:01.000Z,9.9K,,9.9K,44,16,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,756536,Petr0v1,2023-08-23T16:23:38.000Z,2.7K,,2.7K,18,14,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\energy,null,756510,AndreyMitrofanov,2023-08-23T14:33:32.000Z,6.2K,,6.2K,37,9,/ru/companies/x-com/articles/
D:\untitled3\.\hubs\energy,null,755880,FirstEgo,2023-08-21T10:31:46.000Z,5.9K,,5.9K,20,47,/ru/hubs/energy/
D:\untitled3\.\hubs\energy,null,755710,OlegSivchenko,2023-08-20T09:42:50.000Z,4.8K,,4.8K,18,72,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,754284,DAN_SEA,2023-08-18T09:00:01.000Z,19K,,19K,134,113,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,755354,GlobalSign_admin,2023-08-17T20:15:12.000Z,4.3K,,4.3K,8,14,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\energy,null,755226,divolko3,2023-08-17T10:59:33.000Z,7.6K,,7.6K,28,67,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\energy,null,755030,Telnov_WIKI,2023-08-16T13:17:32.000Z,4.4K,,4.4K,28,2,/ru/hubs/energy/
D:\untitled3\.\hubs\energy,null,754980,jaroslau,2023-08-16T10:49:01.000Z,26K,,26K,113,114,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\energy,null,754624,Dmytro_Kikot,2023-08-16T07:00:03.000Z,1.8K,,1.8K,15,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\energy,null,754540,AlboDen,2023-08-14T15:36:13.000Z,7.1K,,7.1K,69,50,/ru/hubs/electronics/
D:\untitled3\.\hubs\energy,null,753500,AlexeyNadezhin,2023-08-09T10:00:51.000Z,53K,,53K,64,81,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\energy,null,753214,Dmytro_Kikot,2023-08-09T07:00:05.000Z,3.6K,,3.6K,21,9,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\energy,null,752402,Bright_Translate,2023-08-05T10:00:01.000Z,3.7K,,3.7K,34,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,751484,SLY_G,2023-07-31T11:23:32.000Z,4K,,4K,14,16,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,750118,Dmytro_Kikot,2023-07-26T07:00:32.000Z,1.9K,,1.9K,18,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\energy,null,749026,AlexeyNadezhin,2023-07-19T10:43:33.000Z,21K,,21K,31,93,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\energy,null,748346,Pisikak,2023-07-16T19:58:22.000Z,16K,,16K,45,87,/ru/hubs/prototyping/
D:\untitled3\.\hubs\energy,null,746230,georgy_zenker,2023-07-15T08:01:02.000Z,5.6K,,5.6K,28,11,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\energy,null,747598,Zel,2023-07-12T15:14:08.000Z,3.1K,,3.1K,11,30,/ru/hubs/energy/
D:\untitled3\.\hubs\energy,null,744712,Dmytro_Kikot,2023-06-30T07:45:14.000Z,3.1K,,3.1K,21,23,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\energy,null,741886,RV3EFE,2023-06-29T20:50:44.000Z,9.8K,,9.8K,63,50,/ru/hubs/circuit-design/
D:\untitled3\.\hubs\energy,null,744638,Dmitrii43,2023-06-29T07:00:01.000Z,1.2K,,1.2K,6,2,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\energy,null,743432,Dmitrii43,2023-06-27T07:07:23.000Z,7.6K,,7.6K,16,64,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\energy,null,743868,anastasiy_y,2023-06-26T08:40:12.000Z,2.8K,,2.8K,58,10,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\energy,null,743680,SLY_G,2023-06-24T16:50:47.000Z,3.6K,,3.6K,10,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,743128,AlexeyNadezhin,2023-06-21T14:11:51.000Z,39K,,39K,43,118,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\energy,null,743030,ritm_energy,2023-06-21T09:26:46.000Z,2.4K,,2.4K,14,1,/ru/companies/etmc_exponenta/articles/
D:\untitled3\.\hubs\energy,null,742548,Aleksandryessin,2023-06-20T11:00:36.000Z,4.9K,,4.9K,33,28,/ru/companies/nlmk/articles/
D:\untitled3\.\hubs\energy,null,742456,SLY_G,2023-06-19T08:12:01.000Z,8.9K,,8.9K,31,8,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,741288,georgy_zenker,2023-06-12T18:36:56.000Z,17K,,17K,49,115,/ru/hubs/reverse-engineering/
D:\untitled3\.\hubs\energy,null,740968,ritm_energy,2023-06-09T12:40:46.000Z,2.7K,,2.7K,10,8,/ru/companies/etmc_exponenta/articles/
D:\untitled3\.\hubs\energy,null,740566,Dmitrii43,2023-06-08T05:00:01.000Z,2.9K,,2.9K,6,7,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\energy,null,740128,KNagorny,2023-06-06T10:42:33.000Z,2.8K,,2.8K,9,0,/ru/companies/Linx/articles/
D:\untitled3\.\hubs\energy,null,740030,SLY_G,2023-06-05T21:24:04.000Z,5K,,5K,12,22,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,738690,GeorgKDeft,2023-06-01T04:07:00.000Z,6.8K,,6.8K,21,11,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,738940,Berdchen,2023-05-31T13:22:59.000Z,2.3K,,2.3K,8,100,/ru/hubs/energy/
D:\untitled3\.\hubs\energy,null,737482,Dmytro_Kikot,2023-05-26T07:00:11.000Z,2.9K,,2.9K,8,4,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\energy,null,737300,EkaterinaKas,2023-05-24T13:09:34.000Z,1.4K,,1.4K,15,1,/ru/companies/bimeister/articles/
D:\untitled3\.\hubs\energy,null,737268,Hanamime,2023-05-24T11:57:07.000Z,5.1K,,5.1K,22,26,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\energy,null,737234,YudinaPolina,2023-05-24T10:29:08.000Z,1.4K,,1.4K,7,13,/ru/hubs/electronics/
D:\untitled3\.\hubs\energy,null,736902,Dmytro_Kikot,2023-05-24T07:00:33.000Z,2.1K,,2.1K,9,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\energy,null,735980,Hanamime,2023-05-19T06:12:08.000Z,20K,,20K,42,136,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\energy,null,735406,megalloid,2023-05-16T14:01:19.000Z,9.4K,,9.4K,71,24,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\energy,null,735046,Arnak,2023-05-15T06:18:44.000Z,50K,,50K,92,469,/ru/companies/getmatch/articles/
D:\untitled3\.\hubs\energy,null,734494,klimensky,2023-05-11T13:06:00.000Z,11K,,11K,33,25,/ru/companies/first/articles/
D:\untitled3\.\hubs\energy,null,734470,SLY_G,2023-05-11T11:55:03.000Z,6.1K,,6.1K,21,9,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,733818,AlexeyNadezhin,2023-05-07T10:23:04.000Z,31K,,31K,50,113,/ru/hubs/energy/
D:\untitled3\.\hubs\energy,null,721658,avshkol,2023-05-06T19:28:11.000Z,5.7K,,5.7K,26,7,/ru/hubs/python/
D:\untitled3\.\hubs\energy,null,733654,SLY_G,2023-05-05T17:03:51.000Z,8.8K,,8.8K,32,9,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,733574,AlexeyNadezhin,2023-05-05T11:51:29.000Z,5.1K,,5.1K,35,1,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\energy,null,729280,TinyElectronicFriends,2023-04-27T17:00:01.000Z,4.2K,,4.2K,19,10,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,731690,Albert_Wesker,2023-04-26T08:02:51.000Z,14K,,14K,37,124,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\energy,null,731492,KNagorny,2023-04-25T11:30:57.000Z,3.2K,,3.2K,8,10,/ru/companies/Linx/articles/
D:\untitled3\.\hubs\energy,null,731412,AlexeyNadezhin,2023-04-25T08:04:06.000Z,46K,,46K,38,350,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\energy,null,728978,Nucl0id,2023-04-18T12:34:20.000Z,22K,,22K,54,50,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,729178,SLY_G,2023-04-14T12:38:24.000Z,3.1K,,3.1K,8,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,728718,SMGO,2023-04-12T20:21:56.000Z,30K,,30K,39,176,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,728368,ru_vds,2023-04-12T09:00:01.000Z,13K,,13K,62,54,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,727908,ksotar,2023-04-10T11:05:44.000Z,5.1K,,5.1K,6,36,/ru/hubs/data_mining/
D:\untitled3\.\hubs\energy,null,726772,Dmytro_Kikot,2023-04-05T07:00:22.000Z,3K,,3K,24,6,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\energy,null,726650,gregyku,2023-04-03T16:07:40.000Z,3.7K,,3.7K,16,1,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\energy,null,705844,jar_ohty,2023-04-02T12:16:01.000Z,15K,,15K,123,33,/ru/hubs/electronics/
D:\untitled3\.\hubs\energy,null,726402,OlegSivchenko,2023-04-02T08:08:50.000Z,3.3K,,3.3K,31,3,/ru/hubs/electronics/
D:\untitled3\.\hubs\energy,null,726236,GeorgKDeft,2023-04-01T12:25:02.000Z,2.7K,,2.7K,9,11,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,726144,sokolovps,2023-03-31T16:00:01.000Z,2.3K,,2.3K,20,0,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\energy,null,725536,GeorgKDeft,2023-03-29T07:56:57.000Z,7.6K,,7.6K,16,295,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,723172,OlegSivchenko,2023-03-17T13:41:29.000Z,3.5K,,3.5K,23,3,/ru/hubs/robo_dev/
D:\untitled3\.\hubs\energy,null,722178,TinyElectronicFriends,2023-03-16T13:00:02.000Z,3.1K,,3.1K,24,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,722748,itmo,2023-03-16T09:00:05.000Z,14K,,14K,59,33,/ru/companies/spbifmo/articles/
D:\untitled3\.\hubs\energy,null,720854,aabzel,2023-03-12T16:32:04.000Z,7.6K,,7.6K,37,58,/ru/hubs/controllers/
D:\untitled3\.\hubs\energy,null,719924,Zel,2023-03-09T13:10:23.000Z,5.1K,,5.1K,13,43,/ru/hubs/energy/
D:\untitled3\.\hubs\energy,null,720524,sdy,2023-03-05T14:14:33.000Z,19K,,19K,177,89,/ru/companies/3rdman/articles/
D:\untitled3\.\hubs\energy,null,719430,Househusband,2023-02-28T09:16:21.000Z,3.8K,,3.8K,13,8,/ru/hubs/popular_science/
D:\untitled3\.\hubs\energy,null,719026,mikeveng73,2023-02-26T15:12:14.000Z,13K,,13K,66,119,/ru/hubs/hardware/
D:\untitled3\.\hubs\energy,null,715708,avshkol,2023-02-25T16:27:55.000Z,5.3K,,5.3K,22,28,/ru/hubs/research/
D:\untitled3\.\hubs\energy,null,718448,ru_vds,2023-02-22T13:00:01.000Z,14K,,14K,71,85,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,715686,TinyElectronicFriends,2023-02-10T09:00:01.000Z,4.6K,,4.6K,20,7,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\energy,null,715156,AlexeyNadezhin,2023-02-06T12:39:11.000Z,16K,,16K,30,19,/ru/companies/lamptest/articles/
