hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\engineering_systems,null,775988,iMonin,2023-11-23T14:28:17.000Z,7.5K,,7.5K,32,127,/ru/hubs/zadachki/
D:\untitled3\.\hubs\engineering_systems,null,775772,Dmitrii43,2023-11-23T07:00:02.000Z,8.2K,,8.2K,30,35,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\engineering_systems,null,775540,dbalabolin,2023-11-22T09:00:03.000Z,1.3K,,1.3K,18,10,/ru/hubs/industrial_control_system/
D:\untitled3\.\hubs\engineering_systems,null,775226,Dmitrii43,2023-11-21T07:00:02.000Z,2K,,2K,18,8,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\engineering_systems,null,772208,alextitoff,2023-11-14T10:02:01.000Z,3.1K,,3.1K,13,9,/ru/companies/intems/articles/
D:\untitled3\.\hubs\engineering_systems,null,773714,Dmitrii43,2023-11-14T07:00:02.000Z,4.6K,,4.6K,20,11,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\engineering_systems,null,773676,dbalabolin,2023-11-13T16:13:52.000Z,7.9K,,7.9K,21,116,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\engineering_systems,null,773572,Ni_Bar,2023-11-13T11:42:25.000Z,2.6K,,2.6K,27,16,/ru/companies/rosatom/articles/
D:\untitled3\.\hubs\engineering_systems,null,772828,Autonomnoe,2023-11-09T09:44:38.000Z,7K,,7K,52,20,/ru/hubs/ui/
D:\untitled3\.\hubs\engineering_systems,null,772308,wofs,2023-11-09T07:00:02.000Z,5.5K,,5.5K,56,18,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\engineering_systems,null,771796,dataline,2023-11-07T11:33:56.000Z,2.1K,,2.1K,5,4,/ru/companies/dataline/articles/
D:\untitled3\.\hubs\engineering_systems,null,770952,AlexeyGerasimov,2023-11-07T07:01:04.000Z,1.9K,,1.9K,30,2,/ru/companies/lanit/articles/
D:\untitled3\.\hubs\engineering_systems,null,772122,Dmitrii43,2023-11-07T07:00:02.000Z,4.5K,,4.5K,25,15,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\engineering_systems,null,772006,iMonin,2023-11-05T11:15:40.000Z,19K,,19K,96,109,/ru/hubs/popular_science/
D:\untitled3\.\hubs\engineering_systems,null,770994,PERCo,2023-10-31T11:00:18.000Z,1.1K,,1.1K,5,3,/ru/companies/perco/articles/
D:\untitled3\.\hubs\engineering_systems,null,770882,Dmitrii43,2023-10-31T07:00:01.000Z,14K,,14K,89,28,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\engineering_systems,null,744212,petuhoff,2023-10-29T18:50:50.000Z,3.2K,,3.2K,50,13,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\engineering_systems,null,770464,iMonin,2023-10-28T08:43:26.000Z,37K,,37K,177,173,/ru/hubs/zadachki/
D:\untitled3\.\hubs\engineering_systems,null,769966,Dmitrii43,2023-10-26T07:00:03.000Z,1.7K,,1.7K,10,7,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\engineering_systems,null,769496,uzikoff,2023-10-24T08:24:27.000Z,1.5K,,1.5K,14,9,/ru/hubs/physics/
D:\untitled3\.\hubs\engineering_systems,null,769226,Ni_Bar,2023-10-23T08:05:44.000Z,2K,,2K,13,7,/ru/companies/rosatom/articles/
D:\untitled3\.\hubs\engineering_systems,null,768930,ha7y,2023-10-20T19:07:03.000Z,32K,,32K,149,58,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\engineering_systems,null,768916,iMonin,2023-10-20T16:09:08.000Z,8.3K,,8.3K,33,7,/ru/hubs/zadachki/
D:\untitled3\.\hubs\engineering_systems,null,768600,Ni_Bar,2023-10-19T12:45:13.000Z,2.1K,,2.1K,11,5,/ru/companies/rosatom/articles/
D:\untitled3\.\hubs\engineering_systems,null,766744,samsonlte,2023-10-17T07:03:07.000Z,8.5K,,8.5K,40,30,/ru/companies/nlmk/articles/
D:\untitled3\.\hubs\engineering_systems,null,767800,sokolovps,2023-10-16T16:00:01.000Z,8.5K,,8.5K,25,15,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\engineering_systems,null,767508,SmartEngines,2023-10-16T08:35:27.000Z,771,,771,7,2,/ru/companies/smartengines/articles/
D:\untitled3\.\hubs\engineering_systems,null,766876,Dmitrii43,2023-10-12T07:00:04.000Z,10K,,10K,91,60,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\engineering_systems,null,766474,PERCo,2023-10-10T10:09:02.000Z,1.4K,,1.4K,3,1,/ru/companies/perco/articles/
D:\untitled3\.\hubs\engineering_systems,null,765232,wofs,2023-10-10T07:00:01.000Z,15K,,15K,106,14,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\engineering_systems,null,765584,hailler,2023-10-05T14:34:52.000Z,4K,,4K,12,7,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\engineering_systems,null,765612,omyhosts,2023-10-05T14:24:25.000Z,9.4K,,9.4K,23,6,/ru/companies/ispsystem/articles/
D:\untitled3\.\hubs\engineering_systems,null,765510,ManiFEs,2023-10-05T09:12:21.000Z,6.1K,,6.1K,25,36,/ru/companies/nubes/articles/
D:\untitled3\.\hubs\engineering_systems,null,764056,yadro_team,2023-10-02T09:06:45.000Z,9.4K,,9.4K,94,30,/ru/companies/yadro/articles/
D:\untitled3\.\hubs\engineering_systems,null,763412,Dmitrii43,2023-09-26T07:00:03.000Z,4K,,4K,14,18,/ru/companies/wirenboard/articles/
