hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\erlang,null,749192,Bright_Translate,2023-07-21T13:00:01.000Z,7.7K,,7.7K,38,10,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\erlang,null,733180,abetkin,2023-05-03T19:24:21.000Z,1.9K,,1.9K,2,14,/ru/hubs/erlang/
D:\untitled3\.\hubs\erlang,null,732586,abetkin,2023-04-30T21:40:36.000Z,2.4K,,2.4K,5,10,/ru/hubs/programming/
D:\untitled3\.\hubs\erlang,null,724892,abetkin,2023-03-27T00:50:14.000Z,1.4K,,1.4K,6,3,/ru/hubs/crazydev/
D:\untitled3\.\hubs\erlang,null,721776,abetkin,2023-03-12T03:11:00.000Z,4.6K,,4.6K,19,17,/ru/hubs/python/
D:\untitled3\.\hubs\erlang,null,661195,sadshade,2022-04-18T03:39:31.000Z,3.7K,,3.7K,9,5,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\erlang,null,593379,VAK_53,2021-12-04T04:31:42.000Z,5.4K,,5.4K,26,24,/ru/hubs/erlang/
D:\untitled3\.\hubs\erlang,null,587832,jerry_ru,2021-11-08T10:55:49.000Z,1.8K,,1.8K,7,0,/ru/hubs/erlang/
D:\untitled3\.\hubs\erlang,null,587830,jerry_ru,2021-11-08T10:55:44.000Z,2.1K,,2.1K,8,0,/ru/hubs/erlang/
D:\untitled3\.\hubs\erlang,null,564736,ngj,2021-06-29T11:45:44.000Z,2.7K,,2.7K,10,6,/ru/companies/karuna/articles/
D:\untitled3\.\hubs\erlang,null,551842,belezbar,2021-04-11T14:25:16.000Z,3.2K,,3.2K,15,0,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\erlang,null,535594,mr_elzor,2020-12-30T07:00:05.000Z,5.1K,,5.1K,22,3,/ru/hubs/erlang/
D:\untitled3\.\hubs\erlang,null,528814,chapuza,2020-11-19T05:44:25.000Z,1.2K,,1.2K,7,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\erlang,null,527646,chapuza,2020-11-12T05:06:42.000Z,1.5K,,1.5K,12,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\erlang,null,517926,chapuza,2020-09-05T06:39:45.000Z,4.9K,,4.9K,9,42,/ru/hubs/open_source/
D:\untitled3\.\hubs\erlang,null,516984,PatapSmile,2020-08-28T13:30:05.000Z,10K,,10K,27,36,/ru/hubs/crazydev/
D:\untitled3\.\hubs\erlang,null,510528,chapuza,2020-07-11T06:53:44.000Z,1.6K,,1.6K,5,7,/ru/hubs/open_source/
D:\untitled3\.\hubs\erlang,null,508696,chapuza,2020-06-29T08:13:54.000Z,1.9K,,1.9K,14,0,/ru/hubs/programming/
D:\untitled3\.\hubs\erlang,null,504602,chapuza,2020-05-30T14:52:28.000Z,2.3K,,2.3K,10,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\erlang,null,503382,mkrentovskiy,2020-05-22T15:42:29.000Z,28K,,28K,96,44,/ru/hubs/erlang/
D:\untitled3\.\hubs\erlang,null,501684,chapuza,2020-05-13T04:40:51.000Z,1.7K,,1.7K,8,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\erlang,null,493202,akuranda,2020-03-20T08:04:06.000Z,39K,,39K,183,43,/ru/companies/osnova/articles/
D:\untitled3\.\hubs\erlang,null,488070,akuranda,2020-02-12T13:41:20.000Z,7.7K,,7.7K,24,24,/ru/companies/osnova/articles/
D:\untitled3\.\hubs\erlang,null,486924,akuranda,2020-02-04T12:15:58.000Z,1.9K,,1.9K,13,8,/ru/companies/osnova/articles/
D:\untitled3\.\hubs\erlang,null,482398,mish_gun,2019-12-29T14:22:23.000Z,6K,,6K,28,4,/ru/hubs/postgresql/
D:\untitled3\.\hubs\erlang,null,476112,grigoryvp,2019-12-11T08:48:37.000Z,10K,,10K,64,21,/ru/companies/oleg-bunin/articles/
