hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\firefox,develop,760926,yuloskov,2023-09-14T00:38:43.000Z,34K,,34K,67,271,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,752862,GlobalSign_admin,2023-08-06T18:22:21.000Z,58K,,58K,53,140,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\firefox,develop,735578,GlobalSign_admin,2023-05-16T19:51:43.000Z,6.3K,,6.3K,32,36,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\firefox,develop,724830,GlobalSign_admin,2023-03-26T14:18:24.000Z,2.9K,,2.9K,9,5,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\firefox,develop,717476,qmzik,2023-02-16T17:05:34.000Z,2.8K,,2.8K,13,0,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,700108,sv-bio,2022-11-17T21:00:27.000Z,3K,,3K,13,4,/ru/hubs/linux/
D:\untitled3\.\hubs\firefox,develop,698344,ris58h,2022-11-09T14:41:03.000Z,1.9K,,1.9K,25,12,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,690496,alef13,2022-10-05T09:00:02.000Z,11K,,11K,59,9,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\firefox,develop,678852,Data_center_MIRAN,2022-07-25T12:26:43.000Z,60K,,60K,162,418,/ru/companies/dcmiran/articles/
D:\untitled3\.\hubs\firefox,develop,668008,qmzik,2022-05-26T12:36:44.000Z,5.4K,,5.4K,44,0,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,653803,Belisckner,2022-03-27T01:42:51.000Z,21K,,21K,28,33,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\firefox,develop,653827,kalmagaev,2022-03-19T14:35:01.000Z,21K,,21K,36,40,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\firefox,develop,647081,ris58h,2022-01-21T16:27:22.000Z,4.4K,,4.4K,21,11,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,592095,sashasushko,2021-11-28T15:18:02.000Z,6.2K,,6.2K,48,7,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,588981,sashasushko,2021-11-13T14:44:54.000Z,6.5K,,6.5K,52,3,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,587516,sashasushko,2021-11-05T14:08:52.000Z,6.5K,,6.5K,33,5,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,586776,sashasushko,2021-11-03T11:50:29.000Z,14K,,14K,83,17,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,579614,ris58h,2021-09-23T12:46:09.000Z,4.5K,,4.5K,22,21,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,577290,ondlusha,2021-09-10T11:49:29.000Z,9.6K,,9.6K,10,52,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,553114,alizar,2021-04-22T06:30:02.000Z,17K,,17K,39,20,/ru/companies/vdsina/articles/
D:\untitled3\.\hubs\firefox,develop,551850,Picard,2021-04-15T10:57:21.000Z,20K,,20K,95,1,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\firefox,develop,549854,spmbt,2021-03-30T19:59:52.000Z,23K,,23K,18,23,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,548064,vtb_k,2021-03-20T11:24:15.000Z,110K,,110K,400,96,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,541196,ilammy,2021-02-07T04:36:23.000Z,72K,,72K,123,695,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,536296,ruvds,2021-01-06T13:56:03.000Z,22K,,22K,70,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\firefox,develop,534286,Drag13,2020-12-21T18:52:56.000Z,6.6K,,6.6K,43,39,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,521836,skillfactory_school,2020-10-05T15:26:41.000Z,3.4K,,3.4K,28,2,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\firefox,develop,521248,host_m,2020-09-30T06:20:02.000Z,62K,,62K,59,429,/ru/companies/vdsina/articles/
D:\untitled3\.\hubs\firefox,develop,517146,ivan386,2020-08-30T20:05:28.000Z,24K,,24K,111,11,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,515534,ProductivityInside,2020-08-18T05:41:42.000Z,92K,,92K,126,485,/ru/companies/productivity_inside/articles/
D:\untitled3\.\hubs\firefox,develop,487494,aborche,2020-07-07T07:03:35.000Z,6K,,6K,36,1,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,506356,YourChief,2020-06-12T12:40:27.000Z,67K,,67K,239,52,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,506452,I-Prudnikov,2020-06-12T09:38:08.000Z,12K,,12K,46,27,/ru/companies/exness/articles/
D:\untitled3\.\hubs\firefox,develop,499352,dotneter,2020-04-28T05:39:24.000Z,1.7K,,1.7K,15,5,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,494024,GlobalSign_admin,2020-03-25T08:53:47.000Z,14K,,14K,24,53,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\firefox,develop,487040,Sanctuary_s,2020-02-05T07:17:05.000Z,5K,,5K,13,13,/ru/hubs/firefox/
D:\untitled3\.\hubs\firefox,develop,481036,QueenOfTheEarth,2019-12-18T15:28:12.000Z,25K,,25K,194,6,/ru/hubs/web_design/
