hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\flutter,develop,776002,Friflex_dev,2023-11-24T08:06:42.000Z,1.6K,,1.6K,12,3,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\flutter,develop,776108,RoboForm,2023-11-24T07:24:58.000Z,40K,,40K,94,90,/ru/hubs/history/
D:\untitled3\.\hubs\flutter,develop,775928,kcliffor,2023-11-23T11:50:12.000Z,429,,429,6,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\flutter,develop,775714,Surf_Studio,2023-11-22T15:04:12.000Z,2.8K,,2.8K,10,0,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\flutter,develop,775298,kcliffor,2023-11-21T08:34:02.000Z,872,,872,14,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\flutter,develop,774902,PackRuble,2023-11-19T08:54:40.000Z,4K,,4K,5,5,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,774744,alexeyinkin,2023-11-17T16:04:50.000Z,1.8K,,1.8K,6,0,/ru/hubs/dart/
D:\untitled3\.\hubs\flutter,develop,774594,Friflex_dev,2023-11-17T14:43:01.000Z,5.8K,,5.8K,16,0,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\flutter,develop,774300,WillyWodka,2023-11-16T09:36:23.000Z,1.8K,,1.8K,12,4,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,773980,SashaFarkas,2023-11-15T05:22:50.000Z,2.8K,,2.8K,18,23,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,773164,Surf_Studio,2023-11-10T12:45:09.000Z,1.6K,,1.6K,8,0,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\flutter,develop,773028,mrDevGo,2023-11-10T08:18:09.000Z,1.6K,,1.6K,17,2,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\flutter,develop,772802,DimaLepel,2023-11-09T08:40:39.000Z,3.6K,,3.6K,16,6,/ru/hubs/flutter/
D:\untitled3\.\hubs\flutter,develop,772462,ASGAlex,2023-11-08T12:17:12.000Z,3.4K,,3.4K,24,10,/ru/hubs/gamedev/
D:\untitled3\.\hubs\flutter,develop,772234,mrDevGo,2023-11-07T11:59:43.000Z,1.9K,,1.9K,16,9,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\flutter,develop,771930,Vialeo,2023-11-04T16:46:42.000Z,9.6K,,9.6K,21,11,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,771774,madbrains,2023-11-03T12:45:24.000Z,3.2K,,3.2K,21,5,/ru/hubs/complete_code/
D:\untitled3\.\hubs\flutter,develop,771444,sashadzen,2023-11-02T09:45:46.000Z,4K,,4K,24,9,/ru/companies/pyrobyte/articles/
D:\untitled3\.\hubs\flutter,develop,771354,Friflex_dev,2023-11-01T15:16:16.000Z,2.1K,,2.1K,15,5,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\flutter,develop,770950,Digital_Design,2023-10-31T08:46:08.000Z,4.9K,,4.9K,34,7,/ru/companies/digdes/articles/
D:\untitled3\.\hubs\flutter,develop,770842,PurplePlane,2023-10-31T06:30:01.000Z,2K,,2K,22,3,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,770486,WillyWodka,2023-10-28T12:45:53.000Z,1.2K,,1.2K,13,0,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,770200,Friflex_dev,2023-10-26T15:07:25.000Z,1.3K,,1.3K,13,1,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\flutter,develop,769662,Friflex_dev,2023-10-24T16:03:52.000Z,2.3K,,2.3K,18,13,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\flutter,develop,769570,nikita_pogodin,2023-10-24T11:26:55.000Z,6.4K,,6.4K,20,26,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\flutter,develop,769016,SergeyDesenko,2023-10-21T14:04:35.000Z,3.3K,,3.3K,17,8,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\flutter,develop,768846,kcliffor,2023-10-20T12:50:02.000Z,3K,,3K,17,8,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,768610,Friflex_dev,2023-10-19T13:31:06.000Z,4.8K,,4.8K,56,2,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\flutter,develop,768262,TDMNS,2023-10-18T10:03:58.000Z,5.5K,,5.5K,20,4,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,768060,mrDevGo,2023-10-17T12:45:01.000Z,3.5K,,3.5K,33,9,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\flutter,develop,765850,lelyakuznetsova,2023-10-13T14:49:44.000Z,1K,,1K,5,0,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\flutter,develop,767224,MAX1993M,2023-10-13T09:55:28.000Z,7.3K,,7.3K,32,48,/ru/companies/kts/articles/
D:\untitled3\.\hubs\flutter,develop,767006,pumano,2023-10-12T10:46:26.000Z,3.1K,,3.1K,33,4,/ru/companies/rosbank/articles/
D:\untitled3\.\hubs\flutter,develop,766826,Creazard,2023-10-11T15:47:12.000Z,9.5K,,9.5K,15,22,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,766534,ivTimur,2023-10-10T13:10:08.000Z,1.7K,,1.7K,22,0,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,765736,ivTimur,2023-10-06T08:04:14.000Z,1.1K,,1.1K,13,1,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\flutter,develop,764900,kaparray,2023-10-02T16:33:48.000Z,4.4K,,4.4K,34,4,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\flutter,develop,764442,Surf_Studio,2023-09-29T13:31:34.000Z,2.4K,,2.4K,15,13,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\flutter,develop,761938,Gorniv,2023-09-19T10:38:19.000Z,1.6K,,1.6K,7,2,/ru/companies/asodev/articles/
D:\untitled3\.\hubs\flutter,develop,761176,omprussia,2023-09-15T05:50:02.000Z,5.8K,,5.8K,31,12,/ru/hubs/mobile_dev/
