hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\fpga,develop,776354,pcbteach,2023-11-25T10:48:19.000Z,539,,539,10,0,without_company
D:\untitled3\.\hubs\fpga,develop,774412,pcbteach,2023-11-16T13:29:21.000Z,789,,789,10,0,without_company
D:\untitled3\.\hubs\fpga,develop,773550,etherblade,2023-11-13T11:00:12.000Z,985,,985,10,0,without_company
D:\untitled3\.\hubs\fpga,develop,772876,megalloid,2023-11-10T08:01:02.000Z,4.1K,,4.1K,51,9,without_company
D:\untitled3\.\hubs\fpga,develop,772686,pcbteach,2023-11-08T15:47:43.000Z,1.3K,,1.3K,18,0,without_company
D:\untitled3\.\hubs\fpga,develop,770896,YuriPanchul,2023-10-31T04:19:09.000Z,2.7K,,2.7K,16,9,without_company
D:\untitled3\.\hubs\fpga,develop,770572,Sukhachev_KIR,2023-10-29T13:25:37.000Z,7.7K,,7.7K,45,23,without_company
D:\untitled3\.\hubs\fpga,develop,770034,pcbteach,2023-10-26T07:06:11.000Z,1.2K,,1.2K,17,0,without_company
D:\untitled3\.\hubs\fpga,develop,769988,K0shi,2023-10-25T21:38:51.000Z,2.4K,,2.4K,44,9,without_company
D:\untitled3\.\hubs\fpga,develop,769986,Sukhachev_KIR,2023-10-25T21:04:07.000Z,3K,,3K,25,18,without_company
D:\untitled3\.\hubs\fpga,develop,769916,Sukhachev_KIR,2023-10-25T14:31:08.000Z,13K,,13K,105,20,without_company
D:\untitled3\.\hubs\fpga,develop,768308,quanttelecom_ru,2023-10-18T12:34:58.000Z,1.5K,,1.5K,22,5,without_company
D:\untitled3\.\hubs\fpga,develop,768192,KeisN13,2023-10-18T06:13:48.000Z,1.4K,,1.4K,8,4,without_company
D:\untitled3\.\hubs\fpga,develop,767196,pcbteach,2023-10-13T08:37:49.000Z,1.7K,,1.7K,24,7,without_company
D:\untitled3\.\hubs\fpga,develop,765626,YuriPanchul,2023-10-12T07:32:44.000Z,3.8K,,3.8K,15,6,without_company
D:\untitled3\.\hubs\fpga,develop,766342,nckma,2023-10-10T07:40:39.000Z,2.1K,,2.1K,22,16,without_company
D:\untitled3\.\hubs\fpga,develop,766114,YuriPanchul,2023-10-09T05:28:51.000Z,4.2K,,4.2K,12,23,without_company
D:\untitled3\.\hubs\fpga,develop,763854,divolko3,2023-09-28T07:00:02.000Z,4.3K,,4.3K,21,17,without_company
D:\untitled3\.\hubs\fpga,develop,763670,nckma,2023-09-27T05:57:01.000Z,2.3K,,2.3K,22,6,without_company
D:\untitled3\.\hubs\fpga,develop,763148,YuriPanchul,2023-09-25T04:24:15.000Z,30K,,30K,51,61,without_company
D:\untitled3\.\hubs\fpga,develop,762108,YuriPanchul,2023-09-21T09:29:26.000Z,4.1K,,4.1K,21,28,without_company
D:\untitled3\.\hubs\fpga,develop,762260,triller599,2023-09-20T09:53:08.000Z,3.9K,,3.9K,31,22,without_company
D:\untitled3\.\hubs\fpga,develop,760844,etherblade,2023-09-13T14:48:09.000Z,3.7K,,3.7K,55,17,without_company
D:\untitled3\.\hubs\fpga,develop,756430,zatim,2023-08-29T07:01:01.000Z,10K,,10K,83,69,without_company
D:\untitled3\.\hubs\fpga,develop,757464,yamifa_1234,2023-08-28T16:23:35.000Z,1.2K,,1.2K,16,4,without_company
D:\untitled3\.\hubs\fpga,develop,755320,Flammmable,2023-08-20T11:00:02.000Z,7.9K,,7.9K,47,60,without_company
D:\untitled3\.\hubs\fpga,develop,754924,YuriPanchul,2023-08-16T08:37:13.000Z,2.4K,,2.4K,20,7,without_company
D:\untitled3\.\hubs\fpga,develop,754262,YuriPanchul,2023-08-14T08:28:57.000Z,34K,,34K,89,161,without_company
D:\untitled3\.\hubs\fpga,develop,753076,megalloid,2023-08-07T14:01:01.000Z,5.8K,,5.8K,57,11,without_company
D:\untitled3\.\hubs\fpga,develop,750292,megalloid,2023-07-26T08:01:01.000Z,5.5K,,5.5K,59,10,without_company
D:\untitled3\.\hubs\fpga,develop,749252,Abwindzentrierer,2023-07-24T05:17:36.000Z,2.8K,,2.8K,36,6,without_company
D:\untitled3\.\hubs\fpga,develop,749298,megalloid,2023-07-20T09:46:12.000Z,4.3K,,4.3K,34,7,without_company
D:\untitled3\.\hubs\fpga,develop,748594,megalloid,2023-07-18T08:01:02.000Z,5.1K,,5.1K,39,14,without_company
D:\untitled3\.\hubs\fpga,develop,748292,KeisN13,2023-07-16T07:42:07.000Z,4.8K,,4.8K,47,6,without_company
D:\untitled3\.\hubs\fpga,develop,747346,megalloid,2023-07-12T08:01:01.000Z,8.2K,,8.2K,47,39,without_company
D:\untitled3\.\hubs\fpga,develop,747232,FaulerAffe,2023-07-11T07:52:06.000Z,1.5K,,1.5K,21,0,without_company
D:\untitled3\.\hubs\fpga,develop,744872,megalloid,2023-06-30T08:01:01.000Z,5.1K,,5.1K,48,3,without_company
D:\untitled3\.\hubs\fpga,develop,743340,megalloid,2023-06-22T14:01:01.000Z,7.7K,,7.7K,31,16,without_company
D:\untitled3\.\hubs\fpga,develop,743218,nckma,2023-06-22T08:04:50.000Z,2.6K,,2.6K,16,4,without_company
D:\untitled3\.\hubs\fpga,develop,741314,YuriPanchul,2023-06-13T06:09:25.000Z,9.2K,,9.2K,34,126,without_company
D:\untitled3\.\hubs\fpga,develop,737384,yamifa_1234,2023-05-24T18:13:47.000Z,5.2K,,5.2K,38,10,without_company
D:\untitled3\.\hubs\fpga,develop,736812,yamifa_1234,2023-05-22T15:37:26.000Z,20K,,20K,97,39,without_company
D:\untitled3\.\hubs\fpga,develop,736060,ru_vds,2023-05-18T13:00:01.000Z,18K,,18K,121,13,without_company
D:\untitled3\.\hubs\fpga,develop,733990,ValeriyPus,2023-05-09T08:59:46.000Z,6.7K,,6.7K,38,12,without_company
D:\untitled3\.\hubs\fpga,develop,732700,YuriPanchul,2023-05-03T06:49:00.000Z,21K,,21K,56,32,without_company
D:\untitled3\.\hubs\fpga,develop,728460,KeisN13,2023-04-11T22:01:51.000Z,2.2K,,2.2K,11,1,without_company
D:\untitled3\.\hubs\fpga,develop,722942,YuriPanchul,2023-04-11T05:41:19.000Z,43K,,43K,128,819,without_company
D:\untitled3\.\hubs\fpga,develop,727048,YuriPanchul,2023-04-05T06:46:10.000Z,9.8K,,9.8K,68,16,without_company
D:\untitled3\.\hubs\fpga,develop,726250,DmitryZlobec,2023-03-31T19:13:10.000Z,10K,,10K,49,14,without_company
D:\untitled3\.\hubs\fpga,develop,726022,YuriPanchul,2023-03-31T08:14:13.000Z,5.9K,,5.9K,52,15,without_company
D:\untitled3\.\hubs\fpga,develop,725022,megalloid,2023-03-28T08:01:03.000Z,5.1K,,5.1K,41,2,without_company
D:\untitled3\.\hubs\fpga,develop,724442,YuriPanchul,2023-03-24T07:08:58.000Z,36K,,36K,52,47,without_company
D:\untitled3\.\hubs\fpga,develop,723694,KeisN13,2023-03-21T05:17:07.000Z,1.3K,,1.3K,3,2,without_company
D:\untitled3\.\hubs\fpga,develop,721146,megalloid,2023-03-08T15:04:41.000Z,10K,,10K,44,26,without_company
