hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\freelance,management,775462,Startup_visa_Spain,2023-11-21T15:17:58.000Z,2.9K,,2.9K,21,5,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,775096,Ekamelev,2023-11-20T10:45:04.000Z,2.3K,,2.3K,6,5,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,774778,Ekamelev,2023-11-18T01:14:25.000Z,1.3K,,1.3K,7,3,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,774584,nikitaGlobal,2023-11-17T09:26:28.000Z,6.8K,,6.8K,33,7,/ru/hubs/wordpress/
D:\untitled3\.\hubs\freelance,management,772724,Kiel,2023-11-09T10:40:25.000Z,2.2K,,2.2K,11,9,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,772694,grokru,2023-11-08T16:10:26.000Z,7.9K,,7.9K,37,11,/ru/hubs/web_design/
D:\untitled3\.\hubs\freelance,management,772394,Ekamelev,2023-11-07T14:55:53.000Z,4.4K,,4.4K,30,14,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,772036,Ekamelev,2023-11-05T15:18:44.000Z,47K,,47K,91,95,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,770488,Ekamelev,2023-10-28T13:25:51.000Z,15K,,15K,80,68,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,768332,krumpans,2023-10-21T08:07:05.000Z,8.5K,,8.5K,38,20,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,768324,rumin_v_rabote,2023-10-18T13:10:15.000Z,4.7K,,4.7K,16,24,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,767282,ntrox,2023-10-13T12:16:47.000Z,1K,,1K,5,7,/ru/hubs/web_design/
D:\untitled3\.\hubs\freelance,management,766886,Ekamelev,2023-10-12T00:31:57.000Z,7.8K,,7.8K,12,19,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,766112,Ekamelev,2023-10-09T00:32:36.000Z,41K,,41K,91,176,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,763196,rumin_v_rabote,2023-09-25T07:42:16.000Z,24K,,24K,39,67,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,762992,Ekamelev,2023-09-23T11:51:40.000Z,14K,,14K,45,14,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,755404,yanorm,2023-08-19T09:00:01.000Z,4.5K,,4.5K,47,3,/ru/companies/yanorm/articles/
D:\untitled3\.\hubs\freelance,management,754850,TAU15,2023-08-15T19:50:02.000Z,7.9K,,7.9K,17,8,/ru/hubs/crm/
D:\untitled3\.\hubs\freelance,management,753698,SmartLockMaster,2023-08-10T06:41:38.000Z,2K,,2K,6,3,/ru/hubs/freelance/
D:\untitled3\.\hubs\freelance,management,752726,Kirkickiy,2023-08-06T07:00:14.000Z,11K,,11K,46,22,/ru/hubs/freelance/
