hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\funcprog,null,774974,primetalk,2023-11-19T20:45:15.000Z,1.3K,,1.3K,15,0,without_company
D:\untitled3\.\hubs\funcprog,null,774536,Ilya_Novarchuk,2023-11-17T07:31:10.000Z,1.9K,,1.9K,18,10,without_company
D:\untitled3\.\hubs\funcprog,null,774172,KirillBelovTest,2023-11-16T08:18:49.000Z,2.3K,,2.3K,20,12,without_company
D:\untitled3\.\hubs\funcprog,null,773242,Dktr_Zlo,2023-11-11T05:45:40.000Z,3.7K,,3.7K,32,0,without_company
D:\untitled3\.\hubs\funcprog,null,772730,jdev,2023-11-09T04:28:50.000Z,11K,,11K,47,56,without_company
D:\untitled3\.\hubs\funcprog,null,771896,fonkost,2023-11-04T10:45:57.000Z,6.8K,,6.8K,22,12,without_company
D:\untitled3\.\hubs\funcprog,null,767864,SergioShpadi,2023-10-29T22:49:01.000Z,34K,,34K,196,103,without_company
D:\untitled3\.\hubs\funcprog,null,770476,AlexSmithPsy,2023-10-28T10:48:49.000Z,3.8K,,3.8K,34,9,without_company
D:\untitled3\.\hubs\funcprog,null,769802,ph_piter,2023-10-27T08:00:43.000Z,3.6K,,3.6K,17,3,without_company
D:\untitled3\.\hubs\funcprog,null,764210,ph_piter,2023-10-10T12:04:44.000Z,19K,,19K,86,13,without_company
D:\untitled3\.\hubs\funcprog,null,762788,Magn,2023-10-06T10:20:01.000Z,13K,,13K,132,3,without_company
D:\untitled3\.\hubs\funcprog,null,762956,Sivchenko_translate,2023-09-23T07:49:04.000Z,16K,,16K,59,12,without_company
D:\untitled3\.\hubs\funcprog,null,758810,primetalk,2023-09-04T13:19:40.000Z,2.7K,,2.7K,36,0,without_company
D:\untitled3\.\hubs\funcprog,null,758542,Underskyer1,2023-09-02T12:16:12.000Z,23K,,23K,225,70,without_company
D:\untitled3\.\hubs\funcprog,null,757118,Stefanio,2023-08-29T13:00:02.000Z,7.8K,,7.8K,55,36,without_company
D:\untitled3\.\hubs\funcprog,null,756794,primetalk,2023-08-25T07:33:07.000Z,674,,674,7,1,without_company
D:\untitled3\.\hubs\funcprog,null,756792,primetalk,2023-08-25T07:32:11.000Z,675,,675,4,0,without_company
D:\untitled3\.\hubs\funcprog,null,756790,primetalk,2023-08-25T07:31:32.000Z,521,,521,4,4,without_company
D:\untitled3\.\hubs\funcprog,null,756788,primetalk,2023-08-25T07:30:28.000Z,411,,411,5,0,without_company
D:\untitled3\.\hubs\funcprog,null,756784,primetalk,2023-08-25T07:29:44.000Z,628,,628,5,4,without_company
D:\untitled3\.\hubs\funcprog,null,756776,primetalk,2023-08-25T07:28:12.000Z,1.7K,,1.7K,13,0,without_company
D:\untitled3\.\hubs\funcprog,null,755476,ph_piter,2023-08-18T12:10:06.000Z,6.3K,,6.3K,40,9,without_company
D:\untitled3\.\hubs\funcprog,null,752668,Natasha_Klaus,2023-08-05T10:52:29.000Z,4K,,4K,39,27,without_company
