hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\futurenow,null,776462,timonin,2023-11-26T12:45:34.000Z,969,,969,18,0,without_company
D:\untitled3\.\hubs\futurenow,null,776312,kalupin,2023-11-25T00:17:47.000Z,1.9K,,1.9K,8,2,without_company
D:\untitled3\.\hubs\futurenow,null,776096,BiktorSergeev,2023-11-24T06:48:02.000Z,3.9K,,3.9K,11,7,without_company
D:\untitled3\.\hubs\futurenow,null,775788,AlekseiPodkletnov,2023-11-23T05:44:21.000Z,30K,,30K,84,199,without_company
D:\untitled3\.\hubs\futurenow,null,775070,DKST,2023-11-20T09:59:02.000Z,9.8K,,9.8K,62,3,without_company
D:\untitled3\.\hubs\futurenow,null,774908,timonin,2023-11-19T09:23:01.000Z,73K,,73K,419,182,without_company
D:\untitled3\.\hubs\futurenow,null,774452,vasilisa_b,2023-11-17T09:47:01.000Z,2.3K,,2.3K,11,6,without_company
D:\untitled3\.\hubs\futurenow,null,774330,Dmytro_Kikot,2023-11-17T08:00:05.000Z,1.2K,,1.2K,15,0,without_company
D:\untitled3\.\hubs\futurenow,null,773846,sacredtree,2023-11-15T09:53:01.000Z,2.8K,,2.8K,23,6,without_company
D:\untitled3\.\hubs\futurenow,null,774050,crazyfrogspb1,2023-11-15T09:06:30.000Z,1.3K,,1.3K,9,0,without_company
D:\untitled3\.\hubs\futurenow,null,772244,VAE,2023-11-14T13:13:21.000Z,8.5K,,8.5K,60,35,without_company
D:\untitled3\.\hubs\futurenow,null,773796,klimensky,2023-11-14T09:12:01.000Z,5.3K,,5.3K,16,10,without_company
D:\untitled3\.\hubs\futurenow,null,773382,TimurTukaev,2023-11-12T12:43:44.000Z,6.1K,,6.1K,16,135,without_company
D:\untitled3\.\hubs\futurenow,null,773014,Erwinmal,2023-11-11T10:00:02.000Z,16K,,16K,29,40,without_company
D:\untitled3\.\hubs\futurenow,null,772292,stalkermustang,2023-11-11T06:57:02.000Z,79K,,79K,161,102,without_company
D:\untitled3\.\hubs\futurenow,null,773122,virtual_explorer,2023-11-10T10:34:57.000Z,7.3K,,7.3K,29,32,without_company
D:\untitled3\.\hubs\futurenow,null,772582,divolko3,2023-11-08T14:00:02.000Z,2.1K,,2.1K,17,7,without_company
D:\untitled3\.\hubs\futurenow,null,772520,FreightOne,2023-11-08T11:31:24.000Z,3.8K,,3.8K,25,11,without_company
D:\untitled3\.\hubs\futurenow,null,772220,Dmytro_Kikot,2023-11-08T08:05:02.000Z,1.7K,,1.7K,15,0,without_company
D:\untitled3\.\hubs\futurenow,null,772288,k0mar0v,2023-11-07T10:18:18.000Z,1.7K,,1.7K,5,3,without_company
D:\untitled3\.\hubs\futurenow,null,770120,Rider_GT,2023-11-05T16:07:15.000Z,55K,,55K,55,80,without_company
D:\untitled3\.\hubs\futurenow,null,771996,dionisdimetor,2023-11-05T10:16:44.000Z,2.9K,,2.9K,16,41,without_company
D:\untitled3\.\hubs\futurenow,null,771840,timonin,2023-11-03T17:39:17.000Z,19K,,19K,133,27,without_company
D:\untitled3\.\hubs\futurenow,null,771302,EvgenyTFT,2023-11-01T11:58:01.000Z,1.7K,,1.7K,11,18,without_company
D:\untitled3\.\hubs\futurenow,null,770932,Dmytro_Kikot,2023-11-01T08:00:06.000Z,957,,957,10,1,without_company
D:\untitled3\.\hubs\futurenow,null,770816,virtual_explorer,2023-10-30T14:54:31.000Z,13K,,13K,28,18,without_company
D:\untitled3\.\hubs\futurenow,null,770462,BiktorSergeev,2023-10-28T08:40:57.000Z,5.3K,,5.3K,15,0,without_company
D:\untitled3\.\hubs\futurenow,null,770094,saipr,2023-10-26T10:25:13.000Z,5.6K,,5.6K,19,101,without_company
D:\untitled3\.\hubs\futurenow,null,769558,Petr0v1,2023-10-24T11:01:52.000Z,2.1K,,2.1K,9,1,without_company
D:\untitled3\.\hubs\futurenow,null,769214,virtual_explorer,2023-10-23T07:25:10.000Z,10K,,10K,15,124,without_company
D:\untitled3\.\hubs\futurenow,null,768974,divolko3,2023-10-22T10:00:04.000Z,5.2K,,5.2K,15,11,without_company
D:\untitled3\.\hubs\futurenow,null,768972,divolko3,2023-10-21T10:00:04.000Z,14K,,14K,31,38,without_company
D:\untitled3\.\hubs\futurenow,null,768922,Sixshaman,2023-10-20T17:17:41.000Z,6K,,6K,34,66,without_company
D:\untitled3\.\hubs\futurenow,null,768918,mvideo,2023-10-20T16:34:40.000Z,2.5K,,2.5K,14,0,without_company
D:\untitled3\.\hubs\futurenow,null,768776,ancotir,2023-10-20T09:25:32.000Z,1.2K,,1.2K,10,9,without_company
D:\untitled3\.\hubs\futurenow,null,768522,mvideo,2023-10-19T09:23:48.000Z,3K,,3K,25,18,without_company
D:\untitled3\.\hubs\futurenow,null,768364,Petr0v1,2023-10-18T15:36:52.000Z,4.9K,,4.9K,10,7,without_company
D:\untitled3\.\hubs\futurenow,null,767744,Cloud4Y,2023-10-16T11:56:58.000Z,1.3K,,1.3K,6,4,without_company
D:\untitled3\.\hubs\futurenow,null,767726,Petr0v1,2023-10-16T10:19:45.000Z,2.3K,,2.3K,17,5,without_company
D:\untitled3\.\hubs\futurenow,null,767222,timonin,2023-10-13T09:45:55.000Z,6.6K,,6.6K,96,7,without_company
D:\untitled3\.\hubs\futurenow,null,767192,divolko3,2023-10-13T08:38:01.000Z,4.2K,,4.2K,5,4,without_company
D:\untitled3\.\hubs\futurenow,null,765848,Petr0v1,2023-10-06T13:50:29.000Z,1.7K,,1.7K,8,3,without_company
D:\untitled3\.\hubs\futurenow,null,764272,PashaPodolsky,2023-10-04T06:25:44.000Z,19K,,19K,159,8,without_company
D:\untitled3\.\hubs\futurenow,null,764780,klimensky,2023-10-02T10:13:01.000Z,5.1K,,5.1K,26,32,without_company
D:\untitled3\.\hubs\futurenow,null,764748,anna_german,2023-10-02T08:01:05.000Z,4.2K,,4.2K,30,52,without_company
D:\untitled3\.\hubs\futurenow,null,764696,stalinets,2023-10-01T19:50:09.000Z,4.7K,,4.7K,10,26,without_company
D:\untitled3\.\hubs\futurenow,null,764534,divolko3,2023-10-01T09:00:03.000Z,3.5K,,3.5K,11,1,without_company
D:\untitled3\.\hubs\futurenow,null,763896,Kate_two,2023-09-27T15:15:01.000Z,2.7K,,2.7K,11,15,without_company
D:\untitled3\.\hubs\futurenow,null,763814,ajava2,2023-09-27T10:06:07.000Z,2.4K,,2.4K,13,14,without_company
D:\untitled3\.\hubs\futurenow,null,763444,Mixail_Sviridov,2023-09-26T06:52:51.000Z,1.6K,,1.6K,14,8,without_company
D:\untitled3\.\hubs\futurenow,null,761960,alizar,2023-09-25T09:00:01.000Z,28K,,28K,91,127,without_company
D:\untitled3\.\hubs\futurenow,null,762454,Dmytro_Kikot,2023-09-22T07:00:03.000Z,2K,,2K,18,4,without_company
D:\untitled3\.\hubs\futurenow,null,762560,Petr0v1,2023-09-21T15:03:01.000Z,3.3K,,3.3K,31,29,without_company
D:\untitled3\.\hubs\futurenow,null,762474,anastasiy_y,2023-09-21T08:02:20.000Z,2.2K,,2.2K,49,6,without_company
D:\untitled3\.\hubs\futurenow,null,762258,densmirnov,2023-09-20T09:50:41.000Z,842,,842,8,1,without_company
D:\untitled3\.\hubs\futurenow,null,762230,Steklolam,2023-09-20T08:21:01.000Z,6.7K,,6.7K,14,47,without_company
D:\untitled3\.\hubs\futurenow,null,762100,Petr0v1,2023-09-19T15:24:32.000Z,5K,,5K,42,40,without_company
D:\untitled3\.\hubs\futurenow,null,751146,Frazick,2023-09-19T11:20:02.000Z,5K,,5K,11,24,without_company
D:\untitled3\.\hubs\futurenow,null,761666,virtual_explorer,2023-09-18T06:46:39.000Z,4.6K,,4.6K,24,10,without_company
D:\untitled3\.\hubs\futurenow,null,761622,ivansychev,2023-09-18T06:30:01.000Z,3.1K,,3.1K,17,19,without_company
